B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,state
1288091.0,95172.0,78271.0,75976.0,75432.0,70706.0,72308.0,66821.0,67570.0,57876.0,111263.0,134390.0,155618.0,94141.0,49452.0,44897.0,38198.0,Alabama,01
181130.0,5669.0,5719.0,4922.0,6095.0,6932.0,7749.0,6309.0,7549.0,7439.0,13951.0,20522.0,29000.0,21931.0,14338.0,13283.0,9722.0,Alaska,02
1606064.0,90990.0,73030.0,72944.0,80254.0,79746.0,83688.0,81302.0,85116.0,72072.0,138914.0,176032.0,214987.0,138833.0,78706.0,70974.0,68476.0,Arizona,04
881252.0,71742.0,62060.0,58066.0,60364.0,55283.0,55665.0,51177.0,46400.0,42956.0,77371.0,88722.0,92543.0,51090.0,26245.0,22234.0,19334.0,Arkansas,05
6487457.0,288697.0,288925.0,256628.0,265079.0,249853.0,255541.0,243895.0,255544.0,228451.0,466062.0,626432.0,870156.0,662991.0,440087.0,509312.0,579804.0,California,06
1478288.0,77886.0,59370.0,57083.0,65588.0,63004.0,68712.0,64733.0,69372.0,62933.0,123179.0,161703.0,207334.0,144059.0,88175.0,85195.0,79962.0,Colorado,08
1049136.0,39296.0,36346.0,39029.0,38289.0,37701.0,37829.0,37358.0,40489.0,36570.0,74615.0,105891.0,152579.0,116447.0,76581.0,81500.0,98616.0,Connecticut,09
238522.0,10497.0,8354.0,9306.0,10430.0,10773.0,11542.0,10104.0,11170.0,10460.0,21368.0,27195.0,34848.0,23705.0,14111.0,13720.0,10939.0,Delaware,10
97735.0,4699.0,1497.0,1653.0,1791.0,1882.0,2094.0,2008.0,3242.0,2502.0,6305.0,7941.0,12635.0,10385.0,7804.0,11868.0,19429.0,District of Columbia,11
4756221.0,277827.0,239253.0,247784.0,263753.0,259287.0,268091.0,251595.0,254652.0,217124.0,415169.0,507503.0,586822.0,364201.0,201374.0,191801.0,209985.0,Florida,12
2124437.0,124313.0,102205.0,97516.0,99980.0,100101.0,106412.0,96730.0,102474.0,91707.0,178715.0,230578.0,284904.0,187394.0,106835.0,107762.0,106811.0,Georgia,13
138332.0,8091.0,5142.0,4237.0,5457.0,5033.0,5209.0,5286.0,5788.0,4898.0,11158.0,14729.0,21056.0,14417.0,9344.0,9044.0,9443.0,Hawaii,15
507270.0,30694.0,29251.0,27913.0,30620.0,32208.0,30888.0,28039.0,28683.0,24814.0,49800.0,58719.0,62454.0,31845.0,16319.0,13462.0,11561.0,Idaho,16
3386677.0,170921.0,145839.0,154144.0,157980.0,152739.0,156552.0,148409.0,153918.0,138531.0,276595.0,368630.0,475461.0,317945.0,188518.0,187532.0,192963.0,Illinois,17
2102436.0,127775.0,110142.0,112351.0,119331.0,117559.0,125621.0,113591.0,116587.0,99635.0,194351.0,242161.0,277274.0,155492.0,77772.0,62296.0,50498.0,Indiana,18
1125120.0,65093.0,63905.0,61931.0,64376.0,63513.0,64228.0,61664.0,61157.0,54967.0,104099.0,132391.0,149651.0,81221.0,38821.0,31306.0,26797.0,Iowa,19
924922.0,53086.0,47463.0,48724.0,51267.0,51318.0,51025.0,49468.0,49250.0,43698.0,80131.0,103288.0,121928.0,72652.0,36937.0,34572.0,30115.0,Kansas,20
1489760.0,145013.0,107511.0,96336.0,95444.0,87271.0,86173.0,79162.0,78944.0,67251.0,124326.0,146892.0,167962.0,92283.0,46271.0,37019.0,31902.0,Kentucky,21
1070640.0,72570.0,60175.0,57859.0,56901.0,55167.0,56872.0,51797.0,52411.0,48129.0,86830.0,112786.0,140761.0,87846.0,48641.0,43149.0,38746.0,Louisiana,22
530846.0,36624.0,33410.0,32128.0,32690.0,30404.0,31047.0,28268.0,27716.0,25734.0,47797.0,60362.0,66078.0,34595.0,17214.0,15150.0,11629.0,Maine,23
1288218.0,48807.0,38728.0,38812.0,42406.0,44112.0,44985.0,43903.0,47670.0,44398.0,92799.0,130228.0,185516.0,148501.0,99900.0,117157.0,120296.0,Maryland,24
2047226.0,107116.0,95649.0,80644.0,80214.0,72211.0,79659.0,74368.0,80177.0,72244.0,147785.0,205900.0,287115.0,217974.0,144457.0,150289.0,151424.0,Massachusetts,25
3086667.0,189149.0,158598.0,164632.0,171758.0,165694.0,171370.0,162968.0,161550.0,145611.0,273043.0,338380.0,398858.0,241872.0,134248.0,115705.0,93231.0,Michigan,26
1844442.0,88047.0,84234.0,80048.0,82373.0,82061.0,88914.0,85526.0,90982.0,80663.0,161230.0,217066.0,274160.0,171628.0,92938.0,87114.0,77458.0,Minnesota,27
677651.0,50154.0,44232.0,41443.0,40840.0,38113.0,39273.0,36256.0,33013.0,30546.0,58559.0,71123.0,83751.0,48727.0,23872.0,20277.0,17472.0,Mississippi,28
1970593.0,131119.0,112875.0,110123.0,116696.0,114478.0,113210.0,106953.0,106060.0,93062.0,176134.0,214519.0,244235.0,141050.0,73449.0,63002.0,53628.0,Missouri,29
368095.0,25472.0,23261.0,23718.0,24630.0,22461.0,22710.0,20785.0,20572.0,18120.0,33021.0,39884.0,43324.0,22889.0,11035.0,9052.0,7161.0,Montana,30
623287.0,34069.0,34828.0,33272.0,35542.0,34352.0,35318.0,32966.0,31432.0,29794.0,58048.0,73479.0,83662.0,47367.0,23874.0,18846.0,16438.0,Nebraska,31
635978.0,31190.0,24552.0,28022.0,28258.0,28648.0,30057.0,29413.0,30166.0,26817.0,56587.0,75026.0,92448.0,59122.0,35477.0,32570.0,27625.0,Nevada,32
486047.0,21354.0,19599.0,19138.0,21392.0,21057.0,21786.0,20986.0,22699.0,21302.0,39823.0,55112.0,72134.0,49908.0,29878.0,27964.0,21915.0,New Hampshire,33
2101136.0,75880.0,72151.0,73801.0,75629.0,74194.0,73728.0,69975.0,75088.0,70998.0,147680.0,200100.0,295957.0,238448.0,161589.0,187783.0,208135.0,New Jersey,34
382220.0,25373.0,21017.0,18421.0,21291.0,19433.0,20655.0,19321.0,20245.0,16695.0,32130.0,39685.0,47176.0,31032.0,18068.0,17378.0,14300.0,New Mexico,35
4673820.0,254936.0,215334.0,210013.0,212871.0,200924.0,205256.0,190233.0,195469.0,176682.0,357007.0,469674.0,613398.0,441007.0,271393.0,298330.0,361293.0,New York,36
2563787.0,168850.0,141299.0,131625.0,140189.0,135398.0,143796.0,129759.0,131590.0,119558.0,224088.0,281005.0,326549.0,194030.0,104149.0,97002.0,94900.0,North Carolina,37
255708.0,18022.0,15446.0,14178.0,15129.0,14739.0,14943.0,13619.0,13250.0,12082.0,22675.0,29656.0,33308.0,17721.0,8703.0,6200.0,6037.0,North Dakota,38
3806768.0,242064.0,203785.0,209181.0,214063.0,207367.0,219168.0,202274.0,199703.0,182332.0,335535.0,427735.0,490053.0,285488.0,150254.0,130643.0,107123.0,Ohio,39
1071536.0,78130.0,66840.0,65792.0,65919.0,62621.0,62788.0,58765.0,57716.0,50396.0,94995.0,113820.0,125949.0,71647.0,36244.0,31078.0,28836.0,Oklahoma,40
1279614.0,85682.0,71106.0,68883.0,71611.0,68460.0,72595.0,65970.0,66165.0,59425.0,112777.0,140396.0,162024.0,97194.0,52045.0,45130.0,40151.0,Oregon,41
4136417.0,232650.0,223250.0,223806.0,223534.0,219934.0,222416.0,201162.0,205394.0,186366.0,359206.0,453177.0,540276.0,334308.0,182919.0,169736.0,158283.0,Pennsylvania,42
338953.0,21215.0,18232.0,15957.0,16307.0,14047.0,15364.0,13658.0,14924.0,12217.0,27431.0,34292.0,49886.0,32602.0,19947.0,17881.0,14993.0,Rhode Island,44
1192163.0,76064.0,63354.0,61576.0,65972.0,63117.0,66798.0,60647.0,63194.0,56184.0,104829.0,133040.0,158316.0,92058.0,46898.0,42312.0,37804.0,South Carolina,45
285861.0,17879.0,16837.0,14722.0,17808.0,17063.0,18271.0,15559.0,15044.0,14527.0,27048.0,34510.0,36686.0,18377.0,7884.0,6595.0,7051.0,South Dakota,46
