B01002_001E,B01002_002E,B01002_003E,name,county,state
29.3,28.4,30.3,"Merced County, California",047,06
45.4,42.9,46.5,"Modoc County, California",049,06
36.5,34.8,38.8,"Mono County, California",051,06
32.8,31.9,33.7,"Monterey County, California",053,06
39.4,38.0,40.5,"Napa County, California",055,06
46.8,45.4,47.9,"Nevada County, California",057,06
35.7,34.6,36.9,"Orange County, California",059,06
39.8,38.6,40.9,"Placer County, California",061,06
48.5,46.6,49.9,"Plumas County, California",063,06
33.4,32.4,34.3,"Riverside County, California",065,06
34.6,33.3,35.8,"Sacramento County, California",067,06
33.7,32.5,34.8,"San Benito County, California",069,06
31.2,30.1,32.4,"San Bernardino County, California",071,06
34.5,33.0,35.9,"San Diego County, California",073,06
38.3,38.3,38.3,"San Francisco County, California",075,06
32.3,31.1,33.5,"San Joaquin County, California",077,06
39.0,36.8,41.2,"San Luis Obispo County, California",079,06
39.0,37.7,40.3,"San Mateo County, California",081,06
33.6,32.2,35.2,"Santa Barbara County, California",083,06
35.8,35.0,36.7,"Santa Clara County, California",085,06
36.6,35.5,37.7,"Santa Cruz County, California",087,06
41.3,40.0,42.8,"Shasta County, California",089,06
50.8,50.0,51.6,"Sierra County, California",091,06
46.5,45.1,47.6,"Siskiyou County, California",093,06
36.5,35.1,37.7,"Solano County, California",095,06
39.5,37.8,41.2,"Sonoma County, California",097,06
32.5,31.3,33.6,"Stanislaus County, California",099,06
34.2,33.0,35.4,"Sutter County, California",101,06
39.2,38.6,39.7,"Tehama County, California",103,06
48.5,49.1,47.0,"Trinity County, California",105,06
29.4,28.5,30.3,"Tulare County, California",107,06
46.6,43.3,49.4,"Tuolumne County, California",109,06
36.0,34.6,37.4,"Ventura County, California",111,06
30.1,29.2,30.8,"Yolo County, California",113,06
31.5,30.8,32.0,"Yuba County, California",115,06
32.2,31.7,32.7,"Adams County, Colorado",001,08
32.6,31.2,33.8,"Alamosa County, Colorado",003,08
35.5,34.4,36.5,"Arapahoe County, Colorado",005,08
36.7,29.4,41.9,"Archuleta County, Colorado",007,08
47.2,45.8,48.4,"Baca County, Colorado",009,08
40.2,40.3,39.0,"Bent County, Colorado",011,08
35.3,34.0,36.7,"Boulder County, Colorado",013,08
36.7,35.8,37.5,"Broomfield County, Colorado",014,08
46.3,43.6,49.3,"Chaffee County, Colorado",015,08
41.6,40.7,44.5,"Cheyenne County, Colorado",017,08
44.7,44.7,44.5,"Clear Creek County, Colorado",019,08
38.6,38.2,39.2,"Conejos County, Colorado",021,08
45.6,43.7,46.8,"Costilla County, Colorado",023,08
38.3,37.9,39.4,"Crowley County, Colorado",025,08
51.7,51.4,52.0,"Custer County, Colorado",027,08
45.1,43.5,46.5,"Delta County, Colorado",029,08
33.8,33.5,34.2,"Denver County, Colorado",031,08
43.5,41.0,44.6,"Dolores County, Colorado",033,08
35.8,35.6,36.0,"Douglas County, Colorado",035,08
33.4,33.1,33.9,"Eagle County, Colorado",037,08
42.8,42.7,42.8,"Elbert County, Colorado",039,08
34.3,32.7,35.9,"El Paso County, Colorado",041,08
42.7,39.8,46.6,"Fremont County, Colorado",043,08
34.4,33.8,35.1,"Garfield County, Colorado",045,08
43.8,45.0,43.2,"Gilpin County, Colorado",047,08
40.4,39.9,40.8,"Grand County, Colorado",049,08
33.0,31.8,34.0,"Gunnison County, Colorado",051,08
57.6,58.1,57.6,"Hinsdale County, Colorado",053,08
49.7,48.2,51.4,"Huerfano County, Colorado",055,08
46.5,44.8,49.3,"Jackson County, Colorado",057,08
39.7,38.3,41.0,"Jefferson County, Colorado",059,08
46.2,46.8,45.3,"Kiowa County, Colorado",061,08
39.7,38.4,43.4,"Kit Carson County, Colorado",063,08
34.6,34.9,34.4,"Lake County, Colorado",065,08
38.0,36.2,39.5,"La Plata County, Colorado",067,08
35.0,34.0,36.2,"Larimer County, Colorado",069,08
43.9,42.6,44.9,"Las Animas County, Colorado",071,08
41.4,39.2,44.3,"Lincoln County, Colorado",073,08
38.4,36.8,39.8,"Logan County, Colorado",075,08
38.1,36.7,39.6,"Mesa County, Colorado",077,08
58.4,57.3,61.2,"Mineral County, Colorado",079,08
36.2,36.2,36.4,"Moffat County, Colorado",081,08
42.0,40.4,43.7,"Montezuma County, Colorado",083,08
41.9,41.1,43.0,"Montrose County, Colorado",085,08
36.4,35.3,37.1,"Morgan County, Colorado",087,08
40.8,40.4,41.4,"Otero County, Colorado",089,08
46.2,47.0,45.8,"Ouray County, Colorado",091,08
