B19013B_001E,name,state
27621.0,Alabama,01
55063.0,Alaska,02
40945.0,Arizona,04
25509.0,Arkansas,05
44127.0,California,06
38530.0,Colorado,08
43587.0,Connecticut,09
43179.0,Delaware,10
38218.0,District of Columbia,11
35197.0,Florida,12
36364.0,Georgia,13
57060.0,Hawaii,15
30804.0,Idaho,16
34874.0,Illinois,17
30814.0,Indiana,18
24860.0,Iowa,19
31195.0,Kansas,20
28722.0,Kentucky,21
27107.0,Louisiana,22
35235.0,Maine,23
56075.0,Maryland,24
42115.0,Massachusetts,25
31308.0,Michigan,26
28595.0,Minnesota,27
24609.0,Mississippi,28
30653.0,Missouri,29
34079.0,Montana,30
27468.0,Nebraska,31
42193.0,Nevada,32
47638.0,New Hampshire,33
47191.0,New Jersey,34
39100.0,New Mexico,35
40774.0,New York,36
31977.0,North Carolina,37
24814.0,North Dakota,38
28759.0,Ohio,39
28504.0,Oklahoma,40
32168.0,Oregon,41
31995.0,Pennsylvania,42
34699.0,Rhode Island,44
28899.0,South Carolina,45
31888.0,South Dakota,46
31362.0,Tennessee,47
36464.0,Texas,48
38731.0,Utah,49
40873.0,Vermont,50
42468.0,Virginia,51
40497.0,Washington,53
25866.0,West Virginia,54
27859.0,Wisconsin,55
35714.0,Wyoming,56
18185.0,Puerto Rico,72
