B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
1765.0,826.0,4.0,5.0,0.0,67.0,2.0,3.0,9.0,8.0,324.0,37.0,122.0,77.0,133.0,19.0,4.0,12.0,939.0,8.0,4.0,3.0,26.0,11.0,16.0,6.0,7.0,360.0,71.0,191.0,27.0,175.0,30.0,4.0,0.0,"Census Tract 9656, Adams County, North Dakota",001,38,965600
1255.0,681.0,3.0,0.0,0.0,32.0,3.0,7.0,8.0,16.0,279.0,60.0,82.0,81.0,71.0,26.0,13.0,0.0,574.0,5.0,0.0,0.0,11.0,0.0,0.0,30.0,6.0,197.0,37.0,101.0,54.0,111.0,9.0,13.0,0.0,"Census Tract 9679, Barnes County, North Dakota",003,38,967900
1916.0,1002.0,2.0,4.0,3.0,42.0,12.0,11.0,10.0,4.0,414.0,52.0,184.0,125.0,85.0,35.0,15.0,4.0,914.0,0.0,0.0,2.0,24.0,2.0,2.0,12.0,4.0,336.0,79.0,174.0,87.0,154.0,26.0,12.0,0.0,"Census Tract 9680, Barnes County, North Dakota",003,38,968000
2015.0,955.0,10.0,0.0,0.0,15.0,0.0,31.0,0.0,38.0,323.0,33.0,96.0,23.0,313.0,55.0,18.0,0.0,1060.0,0.0,0.0,0.0,34.0,27.0,1.0,8.0,20.0,418.0,58.0,164.0,56.0,186.0,62.0,0.0,26.0,"Census Tract 9682, Barnes County, North Dakota",003,38,968200
2597.0,1210.0,8.0,0.0,9.0,98.0,47.0,12.0,13.0,12.0,225.0,59.0,222.0,93.0,203.0,155.0,30.0,24.0,1387.0,13.0,0.0,6.0,97.0,28.0,7.0,25.0,14.0,372.0,65.0,167.0,105.0,401.0,76.0,0.0,11.0,"Census Tract 9683, Barnes County, North Dakota",003,38,968300
1132.0,532.0,0.0,4.0,6.0,32.0,8.0,86.0,41.0,0.0,206.0,22.0,56.0,49.0,20.0,2.0,0.0,0.0,600.0,4.0,0.0,0.0,21.0,27.0,34.0,19.0,5.0,186.0,41.0,149.0,58.0,45.0,10.0,0.0,1.0,"Census Tract 9401, Benson County, North Dakota",005,38,940100
1074.0,547.0,0.0,0.0,9.0,52.0,12.0,11.0,51.0,0.0,187.0,10.0,92.0,72.0,45.0,0.0,6.0,0.0,527.0,0.0,8.0,0.0,27.0,11.0,33.0,51.0,14.0,114.0,50.0,71.0,72.0,66.0,10.0,0.0,0.0,"Census Tract 9402, Benson County, North Dakota",005,38,940200
883.0,458.0,0.0,0.0,0.0,18.0,3.0,3.0,5.0,30.0,178.0,28.0,69.0,59.0,58.0,3.0,4.0,0.0,425.0,11.0,0.0,0.0,2.0,2.0,7.0,0.0,5.0,154.0,23.0,90.0,85.0,41.0,5.0,0.0,0.0,"Census Tract 9565, Benson County, North Dakota",005,38,956500
743.0,393.0,4.0,1.0,0.0,32.0,7.0,2.0,3.0,4.0,144.0,25.0,71.0,52.0,37.0,8.0,3.0,0.0,350.0,4.0,0.0,0.0,24.0,3.0,0.0,5.0,0.0,108.0,37.0,74.0,53.0,33.0,6.0,3.0,0.0,"Census Tract 9566, Benson County, North Dakota",005,38,956600
664.0,367.0,8.0,0.0,0.0,14.0,9.0,9.0,4.0,2.0,158.0,27.0,57.0,29.0,43.0,5.0,2.0,0.0,297.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,79.0,27.0,48.0,35.0,76.0,12.0,6.0,0.0,"Census Tract 9631, Billings County, North Dakota",007,38,963100
