B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2774.0,1427.0,6.0,0.0,2.0,49.0,16.0,25.0,30.0,20.0,526.0,68.0,128.0,89.0,310.0,118.0,29.0,11.0,1347.0,0.0,0.0,9.0,13.0,3.0,8.0,20.0,17.0,311.0,102.0,148.0,121.0,369.0,181.0,25.0,20.0,"Census Tract 9601, Addison County, Vermont",001,50,960100
1962.0,1018.0,0.0,0.0,0.0,21.0,10.0,0.0,8.0,29.0,424.0,92.0,94.0,58.0,179.0,64.0,39.0,0.0,944.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,7.0,338.0,32.0,61.0,113.0,208.0,150.0,19.0,6.0,"Census Tract 9602, Addison County, Vermont",001,50,960200
1594.0,758.0,5.0,0.0,0.0,44.0,28.0,7.0,34.0,8.0,258.0,53.0,54.0,84.0,148.0,23.0,6.0,6.0,836.0,0.0,0.0,7.0,16.0,9.0,37.0,12.0,7.0,322.0,20.0,94.0,98.0,164.0,31.0,10.0,9.0,"Census Tract 9603, Addison County, Vermont",001,50,960300
3568.0,1790.0,0.0,7.0,12.0,54.0,20.0,22.0,21.0,20.0,594.0,71.0,183.0,162.0,373.0,148.0,51.0,52.0,1778.0,3.0,0.0,2.0,19.0,7.0,26.0,34.0,0.0,462.0,101.0,225.0,198.0,415.0,207.0,41.0,38.0,"Census Tract 9604, Addison County, Vermont",001,50,960400
2766.0,1343.0,0.0,9.0,22.0,32.0,50.0,0.0,41.0,9.0,567.0,76.0,175.0,59.0,157.0,96.0,17.0,33.0,1423.0,0.0,0.0,0.0,30.0,54.0,59.0,10.0,8.0,541.0,44.0,153.0,135.0,238.0,113.0,0.0,38.0,"Census Tract 9605, Addison County, Vermont",001,50,960500
1913.0,933.0,0.0,3.0,7.0,46.0,11.0,14.0,19.0,29.0,268.0,45.0,149.0,56.0,217.0,39.0,24.0,6.0,980.0,2.0,0.0,0.0,10.0,18.0,10.0,3.0,0.0,286.0,34.0,119.0,73.0,269.0,117.0,16.0,23.0,"Census Tract 9606, Addison County, Vermont",001,50,960600
2810.0,1280.0,8.0,0.0,0.0,7.0,0.0,36.0,83.0,16.0,256.0,96.0,128.0,36.0,266.0,183.0,51.0,114.0,1530.0,0.0,0.0,0.0,0.0,59.0,26.0,23.0,0.0,407.0,125.0,189.0,41.0,309.0,252.0,42.0,57.0,"Census Tract 9607, Addison County, Vermont",001,50,960700
1634.0,680.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,180.0,25.0,97.0,51.0,91.0,72.0,43.0,110.0,954.0,12.0,30.0,0.0,20.0,0.0,6.0,0.0,41.0,305.0,89.0,48.0,8.0,191.0,151.0,27.0,26.0,"Census Tract 9608, Addison County, Vermont",001,50,960800
3853.0,1988.0,3.0,38.0,18.0,66.0,23.0,29.0,39.0,29.0,821.0,32.0,174.0,118.0,320.0,155.0,56.0,67.0,1865.0,4.0,3.0,6.0,35.0,19.0,12.0,28.0,19.0,604.0,96.0,188.0,139.0,422.0,226.0,39.0,25.0,"Census Tract 9609, Addison County, Vermont",001,50,960900
1626.0,768.0,0.0,0.0,0.0,22.0,6.0,44.0,54.0,24.0,334.0,22.0,73.0,49.0,102.0,29.0,4.0,5.0,858.0,9.0,0.0,7.0,42.0,2.0,21.0,20.0,0.0,353.0,68.0,62.0,89.0,96.0,72.0,8.0,9.0,"Census Tract 9610, Addison County, Vermont",001,50,961000
