B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
2710.0,1917.0,793.0,"Census Tract 1, Atlantic County, New Jersey",001,34,000100
3243.0,1696.0,1547.0,"Census Tract 2, Atlantic County, New Jersey",001,34,000200
3963.0,1785.0,2178.0,"Census Tract 3, Atlantic County, New Jersey",001,34,000300
3306.0,2379.0,927.0,"Census Tract 4, Atlantic County, New Jersey",001,34,000400
3478.0,1738.0,1740.0,"Census Tract 5, Atlantic County, New Jersey",001,34,000500
2072.0,1863.0,209.0,"Census Tract 11, Atlantic County, New Jersey",001,34,001100
2848.0,2478.0,370.0,"Census Tract 12, Atlantic County, New Jersey",001,34,001200
2117.0,2011.0,106.0,"Census Tract 13, Atlantic County, New Jersey",001,34,001300
4045.0,3846.0,199.0,"Census Tract 14, Atlantic County, New Jersey",001,34,001400
979.0,824.0,155.0,"Census Tract 15, Atlantic County, New Jersey",001,34,001500
1440.0,1075.0,365.0,"Census Tract 19, Atlantic County, New Jersey",001,34,001900
2965.0,1359.0,1606.0,"Census Tract 23, Atlantic County, New Jersey",001,34,002300
2605.0,2065.0,540.0,"Census Tract 24, Atlantic County, New Jersey",001,34,002400
4077.0,3626.0,451.0,"Census Tract 25, Atlantic County, New Jersey",001,34,002500
3166.0,3055.0,111.0,"Census Tract 101.01, Atlantic County, New Jersey",001,34,010101
1911.0,1788.0,123.0,"Census Tract 101.02, Atlantic County, New Jersey",001,34,010102
1759.0,1646.0,113.0,"Census Tract 101.04, Atlantic County, New Jersey",001,34,010104
2996.0,2233.0,763.0,"Census Tract 101.05, Atlantic County, New Jersey",001,34,010105
5591.0,5173.0,418.0,"Census Tract 102, Atlantic County, New Jersey",001,34,010200
2788.0,1940.0,848.0,"Census Tract 103, Atlantic County, New Jersey",001,34,010300
5424.0,4984.0,440.0,"Census Tract 104.01, Atlantic County, New Jersey",001,34,010401
6074.0,4447.0,1627.0,"Census Tract 104.03, Atlantic County, New Jersey",001,34,010403
6985.0,6366.0,619.0,"Census Tract 105.01, Atlantic County, New Jersey",001,34,010501
7301.0,6002.0,1299.0,"Census Tract 105.03, Atlantic County, New Jersey",001,34,010503
2624.0,2384.0,240.0,"Census Tract 105.05, Atlantic County, New Jersey",001,34,010505
5027.0,4245.0,782.0,"Census Tract 105.06, Atlantic County, New Jersey",001,34,010506
4299.0,3944.0,355.0,"Census Tract 106, Atlantic County, New Jersey",001,34,010600
6163.0,5888.0,275.0,"Census Tract 107, Atlantic County, New Jersey",001,34,010700
3072.0,2737.0,335.0,"Census Tract 108, Atlantic County, New Jersey",001,34,010800
6052.0,5318.0,734.0,"Census Tract 109, Atlantic County, New Jersey",001,34,010900
2388.0,2146.0,242.0,"Census Tract 110, Atlantic County, New Jersey",001,34,011000
3193.0,2712.0,481.0,"Census Tract 111, Atlantic County, New Jersey",001,34,011100
1755.0,1731.0,24.0,"Census Tract 112.01, Atlantic County, New Jersey",001,34,011201
7598.0,7196.0,402.0,"Census Tract 112.02, Atlantic County, New Jersey",001,34,011202
4544.0,4421.0,123.0,"Census Tract 113, Atlantic County, New Jersey",001,34,011300
4004.0,3698.0,306.0,"Census Tract 114.01, Atlantic County, New Jersey",001,34,011401
5589.0,4334.0,1255.0,"Census Tract 114.03, Atlantic County, New Jersey",001,34,011403
9452.0,8111.0,1341.0,"Census Tract 114.04, Atlantic County, New Jersey",001,34,011404
6954.0,6652.0,302.0,"Census Tract 115, Atlantic County, New Jersey",001,34,011500
4922.0,4630.0,292.0,"Census Tract 116, Atlantic County, New Jersey",001,34,011600
8904.0,6765.0,2139.0,"Census Tract 117.01, Atlantic County, New Jersey",001,34,011701
3647.0,2980.0,667.0,"Census Tract 117.02, Atlantic County, New Jersey",001,34,011702
15742.0,13678.0,2064.0,"Census Tract 118.02, Atlantic County, New Jersey",001,34,011802
4312.0,3723.0,589.0,"Census Tract 118.03, Atlantic County, New Jersey",001,34,011803
6366.0,5947.0,419.0,"Census Tract 118.04, Atlantic County, New Jersey",001,34,011804
2411.0,2302.0,109.0,"Census Tract 118.05, Atlantic County, New Jersey",001,34,011805
8382.0,6683.0,1699.0,"Census Tract 119, Atlantic County, New Jersey",001,34,011900
4294.0,3113.0,1181.0,"Census Tract 120, Atlantic County, New Jersey",001,34,012000
2783.0,1898.0,885.0,"Census Tract 121, Atlantic County, New Jersey",001,34,012100
5398.0,4129.0,1269.0,"Census Tract 122, Atlantic County, New Jersey",001,34,012200
3587.0,3122.0,465.0,"Census Tract 123.02, Atlantic County, New Jersey",001,34,012302
2785.0,2502.0,283.0,"Census Tract 124.01, Atlantic County, New Jersey",001,34,012401
2203.0,2060.0,143.0,"Census Tract 124.02, Atlantic County, New Jersey",001,34,012402
2769.0,2291.0,478.0,"Census Tract 125.01, Atlantic County, New Jersey",001,34,012501
1505.0,1426.0,79.0,"Census Tract 125.02, Atlantic County, New Jersey",001,34,012502
1486.0,1337.0,149.0,"Census Tract 126.02, Atlantic County, New Jersey",001,34,012602
3693.0,3175.0,518.0,"Census Tract 127.01, Atlantic County, New Jersey",001,34,012701
1818.0,1717.0,101.0,"Census Tract 127.02, Atlantic County, New Jersey",001,34,012702
3487.0,3192.0,295.0,"Census Tract 128.01, Atlantic County, New Jersey",001,34,012801
1949.0,1774.0,175.0,"Census Tract 128.02, Atlantic County, New Jersey",001,34,012802
3858.0,3550.0,308.0,"Census Tract 130, Atlantic County, New Jersey",001,34,013000
1387.0,1284.0,103.0,"Census Tract 131.01, Atlantic County, New Jersey",001,34,013101
1333.0,1215.0,118.0,"Census Tract 131.02, Atlantic County, New Jersey",001,34,013102
2412.0,1562.0,850.0,"Census Tract 132.01, Atlantic County, New Jersey",001,34,013201
2491.0,1468.0,1023.0,"Census Tract 132.02, Atlantic County, New Jersey",001,34,013202
2749.0,2410.0,339.0,"Census Tract 133.01, Atlantic County, New Jersey",001,34,013301
3294.0,2723.0,571.0,"Census Tract 133.02, Atlantic County, New Jersey",001,34,013302
2600.0,2517.0,83.0,"Census Tract 135, Atlantic County, New Jersey",001,34,013500
4550.0,4272.0,278.0,"Census Tract 9834, Atlantic County, New Jersey",001,34,983400
0.0,0.0,0.0,"Census Tract 9900, Atlantic County, New Jersey",001,34,990000
6511.0,5535.0,976.0,"Census Tract 10, Bergen County, New Jersey",003,34,001000
2072.0,1345.0,727.0,"Census Tract 21, Bergen County, New Jersey",003,34,002100
5034.0,3545.0,1489.0,"Census Tract 22, Bergen County, New Jersey",003,34,002200
5710.0,3977.0,1733.0,"Census Tract 23, Bergen County, New Jersey",003,34,002300
5244.0,3302.0,1942.0,"Census Tract 31, Bergen County, New Jersey",003,34,003100
4076.0,2131.0,1945.0,"Census Tract 32, Bergen County, New Jersey",003,34,003200
6452.0,3936.0,2516.0,"Census Tract 33, Bergen County, New Jersey",003,34,003300
3061.0,2473.0,588.0,"Census Tract 34.01, Bergen County, New Jersey",003,34,003401
3723.0,2880.0,843.0,"Census Tract 34.02, Bergen County, New Jersey",003,34,003402
4107.0,2060.0,2047.0,"Census Tract 35, Bergen County, New Jersey",003,34,003500
3293.0,2276.0,1017.0,"Census Tract 40.01, Bergen County, New Jersey",003,34,004001
4871.0,3413.0,1458.0,"Census Tract 40.02, Bergen County, New Jersey",003,34,004002
6092.0,4316.0,1776.0,"Census Tract 50, Bergen County, New Jersey",003,34,005000
6222.0,3935.0,2287.0,"Census Tract 61, Bergen County, New Jersey",003,34,006100
4757.0,3078.0,1679.0,"Census Tract 62.01, Bergen County, New Jersey",003,34,006201
4694.0,2392.0,2302.0,"Census Tract 62.02, Bergen County, New Jersey",003,34,006202
7796.0,4392.0,3404.0,"Census Tract 63, Bergen County, New Jersey",003,34,006300
4049.0,2639.0,1410.0,"Census Tract 70.01, Bergen County, New Jersey",003,34,007001
4305.0,2883.0,1422.0,"Census Tract 70.02, Bergen County, New Jersey",003,34,007002
8459.0,6486.0,1973.0,"Census Tract 80, Bergen County, New Jersey",003,34,008000
4865.0,3572.0,1293.0,"Census Tract 91, Bergen County, New Jersey",003,34,009100
3376.0,2878.0,498.0,"Census Tract 92, Bergen County, New Jersey",003,34,009200
6114.0,4508.0,1606.0,"Census Tract 101, Bergen County, New Jersey",003,34,010100
4162.0,2485.0,1677.0,"Census Tract 102, Bergen County, New Jersey",003,34,010200
7157.0,5247.0,1910.0,"Census Tract 103, Bergen County, New Jersey",003,34,010300
4463.0,2624.0,1839.0,"Census Tract 111, Bergen County, New Jersey",003,34,011100
4331.0,2798.0,1533.0,"Census Tract 112, Bergen County, New Jersey",003,34,011200
4471.0,3184.0,1287.0,"Census Tract 113, Bergen County, New Jersey",003,34,011300
6046.0,3983.0,2063.0,"Census Tract 114, Bergen County, New Jersey",003,34,011400
5649.0,3316.0,2333.0,"Census Tract 120.01, Bergen County, New Jersey",003,34,012001
3226.0,2266.0,960.0,"Census Tract 120.02, Bergen County, New Jersey",003,34,012002
5479.0,2690.0,2789.0,"Census Tract 130.01, Bergen County, New Jersey",003,34,013001
5599.0,3394.0,2205.0,"Census Tract 130.02, Bergen County, New Jersey",003,34,013002
7367.0,6182.0,1185.0,"Census Tract 140, Bergen County, New Jersey",003,34,014000
2376.0,2000.0,376.0,"Census Tract 151, Bergen County, New Jersey",003,34,015100
6530.0,4230.0,2300.0,"Census Tract 152, Bergen County, New Jersey",003,34,015200
6054.0,4505.0,1549.0,"Census Tract 153, Bergen County, New Jersey",003,34,015300
5646.0,3187.0,2459.0,"Census Tract 154, Bergen County, New Jersey",003,34,015400
6397.0,4660.0,1737.0,"Census Tract 155, Bergen County, New Jersey",003,34,015500
5271.0,3125.0,2146.0,"Census Tract 160, Bergen County, New Jersey",003,34,016000
6636.0,4026.0,2610.0,"Census Tract 171, Bergen County, New Jersey",003,34,017100
5951.0,4202.0,1749.0,"Census Tract 172, Bergen County, New Jersey",003,34,017200
6086.0,4922.0,1164.0,"Census Tract 173, Bergen County, New Jersey",003,34,017300
4937.0,3519.0,1418.0,"Census Tract 174, Bergen County, New Jersey",003,34,017400
8676.0,6517.0,2159.0,"Census Tract 175, Bergen County, New Jersey",003,34,017500
6906.0,3286.0,3620.0,"Census Tract 181, Bergen County, New Jersey",003,34,018100
6842.0,3051.0,3791.0,"Census Tract 182, Bergen County, New Jersey",003,34,018200
2934.0,1469.0,1465.0,"Census Tract 191.02, Bergen County, New Jersey",003,34,019102
3879.0,1510.0,2369.0,"Census Tract 191.03, Bergen County, New Jersey",003,34,019103
3909.0,1811.0,2098.0,"Census Tract 191.04, Bergen County, New Jersey",003,34,019104
1350.0,715.0,635.0,"Census Tract 192.02, Bergen County, New Jersey",003,34,019202
2793.0,1495.0,1298.0,"Census Tract 192.03, Bergen County, New Jersey",003,34,019203
3884.0,1818.0,2066.0,"Census Tract 192.04, Bergen County, New Jersey",003,34,019204
5391.0,2391.0,3000.0,"Census Tract 193.03, Bergen County, New Jersey",003,34,019303
2786.0,1256.0,1530.0,"Census Tract 193.04, Bergen County, New Jersey",003,34,019304
6210.0,3916.0,2294.0,"Census Tract 193.05, Bergen County, New Jersey",003,34,019305
2138.0,1516.0,622.0,"Census Tract 193.06, Bergen County, New Jersey",003,34,019306
4144.0,3234.0,910.0,"Census Tract 201, Bergen County, New Jersey",003,34,020100
6401.0,5420.0,981.0,"Census Tract 202, Bergen County, New Jersey",003,34,020200
7088.0,6224.0,864.0,"Census Tract 5011.02, Gloucester County, New Jersey",015,34,501102
