B19013D_001E,name,state
54756.0,Alabama,01
64794.0,Alaska,02
65194.0,Arizona,04
48249.0,Arkansas,05
75968.0,California,06
61939.0,Colorado,08
82022.0,Connecticut,09
88818.0,Delaware,10
76969.0,District of Columbia,11
59435.0,Florida,12
61986.0,Georgia,13
70573.0,Hawaii,15
41534.0,Idaho,16
74986.0,Illinois,17
53742.0,Indiana,18
55839.0,Iowa,19
59306.0,Kansas,20
64284.0,Kentucky,21
53035.0,Louisiana,22
50219.0,Maine,23
89575.0,Maryland,24
74519.0,Massachusetts,25
72610.0,Michigan,26
61931.0,Minnesota,27
48674.0,Mississippi,28
59040.0,Missouri,29
40000.0,Montana,30
52410.0,Nebraska,31
62250.0,Nevada,32
76141.0,New Hampshire,33
101537.0,New Jersey,34
55591.0,New Mexico,35
61379.0,New York,36
62245.0,North Carolina,37
39382.0,North Dakota,38
66339.0,Ohio,39
50986.0,Oklahoma,40
58773.0,Oregon,41
62635.0,Pennsylvania,42
54842.0,Rhode Island,44
53126.0,South Carolina,45
47104.0,South Dakota,46
63936.0,Tennessee,47
67329.0,Texas,48
57635.0,Utah,49
39496.0,Vermont,50
87364.0,Virginia,51
68652.0,Washington,53
56411.0,West Virginia,54
54462.0,Wisconsin,55
45838.0,Wyoming,56
17047.0,Puerto Rico,72
