B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,state,tract
3328.0,1691.0,92.0,124.0,51.0,29.0,9.0,12.0,31.0,93.0,113.0,84.0,47.0,119.0,113.0,94.0,172.0,34.0,81.0,38.0,90.0,90.0,44.0,52.0,79.0,1637.0,82.0,57.0,89.0,7.0,18.0,21.0,20.0,16.0,81.0,41.0,31.0,117.0,96.0,75.0,200.0,97.0,69.0,75.0,64.0,76.0,44.0,173.0,88.0,"Census Tract 31.02, Honolulu County, Hawaii",003,15,003102
983.0,545.0,2.0,38.0,36.0,16.0,13.0,40.0,8.0,21.0,0.0,84.0,38.0,18.0,39.0,2.0,9.0,0.0,50.0,0.0,29.0,58.0,20.0,0.0,24.0,438.0,0.0,0.0,6.0,33.0,7.0,0.0,0.0,0.0,55.0,21.0,21.0,32.0,29.0,43.0,17.0,26.0,22.0,33.0,5.0,7.0,27.0,29.0,25.0,"Census Tract 32, Honolulu County, Hawaii",003,15,003200
1266.0,673.0,28.0,34.0,3.0,2.0,13.0,33.0,8.0,57.0,42.0,33.0,37.0,34.0,58.0,85.0,55.0,18.0,28.0,31.0,12.0,24.0,7.0,7.0,24.0,593.0,47.0,23.0,0.0,29.0,0.0,4.0,0.0,25.0,8.0,22.0,35.0,29.0,60.0,71.0,26.0,24.0,11.0,2.0,6.0,80.0,66.0,7.0,18.0,"Census Tract 33, Honolulu County, Hawaii",003,15,003300
5533.0,2722.0,166.0,137.0,37.0,100.0,16.0,53.0,101.0,195.0,247.0,136.0,275.0,266.0,158.0,226.0,189.0,40.0,127.0,24.0,58.0,29.0,24.0,52.0,66.0,2811.0,97.0,0.0,39.0,24.0,26.0,0.0,71.0,209.0,279.0,366.0,199.0,172.0,164.0,295.0,170.0,53.0,55.0,61.0,115.0,123.0,65.0,102.0,126.0,"Census Tract 34.03, Honolulu County, Hawaii",003,15,003403
5192.0,2433.0,74.0,89.0,93.0,48.0,0.0,79.0,98.0,135.0,130.0,97.0,179.0,193.0,244.0,210.0,180.0,93.0,32.0,54.0,88.0,137.0,95.0,30.0,55.0,2759.0,131.0,134.0,72.0,63.0,157.0,6.0,53.0,31.0,390.0,151.0,98.0,135.0,136.0,218.0,213.0,90.0,77.0,93.0,66.0,71.0,118.0,128.0,128.0,"Census Tract 34.04, Honolulu County, Hawaii",003,15,003404
3450.0,1572.0,67.0,51.0,36.0,22.0,8.0,17.0,13.0,116.0,189.0,165.0,162.0,158.0,46.0,74.0,178.0,48.0,92.0,25.0,40.0,17.0,0.0,17.0,31.0,1878.0,95.0,68.0,43.0,33.0,23.0,71.0,21.0,152.0,117.0,213.0,110.0,96.0,152.0,126.0,125.0,43.0,82.0,42.0,55.0,56.0,32.0,82.0,41.0,"Census Tract 34.05, Honolulu County, Hawaii",003,15,003405
6149.0,3097.0,166.0,195.0,287.0,55.0,66.0,35.0,11.0,206.0,263.0,217.0,285.0,214.0,236.0,151.0,291.0,53.0,180.0,38.0,28.0,48.0,36.0,0.0,36.0,3052.0,159.0,88.0,114.0,75.0,151.0,41.0,69.0,127.0,165.0,429.0,304.0,173.0,174.0,331.0,250.0,104.0,47.0,24.0,50.0,29.0,64.0,48.0,36.0,"Census Tract 34.06, Honolulu County, Hawaii",003,15,003406
690.0,250.0,5.0,5.0,22.0,0.0,7.0,0.0,0.0,0.0,14.0,29.0,16.0,17.0,9.0,4.0,16.0,0.0,6.0,12.0,0.0,10.0,10.0,16.0,52.0,440.0,0.0,14.0,10.0,5.0,6.0,0.0,0.0,7.0,19.0,33.0,19.0,29.0,23.0,13.0,0.0,0.0,6.0,0.0,6.0,38.0,9.0,53.0,150.0,"Census Tract 34.07, Honolulu County, Hawaii",003,15,003407
2104.0,1039.0,47.0,13.0,61.0,0.0,28.0,16.0,20.0,34.0,42.0,167.0,136.0,64.0,41.0,42.0,55.0,58.0,30.0,68.0,10.0,43.0,17.0,15.0,32.0,1065.0,88.0,8.0,20.0,9.0,0.0,0.0,16.0,58.0,85.0,48.0,105.0,76.0,23.0,30.0,81.0,70.0,66.0,67.0,55.0,44.0,48.0,55.0,13.0,"Census Tract 35.01, Honolulu County, Hawaii",003,15,003501
4118.0,1980.0,105.0,60.0,148.0,103.0,52.0,20.0,16.0,113.0,97.0,135.0,159.0,92.0,106.0,130.0,140.0,134.0,58.0,13.0,40.0,60.0,47.0,43.0,109.0,2138.0,79.0,159.0,59.0,34.0,15.0,0.0,18.0,20.0,123.0,123.0,142.0,145.0,127.0,109.0,97.0,116.0,132.0,67.0,67.0,104.0,123.0,115.0,164.0,"Census Tract 35.02, Honolulu County, Hawaii",003,15,003502
