B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,state,tract
3363.0,1841.0,79.0,171.0,140.0,35.0,23.0,97.0,25.0,117.0,167.0,53.0,99.0,62.0,106.0,160.0,174.0,89.0,27.0,61.0,33.0,61.0,43.0,9.0,10.0,1522.0,51.0,119.0,83.0,49.0,9.0,116.0,0.0,91.0,120.0,77.0,113.0,38.0,101.0,176.0,69.0,56.0,42.0,53.0,55.0,36.0,22.0,24.0,22.0,"Census Tract 9627, Albany County, Wyoming",001,56,962700
3404.0,1820.0,298.0,73.0,138.0,50.0,49.0,50.0,47.0,156.0,164.0,160.0,105.0,54.0,111.0,65.0,80.0,16.0,50.0,61.0,18.0,29.0,33.0,13.0,0.0,1584.0,138.0,136.0,104.0,61.0,52.0,58.0,35.0,97.0,174.0,82.0,120.0,95.0,82.0,125.0,46.0,19.0,31.0,51.0,21.0,46.0,0.0,11.0,0.0,"Census Tract 9628, Albany County, Wyoming",001,56,962800
1811.0,925.0,41.0,70.0,54.0,31.0,31.0,4.0,6.0,52.0,160.0,72.0,81.0,108.0,53.0,56.0,51.0,12.0,7.0,0.0,0.0,6.0,0.0,0.0,30.0,886.0,39.0,17.0,55.0,21.0,28.0,41.0,0.0,46.0,145.0,58.0,62.0,55.0,32.0,50.0,72.0,30.0,0.0,23.0,60.0,5.0,14.0,23.0,10.0,"Census Tract 9629, Albany County, Wyoming",001,56,962900
2128.0,1327.0,64.0,0.0,33.0,14.0,149.0,163.0,135.0,291.0,101.0,123.0,11.0,66.0,27.0,14.0,54.0,11.0,10.0,0.0,28.0,0.0,0.0,24.0,9.0,801.0,8.0,20.0,0.0,14.0,58.0,125.0,50.0,57.0,141.0,28.0,58.0,34.0,8.0,15.0,36.0,0.0,34.0,14.0,16.0,32.0,28.0,25.0,0.0,"Census Tract 9630, Albany County, Wyoming",001,56,963000
6663.0,3448.0,154.0,151.0,144.0,130.0,116.0,178.0,171.0,498.0,324.0,137.0,154.0,166.0,197.0,189.0,153.0,111.0,146.0,29.0,106.0,41.0,57.0,66.0,30.0,3215.0,148.0,173.0,285.0,80.0,130.0,119.0,170.0,324.0,224.0,221.0,105.0,196.0,100.0,227.0,190.0,106.0,105.0,15.0,97.0,63.0,68.0,17.0,52.0,"Census Tract 9631, Albany County, Wyoming",001,56,963100
3908.0,2223.0,50.0,30.0,22.0,41.0,65.0,229.0,73.0,555.0,414.0,313.0,64.0,112.0,57.0,66.0,22.0,0.0,27.0,33.0,37.0,0.0,0.0,0.0,13.0,1685.0,48.0,77.0,7.0,0.0,55.0,76.0,113.0,506.0,220.0,130.0,32.0,83.0,91.0,57.0,96.0,16.0,27.0,50.0,0.0,0.0,1.0,0.0,0.0,"Census Tract 9634, Albany County, Wyoming",001,56,963400
3050.0,1583.0,85.0,25.0,18.0,20.0,857.0,147.0,115.0,110.0,140.0,13.0,12.0,19.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.0,120.0,0.0,5.0,3.0,834.0,147.0,67.0,121.0,129.0,0.0,16.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"Census Tract 9635, Albany County, Wyoming",001,56,963500
4210.0,2054.0,102.0,83.0,102.0,40.0,130.0,28.0,53.0,243.0,265.0,170.0,88.0,120.0,120.0,159.0,86.0,41.0,47.0,48.0,55.0,25.0,31.0,0.0,18.0,2156.0,111.0,95.0,31.0,52.0,114.0,18.0,34.0,336.0,155.0,156.0,79.0,164.0,138.0,92.0,197.0,40.0,26.0,17.0,62.0,14.0,52.0,72.0,101.0,"Census Tract 9636, Albany County, Wyoming",001,56,963600
5606.0,2458.0,95.0,124.0,162.0,100.0,131.0,171.0,49.0,344.0,170.0,170.0,131.0,178.0,128.0,150.0,82.0,23.0,96.0,29.0,14.0,25.0,0.0,30.0,56.0,3148.0,198.0,203.0,88.0,165.0,74.0,296.0,278.0,275.0,216.0,229.0,201.0,125.0,210.0,100.0,92.0,39.0,88.0,20.0,10.0,31.0,52.0,98.0,60.0,"Census Tract 9637, Albany County, Wyoming",001,56,963700
2043.0,1215.0,4.0,29.0,72.0,23.0,34.0,44.0,8.0,15.0,24.0,32.0,38.0,150.0,25.0,89.0,238.0,113.0,16.0,49.0,52.0,58.0,46.0,44.0,12.0,828.0,12.0,26.0,17.0,13.0,0.0,0.0,0.0,15.0,46.0,25.0,25.0,39.0,55.0,142.0,117.0,101.0,23.0,54.0,49.0,30.0,17.0,22.0,0.0,"Census Tract 9639, Albany County, Wyoming",001,56,963900
