B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,congressional district,state
454022.0,215147.0,2837.0,1007.0,2418.0,5315.0,5355.0,7625.0,7572.0,4645.0,73730.0,11895.0,33935.0,14184.0,30180.0,8217.0,3825.0,2407.0,238875.0,2426.0,886.0,1870.0,4981.0,5095.0,6858.0,9137.0,3877.0,76149.0,15349.0,39831.0,20625.0,33764.0,14563.0,1956.0,1508.0,"Congressional District 1 (113th Congress), Alabama",01,01
452532.0,215162.0,3329.0,1591.0,3582.0,6511.0,6086.0,7522.0,7628.0,4063.0,70202.0,12196.0,33481.0,13842.0,28878.0,10715.0,3519.0,2017.0,237370.0,3362.0,1157.0,2599.0,5992.0,5670.0,7977.0,8282.0,4124.0,77029.0,15633.0,37022.0,19197.0,31168.0,15079.0,1947.0,1132.0,"Congressional District 2 (113th Congress), Alabama",02,01
445285.0,212120.0,3002.0,1697.0,3175.0,7271.0,6886.0,9239.0,9277.0,4502.0,69353.0,13038.0,32029.0,13152.0,24472.0,8710.0,2790.0,3527.0,233165.0,3157.0,1162.0,3023.0,6708.0,7041.0,9020.0,9598.0,4011.0,75476.0,15855.0,34647.0,18570.0,27303.0,14001.0,1804.0,1789.0,"Congressional District 3 (113th Congress), Alabama",03,01
462881.0,221340.0,3631.0,2779.0,4934.0,9209.0,8793.0,9593.0,8686.0,4962.0,76950.0,13521.0,32849.0,13364.0,20664.0,6628.0,3153.0,1624.0,241541.0,3680.0,2025.0,4215.0,9442.0,9154.0,10527.0,9092.0,4085.0,79377.0,16304.0,36648.0,20812.0,21474.0,11736.0,2123.0,847.0,"Congressional District 4 (113th Congress), Alabama",04,01
458812.0,220914.0,2583.0,1712.0,2836.0,5458.0,4593.0,6324.0,6227.0,3489.0,60533.0,12409.0,33947.0,13864.0,41558.0,17503.0,3979.0,3899.0,237898.0,2636.0,786.0,2401.0,5999.0,5241.0,7358.0,7042.0,3747.0,65965.0,16843.0,38587.0,17757.0,41610.0,18200.0,2426.0,1300.0,"Congressional District 5 (113th Congress), Alabama",05,01
460127.0,219556.0,1947.0,968.0,2880.0,4488.0,4697.0,5519.0,5267.0,3074.0,55746.0,10322.0,35112.0,12783.0,48816.0,16326.0,8093.0,3518.0,240571.0,1795.0,421.0,1942.0,4230.0,3757.0,5521.0,5159.0,3064.0,65068.0,14236.0,38403.0,18715.0,49565.0,21216.0,4757.0,2722.0,"Congressional District 6 (113th Congress), Alabama",06,01
432765.0,194468.0,2882.0,1743.0,2593.0,5634.0,5471.0,8100.0,9469.0,4812.0,70361.0,9282.0,31948.0,11289.0,20130.0,6936.0,2417.0,1401.0,238297.0,3392.0,1078.0,2921.0,5584.0,5276.0,8556.0,10811.0,4592.0,75467.0,13061.0,43303.0,19147.0,28535.0,13130.0,1873.0,1571.0,"Congressional District 7 (113th Congress), Alabama",07,01
447543.0,231686.0,1190.0,1097.0,1448.0,2990.0,2127.0,3693.0,4180.0,2994.0,69644.0,17197.0,49569.0,16955.0,36800.0,14133.0,4497.0,3172.0,215857.0,1484.0,1566.0,1573.0,2376.0,2048.0,2764.0,3920.0,2202.0,51628.0,17221.0,46352.0,18357.0,42641.0,16575.0,3000.0,2150.0,"Congressional District (at Large) (113th Congress), Alaska",00,02
447385.0,222545.0,3184.0,1982.0,3187.0,5673.0,3877.0,6604.0,7703.0,3855.0,62093.0,15434.0,41453.0,16150.0,30781.0,13525.0,3613.0,3431.0,224840.0,4429.0,1841.0,3014.0,4887.0,3377.0,5201.0,7073.0,3578.0,56578.0,17819.0,44034.0,22012.0,31943.0,15342.0,1786.0,1926.0,"Congressional District 1 (113th Congress), Arizona",01,04
493408.0,238477.0,1986.0,1080.0,2502.0,3965.0,2854.0,3072.0,4899.0,3838.0,52010.0,15964.0,47978.0,20453.0,44803.0,20325.0,6775.0,5973.0,254931.0,2034.0,1416.0,2696.0,3722.0,3000.0,3740.0,4339.0,3768.0,55841.0,21514.0,52196.0,23231.0,46637.0,23691.0,3792.0,3314.0,"Congressional District 2 (113th Congress), Arizona",02,04
