B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
3485.0,1525.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,15.0,654.0,146.0,220.0,98.0,267.0,52.0,14.0,11.0,1960.0,0.0,0.0,0.0,29.0,14.0,13.0,56.0,66.0,753.0,350.0,243.0,109.0,261.0,53.0,0.0,13.0,"Census Tract 1, Adams County, Illinois",001,17,000100
1384.0,654.0,0.0,0.0,7.0,37.0,0.0,21.0,47.0,12.0,290.0,50.0,60.0,39.0,69.0,18.0,0.0,4.0,730.0,0.0,0.0,9.0,3.0,0.0,20.0,2.0,0.0,208.0,134.0,158.0,59.0,69.0,50.0,18.0,0.0,"Census Tract 2.01, Adams County, Illinois",001,17,000201
1526.0,654.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,305.0,65.0,79.0,38.0,117.0,10.0,0.0,0.0,872.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,309.0,37.0,255.0,88.0,109.0,40.0,12.0,0.0,"Census Tract 2.02, Adams County, Illinois",001,17,000202
2744.0,1294.0,0.0,0.0,14.0,44.0,65.0,23.0,56.0,46.0,608.0,47.0,180.0,70.0,98.0,36.0,7.0,0.0,1450.0,21.0,10.0,0.0,40.0,4.0,58.0,56.0,24.0,697.0,80.0,223.0,117.0,69.0,35.0,8.0,8.0,"Census Tract 4, Adams County, Illinois",001,17,000400
1331.0,584.0,3.0,0.0,29.0,27.0,0.0,0.0,39.0,13.0,238.0,32.0,58.0,55.0,57.0,20.0,5.0,8.0,747.0,0.0,1.0,0.0,27.0,2.0,50.0,36.0,29.0,291.0,39.0,130.0,39.0,95.0,8.0,0.0,0.0,"Census Tract 5, Adams County, Illinois",001,17,000500
2389.0,1116.0,0.0,0.0,0.0,16.0,0.0,0.0,21.0,10.0,299.0,52.0,133.0,63.0,264.0,166.0,45.0,47.0,1273.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,244.0,170.0,251.0,69.0,369.0,116.0,19.0,20.0,"Census Tract 6, Adams County, Illinois",001,17,000600
874.0,433.0,0.0,0.0,8.0,1.0,12.0,22.0,46.0,6.0,176.0,5.0,66.0,40.0,41.0,0.0,10.0,0.0,441.0,0.0,0.0,0.0,16.0,12.0,96.0,9.0,0.0,184.0,18.0,57.0,6.0,31.0,12.0,0.0,0.0,"Census Tract 7, Adams County, Illinois",001,17,000700
1616.0,715.0,0.0,0.0,16.0,0.0,0.0,69.0,4.0,39.0,364.0,49.0,119.0,21.0,29.0,5.0,0.0,0.0,901.0,22.0,0.0,0.0,15.0,22.0,82.0,92.0,0.0,360.0,40.0,131.0,50.0,76.0,11.0,0.0,0.0,"Census Tract 8, Adams County, Illinois",001,17,000800
1714.0,859.0,0.0,0.0,0.0,26.0,0.0,8.0,12.0,23.0,352.0,99.0,145.0,44.0,103.0,47.0,0.0,0.0,855.0,11.0,0.0,0.0,6.0,5.0,11.0,32.0,33.0,322.0,41.0,152.0,67.0,92.0,83.0,0.0,0.0,"Census Tract 9, Adams County, Illinois",001,17,000900
2423.0,1163.0,5.0,0.0,0.0,9.0,32.0,32.0,22.0,38.0,448.0,156.0,149.0,123.0,120.0,18.0,11.0,0.0,1260.0,10.0,0.0,16.0,19.0,0.0,23.0,58.0,32.0,468.0,172.0,138.0,104.0,165.0,55.0,0.0,0.0,"Census Tract 10.01, Adams County, Illinois",001,17,001001
