B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
1083.0,547.0,0.0,14.0,0.0,49.0,13.0,16.0,16.0,15.0,216.0,62.0,88.0,23.0,30.0,0.0,5.0,0.0,536.0,39.0,0.0,6.0,39.0,36.0,8.0,0.0,0.0,211.0,4.0,64.0,50.0,17.0,16.0,46.0,0.0,"Census Tract 9701, Adair County, Kentucky",001,21,970100
1041.0,498.0,4.0,4.0,4.0,28.0,0.0,4.0,55.0,23.0,225.0,17.0,63.0,5.0,31.0,10.0,11.0,14.0,543.0,0.0,10.0,0.0,14.0,4.0,40.0,0.0,10.0,181.0,20.0,117.0,42.0,63.0,35.0,7.0,0.0,"Census Tract 9702, Adair County, Kentucky",001,21,970200
2083.0,1079.0,31.0,31.0,35.0,116.0,27.0,18.0,79.0,58.0,437.0,15.0,116.0,45.0,61.0,10.0,0.0,0.0,1004.0,15.0,12.0,5.0,83.0,40.0,23.0,42.0,21.0,386.0,62.0,156.0,39.0,54.0,41.0,25.0,0.0,"Census Tract 9703, Adair County, Kentucky",001,21,970300
3157.0,1516.0,28.0,26.0,25.0,175.0,27.0,113.0,79.0,19.0,407.0,156.0,65.0,131.0,206.0,49.0,10.0,0.0,1641.0,19.0,16.0,43.0,156.0,117.0,80.0,68.0,0.0,439.0,50.0,98.0,132.0,177.0,199.0,34.0,13.0,"Census Tract 9704.01, Adair County, Kentucky",001,21,970401
2638.0,1302.0,28.0,15.0,10.0,96.0,53.0,8.0,44.0,65.0,441.0,95.0,195.0,120.0,77.0,40.0,0.0,15.0,1336.0,32.0,13.0,20.0,75.0,39.0,96.0,0.0,46.0,343.0,48.0,163.0,185.0,150.0,126.0,0.0,0.0,"Census Tract 9704.02, Adair County, Kentucky",001,21,970402
1448.0,699.0,7.0,8.0,36.0,69.0,24.0,36.0,53.0,22.0,284.0,41.0,47.0,22.0,26.0,24.0,0.0,0.0,749.0,23.0,6.0,40.0,83.0,22.0,51.0,9.0,0.0,238.0,16.0,106.0,39.0,78.0,33.0,5.0,0.0,"Census Tract 9705, Adair County, Kentucky",001,21,970500
922.0,373.0,0.0,0.0,18.0,45.0,4.0,39.0,0.0,11.0,171.0,22.0,32.0,0.0,22.0,9.0,0.0,0.0,549.0,9.0,0.0,15.0,74.0,0.0,0.0,0.0,0.0,271.0,41.0,26.0,20.0,70.0,13.0,10.0,0.0,"Census Tract 9706, Adair County, Kentucky",001,21,970600
2556.0,1292.0,13.0,0.0,16.0,9.0,61.0,59.0,23.0,8.0,599.0,97.0,75.0,84.0,133.0,46.0,25.0,44.0,1264.0,33.0,0.0,42.0,81.0,55.0,30.0,25.0,17.0,313.0,116.0,281.0,129.0,74.0,68.0,0.0,0.0,"Census Tract 9201, Allen County, Kentucky",003,21,920100
1635.0,769.0,16.0,15.0,0.0,47.0,65.0,31.0,19.0,27.0,277.0,26.0,91.0,37.0,118.0,0.0,0.0,0.0,866.0,22.0,0.0,0.0,51.0,45.0,29.0,21.0,45.0,231.0,37.0,115.0,111.0,118.0,27.0,14.0,0.0,"Census Tract 9202, Allen County, Kentucky",003,21,920200
2880.0,1229.0,14.0,19.0,37.0,108.0,88.0,25.0,18.0,6.0,362.0,175.0,191.0,24.0,81.0,61.0,14.0,6.0,1651.0,45.0,27.0,48.0,91.0,61.0,32.0,54.0,7.0,555.0,78.0,267.0,187.0,75.0,80.0,44.0,0.0,"Census Tract 9203, Allen County, Kentucky",003,21,920300
