B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2035.0,938.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,12.0,156.0,12.0,247.0,247.0,48.0,104.0,1097.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,22.0,102.0,105.0,251.0,50.0,294.0,190.0,8.0,54.0,"Census Tract 1.07, Bernalillo County, New Mexico",001,35,000107
1873.0,996.0,0.0,0.0,8.0,0.0,0.0,26.0,11.0,11.0,200.0,56.0,239.0,11.0,234.0,155.0,19.0,26.0,877.0,8.0,0.0,0.0,10.0,0.0,11.0,0.0,0.0,209.0,75.0,218.0,92.0,174.0,72.0,0.0,8.0,"Census Tract 1.08, Bernalillo County, New Mexico",001,35,000108
1742.0,804.0,0.0,0.0,0.0,31.0,0.0,10.0,0.0,0.0,99.0,79.0,155.0,117.0,117.0,106.0,33.0,57.0,938.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,243.0,72.0,153.0,88.0,244.0,105.0,15.0,0.0,"Census Tract 1.09, Bernalillo County, New Mexico",001,35,000109
2583.0,1200.0,9.0,0.0,0.0,8.0,0.0,21.0,0.0,15.0,258.0,97.0,333.0,70.0,174.0,163.0,7.0,45.0,1383.0,9.0,0.0,0.0,0.0,23.0,2.0,21.0,5.0,327.0,120.0,328.0,130.0,289.0,74.0,8.0,47.0,"Census Tract 1.10, Bernalillo County, New Mexico",001,35,000110
2101.0,1005.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,20.0,159.0,60.0,208.0,92.0,221.0,152.0,17.0,47.0,1096.0,0.0,19.0,13.0,0.0,17.0,11.0,42.0,24.0,201.0,94.0,204.0,102.0,274.0,95.0,0.0,0.0,"Census Tract 1.11, Bernalillo County, New Mexico",001,35,000111
1592.0,754.0,0.0,11.0,0.0,0.0,0.0,0.0,59.0,0.0,63.0,9.0,120.0,30.0,210.0,172.0,55.0,25.0,838.0,0.0,11.0,0.0,0.0,0.0,1.0,6.0,0.0,140.0,34.0,166.0,87.0,244.0,105.0,31.0,13.0,"Census Tract 1.12, Bernalillo County, New Mexico",001,35,000112
2212.0,1005.0,0.0,14.0,0.0,0.0,36.0,0.0,0.0,0.0,355.0,48.0,148.0,87.0,132.0,146.0,18.0,21.0,1207.0,28.0,0.0,0.0,17.0,47.0,28.0,0.0,0.0,264.0,123.0,240.0,113.0,230.0,95.0,10.0,12.0,"Census Tract 1.13, Bernalillo County, New Mexico",001,35,000113
2179.0,973.0,9.0,12.0,3.0,0.0,27.0,0.0,17.0,35.0,310.0,50.0,168.0,97.0,193.0,44.0,0.0,8.0,1206.0,10.0,9.0,10.0,11.0,9.0,0.0,31.0,6.0,351.0,96.0,332.0,55.0,170.0,97.0,11.0,8.0,"Census Tract 1.14, Bernalillo County, New Mexico",001,35,000114
2050.0,895.0,0.0,0.0,17.0,0.0,15.0,0.0,28.0,26.0,245.0,71.0,135.0,75.0,180.0,90.0,0.0,13.0,1155.0,3.0,0.0,0.0,10.0,0.0,0.0,78.0,8.0,283.0,166.0,254.0,99.0,155.0,83.0,6.0,10.0,"Census Tract 1.15, Bernalillo County, New Mexico",001,35,000115
2225.0,1072.0,0.0,0.0,31.0,13.0,27.0,0.0,27.0,11.0,215.0,84.0,257.0,34.0,256.0,80.0,25.0,12.0,1153.0,0.0,0.0,13.0,22.0,10.0,0.0,28.0,8.0,266.0,98.0,261.0,58.0,246.0,89.0,32.0,22.0,"Census Tract 1.16, Bernalillo County, New Mexico",001,35,000116
1614.0,701.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,76.0,63.0,118.0,57.0,230.0,80.0,16.0,51.0,913.0,4.0,0.0,4.0,31.0,12.0,1.0,9.0,13.0,261.0,30.0,136.0,56.0,236.0,120.0,0.0,0.0,"Census Tract 1.17, Bernalillo County, New Mexico",001,35,000117
1841.0,899.0,14.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,217.0,42.0,106.0,88.0,176.0,148.0,54.0,8.0,942.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,57.0,167.0,76.0,201.0,123.0,181.0,79.0,35.0,0.0,"Census Tract 1.18, Bernalillo County, New Mexico",001,35,000118
1345.0,632.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,129.0,38.0,109.0,31.0,165.0,64.0,36.0,52.0,713.0,8.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,178.0,34.0,101.0,97.0,135.0,123.0,23.0,4.0,"Census Tract 1.19, Bernalillo County, New Mexico",001,35,000119
2019.0,1031.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,200.0,91.0,254.0,85.0,269.0,61.0,18.0,45.0,988.0,0.0,0.0,0.0,14.0,0.0,5.0,53.0,5.0,284.0,21.0,202.0,53.0,222.0,118.0,11.0,0.0,"Census Tract 1.20, Bernalillo County, New Mexico",001,35,000120
4270.0,1761.0,39.0,10.0,0.0,45.0,59.0,48.0,50.0,51.0,380.0,28.0,238.0,156.0,434.0,174.0,39.0,10.0,2509.0,16.0,0.0,41.0,64.0,86.0,41.0,62.0,95.0,614.0,275.0,255.0,249.0,363.0,292.0,9.0,47.0,"Census Tract 1.21, Bernalillo County, New Mexico",001,35,000121
3191.0,1585.0,0.0,0.0,0.0,9.0,0.0,10.0,55.0,62.0,223.0,75.0,390.0,142.0,311.0,192.0,39.0,77.0,1606.0,0.0,0.0,0.0,25.0,0.0,13.0,54.0,0.0,287.0,123.0,397.0,152.0,360.0,146.0,40.0,9.0,"Census Tract 1.22, Bernalillo County, New Mexico",001,35,000122
3661.0,1670.0,0.0,0.0,0.0,2.0,25.0,55.0,0.0,76.0,531.0,154.0,383.0,51.0,297.0,76.0,11.0,9.0,1991.0,53.0,15.0,0.0,1.0,0.0,29.0,66.0,28.0,475.0,145.0,403.0,287.0,350.0,125.0,14.0,0.0,"Census Tract 1.23, Bernalillo County, New Mexico",001,35,000123
2911.0,1411.0,1.0,0.0,23.0,50.0,18.0,21.0,21.0,24.0,486.0,86.0,295.0,35.0,244.0,69.0,25.0,13.0,1500.0,5.0,0.0,5.0,47.0,77.0,5.0,65.0,10.0,245.0,82.0,435.0,120.0,222.0,168.0,0.0,14.0,"Census Tract 1.24, Bernalillo County, New Mexico",001,35,000124
3163.0,1581.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,269.0,74.0,170.0,65.0,397.0,257.0,96.0,191.0,1582.0,42.0,0.0,22.0,3.0,0.0,24.0,0.0,11.0,198.0,98.0,264.0,81.0,389.0,360.0,55.0,35.0,"Census Tract 1.25, Bernalillo County, New Mexico",001,35,000125
1767.0,761.0,42.0,19.0,16.0,0.0,0.0,14.0,7.0,0.0,153.0,60.0,102.0,33.0,138.0,165.0,0.0,12.0,1006.0,6.0,0.0,0.0,5.0,31.0,0.0,7.0,0.0,199.0,51.0,172.0,104.0,301.0,119.0,11.0,0.0,"Census Tract 1.26, Bernalillo County, New Mexico",001,35,000126
1947.0,889.0,1.0,0.0,12.0,8.0,0.0,21.0,3.0,7.0,254.0,56.0,183.0,146.0,106.0,82.0,0.0,10.0,1058.0,2.0,0.0,0.0,28.0,0.0,18.0,21.0,1.0,312.0,147.0,232.0,87.0,124.0,79.0,7.0,0.0,"Census Tract 1.27, Bernalillo County, New Mexico",001,35,000127
2155.0,979.0,0.0,0.0,33.0,0.0,0.0,0.0,14.0,10.0,423.0,91.0,290.0,26.0,52.0,40.0,0.0,0.0,1176.0,0.0,11.0,0.0,5.0,0.0,29.0,41.0,33.0,387.0,68.0,296.0,114.0,113.0,73.0,6.0,0.0,"Census Tract 1.28, Bernalillo County, New Mexico",001,35,000128
2943.0,1238.0,15.0,0.0,12.0,44.0,14.0,0.0,0.0,0.0,291.0,203.0,192.0,101.0,221.0,68.0,0.0,77.0,1705.0,0.0,0.0,0.0,58.0,0.0,30.0,19.0,37.0,382.0,268.0,504.0,108.0,160.0,139.0,0.0,0.0,"Census Tract 1.29, Bernalillo County, New Mexico",001,35,000129
1333.0,631.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,7.0,136.0,66.0,71.0,41.0,175.0,82.0,11.0,12.0,702.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,182.0,74.0,98.0,42.0,122.0,106.0,34.0,36.0,"Census Tract 2.03, Bernalillo County, New Mexico",001,35,000203
1881.0,926.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,227.0,87.0,151.0,169.0,169.0,66.0,13.0,16.0,955.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,422.0,53.0,198.0,23.0,112.0,93.0,5.0,20.0,"Census Tract 2.04, Bernalillo County, New Mexico",001,35,000204
2335.0,1220.0,11.0,0.0,12.0,0.0,26.0,0.0,0.0,32.0,595.0,59.0,152.0,71.0,182.0,46.0,13.0,21.0,1115.0,1.0,0.0,0.0,2.0,0.0,8.0,12.0,55.0,444.0,14.0,141.0,40.0,305.0,64.0,29.0,0.0,"Census Tract 2.05, Bernalillo County, New Mexico",001,35,000205
2113.0,980.0,0.0,0.0,20.0,0.0,0.0,59.0,31.0,23.0,149.0,159.0,143.0,92.0,210.0,70.0,6.0,18.0,1133.0,0.0,0.0,0.0,23.0,13.0,4.0,0.0,35.0,271.0,117.0,248.0,79.0,240.0,83.0,20.0,0.0,"Census Tract 2.06, Bernalillo County, New Mexico",001,35,000206
2222.0,1080.0,1.0,42.0,0.0,0.0,0.0,21.0,4.0,36.0,270.0,92.0,220.0,67.0,171.0,102.0,27.0,27.0,1142.0,25.0,0.0,10.0,14.0,0.0,23.0,6.0,22.0,339.0,110.0,102.0,97.0,184.0,167.0,10.0,33.0,"Census Tract 2.07, Bernalillo County, New Mexico",001,35,000207
1889.0,907.0,42.0,0.0,0.0,13.0,27.0,13.0,0.0,0.0,365.0,84.0,100.0,63.0,110.0,9.0,69.0,12.0,982.0,16.0,0.0,0.0,28.0,23.0,45.0,11.0,23.0,330.0,53.0,90.0,47.0,187.0,129.0,0.0,0.0,"Census Tract 2.08, Bernalillo County, New Mexico",001,35,000208
4037.0,1965.0,1.0,0.0,0.0,0.0,1.0,5.0,18.0,19.0,279.0,13.0,358.0,151.0,431.0,341.0,213.0,135.0,2072.0,0.0,1.0,0.0,17.0,0.0,1.0,4.0,25.0,194.0,74.0,294.0,40.0,515.0,594.0,206.0,107.0,"Census Tract 3, Bernalillo County, New Mexico",001,35,000300
3040.0,1461.0,14.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,254.0,61.0,208.0,69.0,380.0,170.0,109.0,168.0,1579.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,29.0,208.0,142.0,175.0,103.0,463.0,287.0,64.0,96.0,"Census Tract 4.01, Bernalillo County, New Mexico",001,35,000401
2585.0,1142.0,11.0,0.0,8.0,0.0,0.0,0.0,12.0,9.0,152.0,101.0,153.0,94.0,318.0,192.0,29.0,63.0,1443.0,0.0,0.0,0.0,1.0,0.0,11.0,29.0,29.0,268.0,50.0,241.0,164.0,289.0,233.0,77.0,51.0,"Census Tract 4.02, Bernalillo County, New Mexico",001,35,000402
2143.0,934.0,0.0,0.0,0.0,25.0,20.0,3.0,14.0,61.0,290.0,92.0,170.0,42.0,131.0,74.0,0.0,12.0,1209.0,27.0,0.0,0.0,1.0,0.0,22.0,25.0,12.0,304.0,220.0,240.0,81.0,196.0,59.0,5.0,17.0,"Census Tract 5.01, Bernalillo County, New Mexico",001,35,000501
3452.0,1753.0,3.0,1.0,3.0,39.0,0.0,67.0,0.0,16.0,322.0,42.0,401.0,82.0,392.0,191.0,109.0,85.0,1699.0,9.0,0.0,0.0,3.0,3.0,4.0,18.0,0.0,230.0,97.0,191.0,106.0,460.0,479.0,57.0,42.0,"Census Tract 5.02, Bernalillo County, New Mexico",001,35,000502
2586.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,220.0,30.0,293.0,135.0,313.0,170.0,18.0,30.0,1370.0,0.0,0.0,0.0,27.0,0.0,21.0,0.0,0.0,277.0,16.0,283.0,203.0,251.0,255.0,28.0,9.0,"Census Tract 6.01, Bernalillo County, New Mexico",001,35,000601
2668.0,1373.0,104.0,11.0,78.0,121.0,40.0,86.0,48.0,47.0,342.0,17.0,284.0,67.0,73.0,34.0,13.0,8.0,1295.0,27.0,32.0,129.0,38.0,51.0,93.0,63.0,26.0,339.0,89.0,317.0,18.0,54.0,19.0,0.0,0.0,"Census Tract 6.03, Bernalillo County, New Mexico",001,35,000603
2792.0,1507.0,69.0,60.0,93.0,91.0,36.0,20.0,93.0,23.0,379.0,49.0,251.0,98.0,214.0,25.0,0.0,6.0,1285.0,25.0,37.0,69.0,73.0,54.0,40.0,84.0,34.0,392.0,43.0,204.0,86.0,89.0,30.0,12.0,13.0,"Census Tract 6.04, Bernalillo County, New Mexico",001,35,000604
2429.0,1166.0,15.0,16.0,49.0,22.0,0.0,0.0,0.0,53.0,577.0,31.0,145.0,81.0,141.0,36.0,0.0,0.0,1263.0,16.0,0.0,0.0,64.0,0.0,33.0,4.0,23.0,528.0,52.0,261.0,67.0,173.0,32.0,10.0,0.0,"Census Tract 7.04, Bernalillo County, New Mexico",001,35,000704
