B19013D_001E,name,county,state
105625.0,"Autauga County, Alabama",001,01
44032.0,"Baldwin County, Alabama",003,01
39950.0,"Barbour County, Alabama",005,01
-666666666.0,"Bibb County, Alabama",007,01
31765.0,"Blount County, Alabama",009,01
-666666666.0,"Bullock County, Alabama",011,01
96094.0,"Butler County, Alabama",013,01
23125.0,"Calhoun County, Alabama",015,01
45417.0,"Chambers County, Alabama",017,01
20375.0,"Cherokee County, Alabama",019,01
24219.0,"Chilton County, Alabama",021,01
-666666666.0,"Choctaw County, Alabama",023,01
26534.0,"Clarke County, Alabama",025,01
-666666666.0,"Clay County, Alabama",027,01
-666666666.0,"Cleburne County, Alabama",029,01
38750.0,"Coffee County, Alabama",031,01
85238.0,"Colbert County, Alabama",033,01
-666666666.0,"Conecuh County, Alabama",035,01
-666666666.0,"Coosa County, Alabama",037,01
63125.0,"Covington County, Alabama",039,01
58696.0,"Crenshaw County, Alabama",041,01
41136.0,"Cullman County, Alabama",043,01
70083.0,"Dale County, Alabama",045,01
96250.0,"Dallas County, Alabama",047,01
33550.0,"DeKalb County, Alabama",049,01
71694.0,"Elmore County, Alabama",051,01
-666666666.0,"Escambia County, Alabama",053,01
106190.0,"Etowah County, Alabama",055,01
9464.0,"Fayette County, Alabama",057,01
-666666666.0,"Franklin County, Alabama",059,01
-666666666.0,"Geneva County, Alabama",061,01
-666666666.0,"Greene County, Alabama",063,01
-666666666.0,"Hale County, Alabama",065,01
60915.0,"Henry County, Alabama",067,01
43750.0,"Houston County, Alabama",069,01
82895.0,"Jackson County, Alabama",071,01
48600.0,"Jefferson County, Alabama",073,01
-666666666.0,"Lamar County, Alabama",075,01
47500.0,"Lauderdale County, Alabama",077,01
27321.0,"Lawrence County, Alabama",079,01
35278.0,"Lee County, Alabama",081,01
76250.0,"Limestone County, Alabama",083,01
-666666666.0,"Lowndes County, Alabama",085,01
-666666666.0,"Macon County, Alabama",087,01
76680.0,"Madison County, Alabama",089,01
43393.0,"Marengo County, Alabama",091,01
-666666666.0,"Logan County, Colorado",075,08
78333.0,"Mesa County, Colorado",077,08
-666666666.0,"Mineral County, Colorado",079,08
64091.0,"Moffat County, Colorado",081,08
45758.0,"Montezuma County, Colorado",083,08
81250.0,"Montrose County, Colorado",085,08
16442.0,"Morgan County, Colorado",087,08
36354.0,"Otero County, Colorado",089,08
65000.0,"Ouray County, Colorado",091,08
63750.0,"Park County, Colorado",093,08
-666666666.0,"Phillips County, Colorado",095,08
43750.0,"Pitkin County, Colorado",097,08
-666666666.0,"Prowers County, Colorado",099,08
50144.0,"Pueblo County, Colorado",101,08
-666666666.0,"Rio Blanco County, Colorado",103,08
-666666666.0,"Rio Grande County, Colorado",105,08
73507.0,"Routt County, Colorado",107,08
-666666666.0,"Saguache County, Colorado",109,08
-666666666.0,"San Juan County, Colorado",111,08
37411.0,"San Miguel County, Colorado",113,08
-666666666.0,"Sedgwick County, Colorado",115,08
6333.0,"Summit County, Colorado",117,08
66797.0,"Teller County, Colorado",119,08
-666666666.0,"Washington County, Colorado",121,08
85214.0,"Weld County, Colorado",123,08
-666666666.0,"Yuma County, Colorado",125,08
105782.0,"Fairfield County, Connecticut",001,09
82218.0,"Hartford County, Connecticut",003,09
87535.0,"Litchfield County, Connecticut",005,09
74239.0,"Middlesex County, Connecticut",007,09
73467.0,"New Haven County, Connecticut",009,09
74269.0,"New London County, Connecticut",011,09
84194.0,"Tolland County, Connecticut",013,09
63481.0,"Windham County, Connecticut",015,09
51477.0,"Kent County, Delaware",001,10
97828.0,"New Castle County, Delaware",003,10
60660.0,"Sussex County, Delaware",005,10
81316.0,"District of Columbia, District of Columbia",001,11
39777.0,"Alachua County, Florida",001,12
47188.0,"Baker County, Florida",003,12
47500.0,"Bay County, Florida",005,12
-666666666.0,"Bradford County, Florida",007,12
57500.0,"Brevard County, Florida",009,12
62174.0,"Broward County, Florida",011,12
-666666666.0,"Calhoun County, Florida",013,12
49653.0,"Charlotte County, Florida",015,12
