B19013H_001E,name,state
50013.0,Alabama,01
76745.0,Alaska,02
55550.0,Arizona,04
44181.0,Arkansas,05
71357.0,California,06
63922.0,Colorado,08
77615.0,Connecticut,09
65226.0,Delaware,10
108629.0,District of Columbia,11
52212.0,Florida,12
58045.0,Georgia,13
69363.0,Hawaii,15
48625.0,Idaho,16
62990.0,Illinois,17
51087.0,Indiana,18
52434.0,Iowa,19
53862.0,Kansas,20
44185.0,Kentucky,21
54427.0,Louisiana,22
48773.0,Maine,23
81842.0,Maryland,24
72091.0,Massachusetts,25
52087.0,Michigan,26
61860.0,Minnesota,27
48454.0,Mississippi,28
50245.0,Missouri,29
47014.0,Montana,30
53996.0,Nebraska,31
59342.0,Nevada,32
65307.0,New Hampshire,33
80565.0,New Jersey,34
54040.0,New Mexico,35
66000.0,New York,36
52674.0,North Carolina,37
53417.0,North Dakota,38
51752.0,Ohio,39
48783.0,Oklahoma,40
51466.0,Oregon,41
55567.0,Pennsylvania,42
61693.0,Rhode Island,44
52249.0,South Carolina,45
51381.0,South Dakota,46
47285.0,Tennessee,47
63393.0,Texas,48
61048.0,Utah,49
54545.0,Vermont,50
69165.0,Virginia,51
62022.0,Washington,53
40866.0,West Virginia,54
55159.0,Wisconsin,55
58396.0,Wyoming,56
27042.0,Puerto Rico,72
