B05002_001E,B05002_002E,B05002_013E,name,congressional district,state
686206.0,639612.0,46594.0,"Congressional District 3 (113th Congress), New Mexico",03,35
720418.0,636958.0,83460.0,"Congressional District 1 (113th Congress), New York",01,36
721578.0,600417.0,121161.0,"Congressional District 2 (113th Congress), New York",02,36
720750.0,567572.0,153178.0,"Congressional District 3 (113th Congress), New York",03,36
715641.0,559456.0,156185.0,"Congressional District 4 (113th Congress), New York",04,36
747137.0,431391.0,315746.0,"Congressional District 5 (113th Congress), New York",05,36
717451.0,349856.0,367595.0,"Congressional District 6 (113th Congress), New York",06,36
739966.0,464984.0,274982.0,"Congressional District 7 (113th Congress), New York",07,36
724625.0,487464.0,237161.0,"Congressional District 8 (113th Congress), New York",08,36
728973.0,432007.0,296966.0,"Congressional District 9 (113th Congress), New York",09,36
718444.0,491350.0,227094.0,"Congressional District 10 (113th Congress), New York",10,36
719449.0,514329.0,205120.0,"Congressional District 11 (113th Congress), New York",11,36
708992.0,520740.0,188252.0,"Congressional District 12 (113th Congress), New York",12,36
741564.0,472388.0,269176.0,"Congressional District 13 (113th Congress), New York",13,36
712284.0,376460.0,335824.0,"Congressional District 14 (113th Congress), New York",14,36
721177.0,473112.0,248065.0,"Congressional District 15 (113th Congress), New York",15,36
729011.0,516024.0,212987.0,"Congressional District 16 (113th Congress), New York",16,36
725298.0,555604.0,169694.0,"Congressional District 17 (113th Congress), New York",17,36
717584.0,630690.0,86894.0,"Congressional District 18 (113th Congress), New York",18,36
716083.0,672207.0,43876.0,"Congressional District 19 (113th Congress), New York",19,36
719589.0,662322.0,57267.0,"Congressional District 20 (113th Congress), New York",20,36
719261.0,693786.0,25475.0,"Congressional District 21 (113th Congress), New York",21,36
714956.0,679264.0,35692.0,"Congressional District 22 (113th Congress), New York",22,36
716445.0,689915.0,26530.0,"Congressional District 23 (113th Congress), New York",23,36
716540.0,676877.0,39663.0,"Congressional District 24 (113th Congress), New York",24,36
719996.0,659810.0,60186.0,"Congressional District 25 (113th Congress), New York",25,36
716451.0,664578.0,51873.0,"Congressional District 26 (113th Congress), New York",26,36
717390.0,692789.0,24601.0,"Congressional District 27 (113th Congress), New York",27,36
728046.0,683239.0,44807.0,"Congressional District 1 (113th Congress), North Carolina",01,37
751263.0,686229.0,65034.0,"Congressional District 2 (113th Congress), North Carolina",02,37
743991.0,711078.0,32913.0,"Congressional District 3 (113th Congress), North Carolina",03,37
743030.0,646044.0,96986.0,"Congressional District 4 (113th Congress), North Carolina",04,37
740236.0,691828.0,48408.0,"Congressional District 5 (113th Congress), North Carolina",05,37
747697.0,702450.0,45247.0,"Congressional District 6 (113th Congress), North Carolina",06,37
742794.0,695727.0,47067.0,"Congressional District 7 (113th Congress), North Carolina",07,37
735302.0,691782.0,43520.0,"Congressional District 8 (113th Congress), North Carolina",08,37
750787.0,675531.0,75256.0,"Congressional District 9 (113th Congress), North Carolina",09,37
733481.0,698846.0,34635.0,"Congressional District 10 (113th Congress), North Carolina",10,37
735900.0,702583.0,33317.0,"Congressional District 11 (113th Congress), North Carolina",11,37
749231.0,643933.0,105298.0,"Congressional District 12 (113th Congress), North Carolina",12,37
749622.0,691342.0,58280.0,"Congressional District 13 (113th Congress), North Carolina",13,37
689781.0,671212.0,18569.0,"Congressional District (at Large) (113th Congress), North Dakota",00,38
721708.0,684369.0,37339.0,"Congressional District 1 (113th Congress), Ohio",01,39
723706.0,703340.0,20366.0,"Congressional District 2 (113th Congress), Ohio",02,39
724900.0,649520.0,75380.0,"Congressional District 3 (113th Congress), Ohio",03,39
718572.0,706955.0,11617.0,"Congressional District 4 (113th Congress), Ohio",04,39
723657.0,705966.0,17691.0,"Congressional District 5 (113th Congress), Ohio",05,39
717868.0,710754.0,7114.0,"Congressional District 6 (113th Congress), Ohio",06,39
721469.0,708318.0,13151.0,"Congressional District 7 (113th Congress), Ohio",07,39
