B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
3759.0,3556.0,203.0,"Census Tract 1, Sitka City and Borough, Alaska",220,02,000100
5186.0,4703.0,483.0,"Census Tract 2, Sitka City and Borough, Alaska",220,02,000200
1080.0,984.0,96.0,"Census Tract 1, Skagway Municipality, Alaska",230,02,000100
2251.0,2213.0,38.0,"Census Tract 1, Southeast Fairbanks Census Area, Alaska",240,02,000100
4796.0,4192.0,604.0,"Census Tract 4, Southeast Fairbanks Census Area, Alaska",240,02,000400
2684.0,2632.0,52.0,"Census Tract 1, Valdez-Cordova Census Area, Alaska",261,02,000100
2608.0,2398.0,210.0,"Census Tract 2, Valdez-Cordova Census Area, Alaska",261,02,000200
4390.0,4210.0,180.0,"Census Tract 3, Valdez-Cordova Census Area, Alaska",261,02,000300
7678.0,7631.0,47.0,"Census Tract 1, Wade Hampton Census Area, Alaska",270,02,000100
2371.0,2304.0,67.0,"Census Tract 3, Wrangell City and Borough, Alaska",275,02,000300
607.0,571.0,36.0,"Census Tract 1, Yakutat City and Borough, Alaska",282,02,000100
1201.0,1197.0,4.0,"Census Tract 1, Yukon-Koyukuk Census Area, Alaska",290,02,000100
1489.0,1472.0,17.0,"Census Tract 2, Yukon-Koyukuk Census Area, Alaska",290,02,000200
1887.0,1857.0,30.0,"Census Tract 3, Yukon-Koyukuk Census Area, Alaska",290,02,000300
1079.0,1070.0,9.0,"Census Tract 4, Yukon-Koyukuk Census Area, Alaska",290,02,000400
3141.0,1362.0,1779.0,"Census Tract 1, Aleutians East Borough, Alaska",013,02,000100
1176.0,1099.0,77.0,"Census Tract 1, Aleutians West Census Area, Alaska",016,02,000100
4362.0,2504.0,1858.0,"Census Tract 2, Aleutians West Census Area, Alaska",016,02,000200
6215.0,6186.0,29.0,"Census Tract 1.01, Anchorage Municipality, Alaska",020,02,000101
5169.0,5082.0,87.0,"Census Tract 1.02, Anchorage Municipality, Alaska",020,02,000102
4127.0,3741.0,386.0,"Census Tract 2.01, Anchorage Municipality, Alaska",020,02,000201
6136.0,5987.0,149.0,"Census Tract 2.02, Anchorage Municipality, Alaska",020,02,000202
11099.0,10703.0,396.0,"Census Tract 2.03, Anchorage Municipality, Alaska",020,02,000203
3956.0,3916.0,40.0,"Census Tract 2.04, Anchorage Municipality, Alaska",020,02,000204
8397.0,8099.0,298.0,"Census Tract 3, Anchorage Municipality, Alaska",020,02,000300
5780.0,5601.0,179.0,"Census Tract 4, Anchorage Municipality, Alaska",020,02,000400
2110.0,1824.0,286.0,"Census Tract 5, Anchorage Municipality, Alaska",020,02,000500
7252.0,6165.0,1087.0,"Census Tract 6, Anchorage Municipality, Alaska",020,02,000600
6076.0,5396.0,680.0,"Census Tract 7.01, Anchorage Municipality, Alaska",020,02,000701
5189.0,4696.0,493.0,"Census Tract 7.02, Anchorage Municipality, Alaska",020,02,000702
5666.0,4448.0,1218.0,"Census Tract 7.03, Anchorage Municipality, Alaska",020,02,000703
7647.0,6499.0,1148.0,"Census Tract 8.01, Anchorage Municipality, Alaska",020,02,000801
4454.0,3855.0,599.0,"Census Tract 8.02, Anchorage Municipality, Alaska",020,02,000802
5733.0,5171.0,562.0,"Census Tract 9.01, Anchorage Municipality, Alaska",020,02,000901
2619.0,2117.0,502.0,"Census Tract 9.02, Anchorage Municipality, Alaska",020,02,000902
3529.0,3350.0,179.0,"Census Tract 10, Anchorage Municipality, Alaska",020,02,001000
860.0,799.0,61.0,"Census Tract 11, Anchorage Municipality, Alaska",020,02,001100
3634.0,3369.0,265.0,"Census Tract 12, Anchorage Municipality, Alaska",020,02,001200
2920.0,2854.0,66.0,"Census Tract 13, Anchorage Municipality, Alaska",020,02,001300
5014.0,4435.0,579.0,"Census Tract 14, Anchorage Municipality, Alaska",020,02,001400
4981.0,4703.0,278.0,"Census Tract 15, Anchorage Municipality, Alaska",020,02,001500
4269.0,3827.0,442.0,"Census Tract 16.01, Anchorage Municipality, Alaska",020,02,001601
4456.0,4089.0,367.0,"Census Tract 16.02, Anchorage Municipality, Alaska",020,02,001602
6967.0,6496.0,471.0,"Census Tract 17.01, Anchorage Municipality, Alaska",020,02,001701
5096.0,4789.0,307.0,"Census Tract 17.02, Anchorage Municipality, Alaska",020,02,001702
5754.0,5290.0,464.0,"Census Tract 17.31, Anchorage Municipality, Alaska",020,02,001731
6103.0,5734.0,369.0,"Census Tract 17.32, Anchorage Municipality, Alaska",020,02,001732
4931.0,4499.0,432.0,"Census Tract 18.01, Anchorage Municipality, Alaska",020,02,001801
5254.0,4172.0,1082.0,"Census Tract 18.02, Anchorage Municipality, Alaska",020,02,001802
4143.0,3128.0,1015.0,"Census Tract 19, Anchorage Municipality, Alaska",020,02,001900
3606.0,2674.0,932.0,"Census Tract 20, Anchorage Municipality, Alaska",020,02,002000
3698.0,3284.0,414.0,"Census Tract 21, Anchorage Municipality, Alaska",020,02,002100
4960.0,4295.0,665.0,"Census Tract 22.01, Anchorage Municipality, Alaska",020,02,002201
3116.0,2785.0,331.0,"Census Tract 22.02, Anchorage Municipality, Alaska",020,02,002202
7543.0,6975.0,568.0,"Census Tract 23.01, Anchorage Municipality, Alaska",020,02,002301
5127.0,4917.0,210.0,"Census Tract 23.02, Anchorage Municipality, Alaska",020,02,002302
8656.0,7610.0,1046.0,"Census Tract 23.03, Anchorage Municipality, Alaska",020,02,002303
3014.0,2718.0,296.0,"Census Tract 24, Anchorage Municipality, Alaska",020,02,002400
5155.0,4571.0,584.0,"Census Tract 25.01, Anchorage Municipality, Alaska",020,02,002501
5631.0,4920.0,711.0,"Census Tract 25.02, Anchorage Municipality, Alaska",020,02,002502
5279.0,4408.0,871.0,"Census Tract 26.01, Anchorage Municipality, Alaska",020,02,002601
5978.0,5107.0,871.0,"Census Tract 26.02, Anchorage Municipality, Alaska",020,02,002602
6378.0,5856.0,522.0,"Census Tract 26.03, Anchorage Municipality, Alaska",020,02,002603
10115.0,9444.0,671.0,"Census Tract 27.02, Anchorage Municipality, Alaska",020,02,002702
6183.0,5457.0,726.0,"Census Tract 27.11, Anchorage Municipality, Alaska",020,02,002711
9262.0,7851.0,1411.0,"Census Tract 27.12, Anchorage Municipality, Alaska",020,02,002712
6289.0,5453.0,836.0,"Census Tract 28.11, Anchorage Municipality, Alaska",020,02,002811
7764.0,7425.0,339.0,"Census Tract 28.12, Anchorage Municipality, Alaska",020,02,002812
4762.0,4671.0,91.0,"Census Tract 28.13, Anchorage Municipality, Alaska",020,02,002813
5084.0,4703.0,381.0,"Census Tract 28.21, Anchorage Municipality, Alaska",020,02,002821
4224.0,3984.0,240.0,"Census Tract 28.22, Anchorage Municipality, Alaska",020,02,002822
5308.0,5088.0,220.0,"Census Tract 28.23, Anchorage Municipality, Alaska",020,02,002823
2569.0,2262.0,307.0,"Census Tract 29, Anchorage Municipality, Alaska",020,02,002900
9643.0,9624.0,19.0,"Census Tract 1, Bethel Census Area, Alaska",050,02,000100
6197.0,6025.0,172.0,"Census Tract 2, Bethel Census Area, Alaska",050,02,000200
1516.0,1499.0,17.0,"Census Tract 3, Bethel Census Area, Alaska",050,02,000300
933.0,927.0,6.0,"Census Tract 1, Bristol Bay Borough, Alaska",060,02,000100
2020.0,1871.0,149.0,"Census Tract 1, Denali Borough, Alaska",068,02,000100
2752.0,2713.0,39.0,"Census Tract 1, Dillingham Census Area, Alaska",070,02,000100
2171.0,2136.0,35.0,"Census Tract 2, Dillingham Census Area, Alaska",070,02,000200
1854.0,1781.0,73.0,"Census Tract 1, Fairbanks North Star Borough, Alaska",090,02,000100
3278.0,3054.0,224.0,"Census Tract 2, Fairbanks North Star Borough, Alaska",090,02,000200
4548.0,4240.0,308.0,"Census Tract 3, Fairbanks North Star Borough, Alaska",090,02,000300
4948.0,4395.0,553.0,"Census Tract 4, Fairbanks North Star Borough, Alaska",090,02,000400
2887.0,2617.0,270.0,"Census Tract 5, Fairbanks North Star Borough, Alaska",090,02,000500
4313.0,4096.0,217.0,"Census Tract 6, Fairbanks North Star Borough, Alaska",090,02,000600
4177.0,3580.0,597.0,"Census Tract 7, Fairbanks North Star Borough, Alaska",090,02,000700
6049.0,5404.0,645.0,"Census Tract 8, Fairbanks North Star Borough, Alaska",090,02,000800
6238.0,5444.0,794.0,"Census Tract 9, Fairbanks North Star Borough, Alaska",090,02,000900
1490.0,1468.0,22.0,"Census Tract 10, Fairbanks North Star Borough, Alaska",090,02,001000
8129.0,7865.0,264.0,"Census Tract 11, Fairbanks North Star Borough, Alaska",090,02,001100
6714.0,6495.0,219.0,"Census Tract 12, Fairbanks North Star Borough, Alaska",090,02,001200
5916.0,5567.0,349.0,"Census Tract 13, Fairbanks North Star Borough, Alaska",090,02,001300
7659.0,7328.0,331.0,"Census Tract 14, Fairbanks North Star Borough, Alaska",090,02,001400
11279.0,10938.0,341.0,"Census Tract 15, Fairbanks North Star Borough, Alaska",090,02,001500
4911.0,4757.0,154.0,"Census Tract 16, Fairbanks North Star Borough, Alaska",090,02,001600
1095.0,1088.0,7.0,"Census Tract 17, Fairbanks North Star Borough, Alaska",090,02,001700
2647.0,2621.0,26.0,"Census Tract 18, Fairbanks North Star Borough, Alaska",090,02,001800
10524.0,10336.0,188.0,"Census Tract 19, Fairbanks North Star Borough, Alaska",090,02,001900
2546.0,2418.0,128.0,"Census Tract 1, Haines Borough, Alaska",100,02,000100
110.0,105.0,5.0,"Census Tract 2, Hoonah-Angoon Census Area, Alaska",105,02,000200
2031.0,1972.0,59.0,"Census Tract 3, Hoonah-Angoon Census Area, Alaska",105,02,000300
4786.0,4758.0,28.0,"Census Tract 1, Juneau City and Borough, Alaska",110,02,000100
7199.0,6839.0,360.0,"Census Tract 2, Juneau City and Borough, Alaska",110,02,000200
5616.0,5109.0,507.0,"Census Tract 3, Juneau City and Borough, Alaska",110,02,000300
4846.0,4208.0,638.0,"Census Tract 4, Juneau City and Borough, Alaska",110,02,000400
3775.0,3479.0,296.0,"Census Tract 5, Juneau City and Borough, Alaska",110,02,000500
5675.0,5428.0,247.0,"Census Tract 6, Juneau City and Borough, Alaska",110,02,000600
