B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
1518.0,1518.0,0.0,"Census Tract 9426, Apache County, Arizona",001,04,942600
5119.0,5111.0,8.0,"Census Tract 9427, Apache County, Arizona",001,04,942700
5968.0,5939.0,29.0,"Census Tract 9440, Apache County, Arizona",001,04,944000
5808.0,5777.0,31.0,"Census Tract 9441, Apache County, Arizona",001,04,944100
4213.0,4144.0,69.0,"Census Tract 9442.01, Apache County, Arizona",001,04,944201
4134.0,4086.0,48.0,"Census Tract 9442.02, Apache County, Arizona",001,04,944202
7363.0,7336.0,27.0,"Census Tract 9443, Apache County, Arizona",001,04,944300
3854.0,3798.0,56.0,"Census Tract 9449.01, Apache County, Arizona",001,04,944901
5214.0,5200.0,14.0,"Census Tract 9449.02, Apache County, Arizona",001,04,944902
4541.0,4483.0,58.0,"Census Tract 9450.01, Apache County, Arizona",001,04,945001
4200.0,4136.0,64.0,"Census Tract 9450.02, Apache County, Arizona",001,04,945002
2495.0,2470.0,25.0,"Census Tract 9451, Apache County, Arizona",001,04,945100
5052.0,4925.0,127.0,"Census Tract 9702, Apache County, Arizona",001,04,970200
3553.0,3143.0,410.0,"Census Tract 9703, Apache County, Arizona",001,04,970300
5269.0,5100.0,169.0,"Census Tract 9705.01, Apache County, Arizona",001,04,970501
3677.0,3570.0,107.0,"Census Tract 9705.02, Apache County, Arizona",001,04,970502
1803.0,1632.0,171.0,"Census Tract 1, Cochise County, Arizona",003,04,000100
3424.0,2527.0,897.0,"Census Tract 2.01, Cochise County, Arizona",003,04,000201
3857.0,3190.0,667.0,"Census Tract 2.02, Cochise County, Arizona",003,04,000202
2666.0,2516.0,150.0,"Census Tract 2.03, Cochise County, Arizona",003,04,000203
3906.0,3664.0,242.0,"Census Tract 3.01, Cochise County, Arizona",003,04,000301
5394.0,5287.0,107.0,"Census Tract 3.02, Cochise County, Arizona",003,04,000302
3285.0,3276.0,9.0,"Census Tract 3.03, Cochise County, Arizona",003,04,000303
