B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
3088.0,2946.0,142.0,"Census Tract 9512, Clatsop County, Oregon",007,41,951200
2422.0,2357.0,65.0,"Census Tract 9513, Clatsop County, Oregon",007,41,951300
0.0,0.0,0.0,"Census Tract 9900, Clatsop County, Oregon",007,41,990000
6965.0,6787.0,178.0,"Census Tract 9702, Columbia County, Oregon",009,41,970200
3871.0,3763.0,108.0,"Census Tract 9703, Columbia County, Oregon",009,41,970300
2310.0,2244.0,66.0,"Census Tract 9704, Columbia County, Oregon",009,41,970400
6135.0,6032.0,103.0,"Census Tract 9705, Columbia County, Oregon",009,41,970500
6117.0,5879.0,238.0,"Census Tract 9706, Columbia County, Oregon",009,41,970600
4221.0,3898.0,323.0,"Census Tract 9707, Columbia County, Oregon",009,41,970700
6724.0,6469.0,255.0,"Census Tract 9708, Columbia County, Oregon",009,41,970800
4927.0,4609.0,318.0,"Census Tract 9709, Columbia County, Oregon",009,41,970900
4602.0,4446.0,156.0,"Census Tract 9710, Columbia County, Oregon",009,41,971000
3461.0,3365.0,96.0,"Census Tract 9711, Columbia County, Oregon",009,41,971100
5931.0,5756.0,175.0,"Census Tract 1, Coos County, Oregon",011,41,000100
2713.0,2689.0,24.0,"Census Tract 2, Coos County, Oregon",011,41,000200
3305.0,3258.0,47.0,"Census Tract 3, Coos County, Oregon",011,41,000300
6427.0,6236.0,191.0,"Census Tract 4, Coos County, Oregon",011,41,000400
2654.0,2563.0,91.0,"Census Tract 5.02, Coos County, Oregon",011,41,000502
2776.0,2559.0,217.0,"Census Tract 5.03, Coos County, Oregon",011,41,000503
6614.0,6228.0,386.0,"Census Tract 5.04, Coos County, Oregon",011,41,000504
2639.0,2546.0,93.0,"Census Tract 6, Coos County, Oregon",011,41,000600
6870.0,6584.0,286.0,"Census Tract 7, Coos County, Oregon",011,41,000700
2904.0,2854.0,50.0,"Census Tract 8, Coos County, Oregon",011,41,000800
7355.0,7172.0,183.0,"Census Tract 9, Coos County, Oregon",011,41,000900
6927.0,6763.0,164.0,"Census Tract 10, Coos County, Oregon",011,41,001000
5638.0,5539.0,99.0,"Census Tract 11, Coos County, Oregon",011,41,001100
0.0,0.0,0.0,"Census Tract 9901.01, Coos County, Oregon",011,41,990101
7123.0,6798.0,325.0,"Census Tract 9501, Crook County, Oregon",013,41,950100
4378.0,4270.0,108.0,"Census Tract 9502, Crook County, Oregon",013,41,950200
5576.0,5373.0,203.0,"Census Tract 9503, Crook County, Oregon",013,41,950300
3817.0,3799.0,18.0,"Census Tract 9504, Crook County, Oregon",013,41,950400
3473.0,3361.0,112.0,"Census Tract 9501, Curry County, Oregon",015,41,950100
4711.0,4565.0,146.0,"Census Tract 9502, Curry County, Oregon",015,41,950200
4351.0,4200.0,151.0,"Census Tract 9503.01, Curry County, Oregon",015,41,950301
5173.0,5034.0,139.0,"Census Tract 9503.02, Curry County, Oregon",015,41,950302
4653.0,4441.0,212.0,"Census Tract 9504, Curry County, Oregon",015,41,950400
0.0,0.0,0.0,"Census Tract 9901.01, Curry County, Oregon",015,41,990101
1960.0,1921.0,39.0,"Census Tract 1, Deschutes County, Oregon",017,41,000100
4737.0,4621.0,116.0,"Census Tract 2, Deschutes County, Oregon",017,41,000200
8321.0,8116.0,205.0,"Census Tract 3, Deschutes County, Oregon",017,41,000300
4868.0,4748.0,120.0,"Census Tract 4.01, Deschutes County, Oregon",017,41,000401
2320.0,2279.0,41.0,"Census Tract 4.02, Deschutes County, Oregon",017,41,000402
