B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
3783.0,3692.0,91.0,"Census Tract 9601, Addison County, Vermont",001,50,960100
2774.0,2688.0,86.0,"Census Tract 9602, Addison County, Vermont",001,50,960200
2587.0,2525.0,62.0,"Census Tract 9603, Addison County, Vermont",001,50,960300
5063.0,4821.0,242.0,"Census Tract 9604, Addison County, Vermont",001,50,960400
3892.0,3736.0,156.0,"Census Tract 9605, Addison County, Vermont",001,50,960500
2656.0,2593.0,63.0,"Census Tract 9606, Addison County, Vermont",001,50,960600
4059.0,3937.0,122.0,"Census Tract 9607, Addison County, Vermont",001,50,960700
4438.0,4015.0,423.0,"Census Tract 9608, Addison County, Vermont",001,50,960800
5211.0,5021.0,190.0,"Census Tract 9609, Addison County, Vermont",001,50,960900
2348.0,2287.0,61.0,"Census Tract 9610, Addison County, Vermont",001,50,961000
2055.0,2011.0,44.0,"Census Tract 9702, Bennington County, Vermont",003,50,970200
1168.0,1144.0,24.0,"Census Tract 9703, Bennington County, Vermont",003,50,970300
4356.0,4249.0,107.0,"Census Tract 9704, Bennington County, Vermont",003,50,970400
1248.0,1158.0,90.0,"Census Tract 9705, Bennington County, Vermont",003,50,970500
2921.0,2884.0,37.0,"Census Tract 9706, Bennington County, Vermont",003,50,970600
2404.0,2336.0,68.0,"Census Tract 9707, Bennington County, Vermont",003,50,970700
3580.0,3487.0,93.0,"Census Tract 9708, Bennington County, Vermont",003,50,970800
2231.0,2215.0,16.0,"Census Tract 9709, Bennington County, Vermont",003,50,970900
3637.0,3405.0,232.0,"Census Tract 9710, Bennington County, Vermont",003,50,971000
4737.0,4589.0,148.0,"Census Tract 9711, Bennington County, Vermont",003,50,971100
5028.0,4980.0,48.0,"Census Tract 9712, Bennington County, Vermont",003,50,971200
3506.0,3466.0,40.0,"Census Tract 9713, Bennington County, Vermont",003,50,971300
4067.0,4001.0,66.0,"Census Tract 9570, Caledonia County, Vermont",005,50,957000
2209.0,2169.0,40.0,"Census Tract 9571, Caledonia County, Vermont",005,50,957100
2587.0,2574.0,13.0,"Census Tract 9572, Caledonia County, Vermont",005,50,957200
3377.0,3306.0,71.0,"Census Tract 9573, Caledonia County, Vermont",005,50,957300
3739.0,3586.0,153.0,"Census Tract 9574, Caledonia County, Vermont",005,50,957400
3857.0,3712.0,145.0,"Census Tract 9575, Caledonia County, Vermont",005,50,957500
2217.0,2186.0,31.0,"Census Tract 9576, Caledonia County, Vermont",005,50,957600
2984.0,2935.0,49.0,"Census Tract 9577, Caledonia County, Vermont",005,50,957700
2919.0,2902.0,17.0,"Census Tract 9578, Caledonia County, Vermont",005,50,957800
3201.0,3133.0,68.0,"Census Tract 9579, Caledonia County, Vermont",005,50,957900
4593.0,3894.0,699.0,"Census Tract 1, Chittenden County, Vermont",007,50,000100
5844.0,5366.0,478.0,"Census Tract 2, Chittenden County, Vermont",007,50,000200
3466.0,2768.0,698.0,"Census Tract 3, Chittenden County, Vermont",007,50,000300
2998.0,2416.0,582.0,"Census Tract 4, Chittenden County, Vermont",007,50,000400
4140.0,3951.0,189.0,"Census Tract 5, Chittenden County, Vermont",007,50,000500
4860.0,4342.0,518.0,"Census Tract 6, Chittenden County, Vermont",007,50,000600
2733.0,2563.0,170.0,"Census Tract 8, Chittenden County, Vermont",007,50,000800
2709.0,2557.0,152.0,"Census Tract 9, Chittenden County, Vermont",007,50,000900
2271.0,2043.0,228.0,"Census Tract 10, Chittenden County, Vermont",007,50,001000
2369.0,2251.0,118.0,"Census Tract 11, Chittenden County, Vermont",007,50,001100
2914.0,2769.0,145.0,"Census Tract 21.01, Chittenden County, Vermont",007,50,002101
7515.0,7396.0,119.0,"Census Tract 21.02, Chittenden County, Vermont",007,50,002102
8485.0,8011.0,474.0,"Census Tract 22, Chittenden County, Vermont",007,50,002200
2196.0,2160.0,36.0,"Census Tract 23.01, Chittenden County, Vermont",007,50,002301
6486.0,6306.0,180.0,"Census Tract 23.02, Chittenden County, Vermont",007,50,002302
3111.0,2531.0,580.0,"Census Tract 24, Chittenden County, Vermont",007,50,002400
4146.0,3706.0,440.0,"Census Tract 25, Chittenden County, Vermont",007,50,002500
5281.0,5095.0,186.0,"Census Tract 26.01, Chittenden County, Vermont",007,50,002601
4123.0,3829.0,294.0,"Census Tract 26.02, Chittenden County, Vermont",007,50,002602
5438.0,4930.0,508.0,"Census Tract 27.01, Chittenden County, Vermont",007,50,002701
5066.0,4788.0,278.0,"Census Tract 27.02, Chittenden County, Vermont",007,50,002702
5021.0,4878.0,143.0,"Census Tract 28, Chittenden County, Vermont",007,50,002800
6181.0,5985.0,196.0,"Census Tract 29, Chittenden County, Vermont",007,50,002900
4086.0,3866.0,220.0,"Census Tract 30, Chittenden County, Vermont",007,50,003000
8820.0,8270.0,550.0,"Census Tract 31, Chittenden County, Vermont",007,50,003100
3764.0,3284.0,480.0,"Census Tract 33.01, Chittenden County, Vermont",007,50,003301
6031.0,5483.0,548.0,"Census Tract 33.04, Chittenden County, Vermont",007,50,003304
7332.0,6964.0,368.0,"Census Tract 34, Chittenden County, Vermont",007,50,003400
