B25105_001E,name,congressional district,state
796.0,"Congressional District 3 (113th Congress), New Mexico",03,35
1952.0,"Congressional District 1 (113th Congress), New York",01,36
2064.0,"Congressional District 2 (113th Congress), New York",02,36
2173.0,"Congressional District 3 (113th Congress), New York",03,36
2033.0,"Congressional District 4 (113th Congress), New York",04,36
1502.0,"Congressional District 5 (113th Congress), New York",05,36
1335.0,"Congressional District 6 (113th Congress), New York",06,36
1222.0,"Congressional District 7 (113th Congress), New York",07,36
1200.0,"Congressional District 8 (113th Congress), New York",08,36
1200.0,"Congressional District 9 (113th Congress), New York",09,36
1658.0,"Congressional District 10 (113th Congress), New York",10,36
1374.0,"Congressional District 11 (113th Congress), New York",11,36
1813.0,"Congressional District 12 (113th Congress), New York",12,36
1033.0,"Congressional District 13 (113th Congress), New York",13,36
1306.0,"Congressional District 14 (113th Congress), New York",14,36
962.0,"Congressional District 15 (113th Congress), New York",15,36
1411.0,"Congressional District 16 (113th Congress), New York",16,36
1920.0,"Congressional District 17 (113th Congress), New York",17,36
1639.0,"Congressional District 18 (113th Congress), New York",18,36
1059.0,"Congressional District 19 (113th Congress), New York",19,36
1036.0,"Congressional District 20 (113th Congress), New York",20,36
836.0,"Congressional District 21 (113th Congress), New York",21,36
773.0,"Congressional District 22 (113th Congress), New York",22,36
748.0,"Congressional District 23 (113th Congress), New York",23,36
873.0,"Congressional District 24 (113th Congress), New York",24,36
949.0,"Congressional District 25 (113th Congress), New York",25,36
774.0,"Congressional District 26 (113th Congress), New York",26,36
926.0,"Congressional District 27 (113th Congress), New York",27,36
757.0,"Congressional District 1 (113th Congress), North Carolina",01,37
904.0,"Congressional District 2 (113th Congress), North Carolina",02,37
901.0,"Congressional District 3 (113th Congress), North Carolina",03,37
969.0,"Congressional District 4 (113th Congress), North Carolina",04,37
764.0,"Congressional District 5 (113th Congress), North Carolina",05,37
835.0,"Congressional District 6 (113th Congress), North Carolina",06,37
852.0,"Congressional District 7 (113th Congress), North Carolina",07,37
747.0,"Congressional District 8 (113th Congress), North Carolina",08,37
1246.0,"Congressional District 9 (113th Congress), North Carolina",09,37
765.0,"Congressional District 10 (113th Congress), North Carolina",10,37
653.0,"Congressional District 11 (113th Congress), North Carolina",11,37
845.0,"Congressional District 12 (113th Congress), North Carolina",12,37
1093.0,"Congressional District 13 (113th Congress), North Carolina",13,37
690.0,"Congressional District (at Large) (113th Congress), North Dakota",00,38
960.0,"Congressional District 1 (113th Congress), Ohio",01,39
896.0,"Congressional District 2 (113th Congress), Ohio",02,39
873.0,"Congressional District 3 (113th Congress), Ohio",03,39
772.0,"Congressional District 4 (113th Congress), Ohio",04,39
814.0,"Congressional District 5 (113th Congress), Ohio",05,39
620.0,"Congressional District 6 (113th Congress), Ohio",06,39
781.0,"Congressional District 7 (113th Congress), Ohio",07,39
869.0,"Congressional District 8 (113th Congress), Ohio",08,39
768.0,"Congressional District 9 (113th Congress), Ohio",09,39
861.0,"Congressional District 10 (113th Congress), Ohio",10,39
798.0,"Congressional District 11 (113th Congress), Ohio",11,39
1064.0,"Congressional District 12 (113th Congress), Ohio",12,39
730.0,"Congressional District 13 (113th Congress), Ohio",13,39
1016.0,"Congressional District 14 (113th Congress), Ohio",14,39
936.0,"Congressional District 15 (113th Congress), Ohio",15,39
946.0,"Congressional District 16 (113th Congress), Ohio",16,39
848.0,"Congressional District 1 (113th Congress), Oklahoma",01,40
573.0,"Congressional District 2 (113th Congress), Oklahoma",02,40
651.0,"Congressional District 3 (113th Congress), Oklahoma",03,40
784.0,"Congressional District 4 (113th Congress), Oklahoma",04,40
803.0,"Congressional District 5 (113th Congress), Oklahoma",05,40
1213.0,"Congressional District 1 (113th Congress), Oregon",01,41
874.0,"Congressional District 2 (113th Congress), Oregon",02,41
1149.0,"Congressional District 3 (113th Congress), Oregon",03,41
874.0,"Congressional District 4 (113th Congress), Oregon",04,41
1059.0,"Congressional District 5 (113th Congress), Oregon",05,41
920.0,"Congressional District 1 (113th Congress), Pennsylvania",01,42
891.0,"Congressional District 2 (113th Congress), Pennsylvania",02,42
720.0,"Congressional District 3 (113th Congress), Pennsylvania",03,42
1006.0,"Congressional District 4 (113th Congress), Pennsylvania",04,42
690.0,"Congressional District 5 (113th Congress), Pennsylvania",05,42
1355.0,"Congressional District 6 (113th Congress), Pennsylvania",06,42
1450.0,"Congressional District 7 (113th Congress), Pennsylvania",07,42
1459.0,"Congressional District 8 (113th Congress), Pennsylvania",08,42
650.0,"Congressional District 9 (113th Congress), Pennsylvania",09,42
812.0,"Congressional District 10 (113th Congress), Pennsylvania",10,42
823.0,"Congressional District 11 (113th Congress), Pennsylvania",11,42
792.0,"Congressional District 12 (113th Congress), Pennsylvania",12,42
1125.0,"Congressional District 13 (113th Congress), Pennsylvania",13,42
752.0,"Congressional District 14 (113th Congress), Pennsylvania",14,42
1046.0,"Congressional District 15 (113th Congress), Pennsylvania",15,42
992.0,"Congressional District 16 (113th Congress), Pennsylvania",16,42
851.0,"Congressional District 17 (113th Congress), Pennsylvania",17,42
852.0,"Congressional District 18 (113th Congress), Pennsylvania",18,42
1106.0,"Congressional District 1 (113th Congress), Rhode Island",01,44
1248.0,"Congressional District 2 (113th Congress), Rhode Island",02,44
1143.0,"Congressional District 1 (113th Congress), South Carolina",01,45
891.0,"Congressional District 2 (113th Congress), South Carolina",02,45
675.0,"Congressional District 3 (113th Congress), South Carolina",03,45
794.0,"Congressional District 1 (113th Congress), Alabama",01,01
711.0,"Congressional District 2 (113th Congress), Alabama",02,01
696.0,"Congressional District 3 (113th Congress), Alabama",03,01
601.0,"Congressional District 4 (113th Congress), Alabama",04,01
749.0,"Congressional District 5 (113th Congress), Alabama",05,01
977.0,"Congressional District 6 (113th Congress), Alabama",06,01
715.0,"Congressional District 7 (113th Congress), Alabama",07,01
1239.0,"Congressional District (at Large) (113th Congress), Alaska",00,02
825.0,"Congressional District 1 (113th Congress), Arizona",01,04
878.0,"Congressional District 2 (113th Congress), Arizona",02,04
903.0,"Congressional District 3 (113th Congress), Arizona",03,04
825.0,"Congressional District 4 (113th Congress), Arizona",04,04
1222.0,"Congressional District 5 (113th Congress), Arizona",05,04
1198.0,"Congressional District 6 (113th Congress), Arizona",06,04
877.0,"Congressional District 7 (113th Congress), Arizona",07,04
1157.0,"Congressional District 8 (113th Congress), Arizona",08,04
1007.0,"Congressional District 9 (113th Congress), Arizona",09,04
597.0,"Congressional District 1 (113th Congress), Arkansas",01,05
791.0,"Congressional District 2 (113th Congress), Arkansas",02,05
741.0,"Congressional District 3 (113th Congress), Arkansas",03,05
570.0,"Congressional District 4 (113th Congress), Arkansas",04,05
986.0,"Congressional District 1 (113th Congress), California",01,06
1428.0,"Congressional District 2 (113th Congress), California",02,06
1259.0,"Congressional District 3 (113th Congress), California",03,06
1432.0,"Congressional District 4 (113th Congress), California",04,06
1464.0,"Congressional District 5 (113th Congress), California",05,06
1112.0,"Congressional District 6 (113th Congress), California",06,06
1390.0,"Congressional District 7 (113th Congress), California",07,06
1089.0,"Congressional District 8 (113th Congress), California",08,06
1304.0,"Congressional District 9 (113th Congress), California",09,06
1229.0,"Congressional District 10 (113th Congress), California",10,06
1605.0,"Congressional District 11 (113th Congress), California",11,06
1654.0,"Congressional District 12 (113th Congress), California",12,06
1366.0,"Congressional District 13 (113th Congress), California",13,06
1872.0,"Congressional District 14 (113th Congress), California",14,06
1858.0,"Congressional District 15 (113th Congress), California",15,06
923.0,"Congressional District 16 (113th Congress), California",16,06
1882.0,"Congressional District 17 (113th Congress), California",17,06
1980.0,"Congressional District 18 (113th Congress), California",18,06
1814.0,"Congressional District 19 (113th Congress), California",19,06
1449.0,"Congressional District 20 (113th Congress), California",20,06
882.0,"Congressional District 21 (113th Congress), California",21,06
1125.0,"Congressional District 22 (113th Congress), California",22,06
1102.0,"Congressional District 23 (113th Congress), California",23,06
1426.0,"Congressional District 24 (113th Congress), California",24,06
1709.0,"Congressional District 25 (113th Congress), California",25,06
1747.0,"Congressional District 26 (113th Congress), California",26,06
1510.0,"Congressional District 27 (113th Congress), California",27,06
1399.0,"Congressional District 28 (113th Congress), California",28,06
1322.0,"Congressional District 29 (113th Congress), California",29,06
1733.0,"Congressional District 30 (113th Congress), California",30,06
1275.0,"Congressional District 31 (113th Congress), California",31,06
1416.0,"Congressional District 32 (113th Congress), California",32,06
2031.0,"Congressional District 33 (113th Congress), California",33,06
1044.0,"Congressional District 34 (113th Congress), California",34,06
1377.0,"Congressional District 35 (113th Congress), California",35,06
