B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,state
4744420.0,4031229.0,432492.0,155395.0,110186.0,15118.0,Alabama,01
709363.0,569558.0,79876.0,18940.0,35501.0,5488.0,Alaska,02
6395635.0,5142032.0,863051.0,121806.0,225948.0,42798.0,Arizona,04
2898882.0,2422897.0,287919.0,103581.0,75811.0,8674.0,Arkansas,05
37198858.0,31337487.0,4056883.0,1067311.0,471144.0,266033.0,California,06
5054734.0,4081010.0,493932.0,249282.0,196326.0,34184.0,Colorado,08
3549044.0,3122348.0,258640.0,66381.0,79153.0,22522.0,Connecticut,09
897837.0,774601.0,76389.0,7800.0,34096.0,4951.0,Delaware,10
611783.0,492936.0,61442.0,0.0,48718.0,8687.0,District of Columbia,11
18888570.0,15818520.0,1846490.0,564976.0,500474.0,158110.0,Florida,12
9685706.0,8099076.0,816099.0,453503.0,268154.0,48874.0,Georgia,13
1358968.0,1153483.0,125214.0,8043.0,55490.0,16738.0,Hawaii,15
1561155.0,1292750.0,149653.0,53048.0,58418.0,7286.0,Idaho,16
12695273.0,11024961.0,1080455.0,308815.0,213822.0,67220.0,Illinois,17
6434804.0,5461221.0,590415.0,227702.0,131830.0,23636.0,Indiana,18
3025173.0,2565332.0,265118.0,107998.0,74675.0,12050.0,Iowa,19
2828927.0,2353262.0,271943.0,97294.0,92180.0,14248.0,Kansas,20
4309798.0,3655291.0,374610.0,150203.0,112194.0,17500.0,Kentucky,21
4509520.0,3870930.0,376823.0,151598.0,95073.0,15096.0,Louisiana,22
1315325.0,1136673.0,106797.0,38465.0,29627.0,3763.0,Maine,23
5763751.0,4996711.0,416842.0,148491.0,158768.0,42939.0,Maryland,24
6534951.0,5668601.0,493607.0,174879.0,140764.0,57100.0,Massachusetts,25
9775443.0,8340009.0,899911.0,360184.0,129343.0,45996.0,Michigan,26
5281524.0,4519107.0,405138.0,233308.0,98048.0,25923.0,Minnesota,27
2939062.0,2520747.0,230314.0,110465.0,70643.0,6893.0,Mississippi,28
5934645.0,4973611.0,535031.0,251656.0,153030.0,21317.0,Missouri,29
987230.0,825630.0,89248.0,33237.0,35505.0,3610.0,Montana,30
1815644.0,1513267.0,179189.0,66207.0,49119.0,7862.0,Nebraska,31
2695564.0,2094599.0,445171.0,25905.0,114116.0,15773.0,Nevada,32
1306736.0,1130839.0,96574.0,31725.0,41432.0,6166.0,New Hampshire,33
8736147.0,7875610.0,483230.0,186222.0,132874.0,58211.0,New Jersey,34
2042718.0,1742955.0,179394.0,47589.0,61546.0,11234.0,New Mexico,35
19265730.0,17103021.0,1270699.0,467130.0,275267.0,149613.0,New York,36
9535230.0,8075459.0,808301.0,333650.0,266827.0,50993.0,North Carolina,37
680864.0,563859.0,56884.0,22572.0,34426.0,3123.0,North Dakota,38
11418877.0,9761785.0,1074135.0,361787.0,182634.0,38536.0,Ohio,39
3736051.0,3080501.0,373159.0,156399.0,110182.0,15810.0,Oklahoma,40
3825695.0,3136563.0,411931.0,131021.0,125881.0,20299.0,Oregon,41
12597683.0,11080279.0,912486.0,320527.0,229569.0,54822.0,Pennsylvania,42
1041291.0,900686.0,83701.0,17234.0,31978.0,7692.0,Rhode Island,44
4623852.0,3915031.0,388439.0,146117.0,156627.0,17638.0,South Carolina,45
814196.0,681064.0,67586.0,35276.0,27468.0,2802.0,South Dakota,46
6326649.0,5351432.0,594232.0,186850.0,171994.0,22141.0,Tennessee,47
25281858.0,20932432.0,2643496.0,1008181.0,513894.0,183855.0,Texas,48
2764160.0,2288521.0,286304.0,85198.0,85894.0,18243.0,Utah,49
620479.0,537391.0,45624.0,12504.0,22462.0,2498.0,Vermont,50
8002371.0,6779741.0,524530.0,382698.0,257577.0,57825.0,Virginia,51
6736197.0,5573777.0,719383.0,190840.0,201481.0,50716.0,Washington,53
1834812.0,1617293.0,119958.0,45451.0,48522.0,3588.0,West Virginia,54
5641126.0,4842528.0,498717.0,183619.0,99806.0,16456.0,Wisconsin,55
562811.0,460194.0,55378.0,15347.0,29857.0,2035.0,Wyoming,56
,,,,,,Puerto Rico,72
