B25003I_001E,B25003I_002E,B25003I_003E,name,congressional district,state
88256.0,62794.0,25462.0,"Congressional District 3 (113th Congress), New Mexico",03,35
21231.0,12233.0,8998.0,"Congressional District 1 (113th Congress), New York",01,36
34356.0,23945.0,10411.0,"Congressional District 2 (113th Congress), New York",02,36
18466.0,10433.0,8033.0,"Congressional District 3 (113th Congress), New York",03,36
30953.0,16714.0,14239.0,"Congressional District 4 (113th Congress), New York",04,36
37930.0,15856.0,22074.0,"Congressional District 5 (113th Congress), New York",05,36
45379.0,12723.0,32656.0,"Congressional District 6 (113th Congress), New York",06,36
99853.0,15053.0,84800.0,"Congressional District 7 (113th Congress), New York",07,36
42120.0,8655.0,33465.0,"Congressional District 8 (113th Congress), New York",08,36
26285.0,3911.0,22374.0,"Congressional District 9 (113th Congress), New York",09,36
30953.0,4305.0,26648.0,"Congressional District 10 (113th Congress), New York",10,36
33984.0,12869.0,21115.0,"Congressional District 11 (113th Congress), New York",11,36
39519.0,5376.0,34143.0,"Congressional District 12 (113th Congress), New York",12,36
125335.0,5571.0,119764.0,"Congressional District 13 (113th Congress), New York",13,36
101346.0,19966.0,81380.0,"Congressional District 14 (113th Congress), New York",14,36
151730.0,11519.0,140211.0,"Congressional District 15 (113th Congress), New York",15,36
52073.0,14532.0,37541.0,"Congressional District 16 (113th Congress), New York",16,36
37182.0,14047.0,23135.0,"Congressional District 17 (113th Congress), New York",17,36
28615.0,14805.0,13810.0,"Congressional District 18 (113th Congress), New York",18,36
11605.0,5303.0,6302.0,"Congressional District 19 (113th Congress), New York",19,36
11346.0,3406.0,7940.0,"Congressional District 20 (113th Congress), New York",20,36
3913.0,1169.0,2744.0,"Congressional District 21 (113th Congress), New York",21,36
5536.0,1867.0,3669.0,"Congressional District 22 (113th Congress), New York",22,36
6424.0,1998.0,4426.0,"Congressional District 23 (113th Congress), New York",23,36
6929.0,2563.0,4366.0,"Congressional District 24 (113th Congress), New York",24,36
17068.0,6074.0,10994.0,"Congressional District 25 (113th Congress), New York",25,36
12687.0,3550.0,9137.0,"Congressional District 26 (113th Congress), New York",26,36
3600.0,1877.0,1723.0,"Congressional District 27 (113th Congress), New York",27,36
13495.0,5174.0,8321.0,"Congressional District 1 (113th Congress), North Carolina",01,37
20397.0,9821.0,10576.0,"Congressional District 2 (113th Congress), North Carolina",02,37
13669.0,5484.0,8185.0,"Congressional District 3 (113th Congress), North Carolina",03,37
23227.0,8828.0,14399.0,"Congressional District 4 (113th Congress), North Carolina",04,37
14613.0,6425.0,8188.0,"Congressional District 5 (113th Congress), North Carolina",05,37
11355.0,6385.0,4970.0,"Congressional District 6 (113th Congress), North Carolina",06,37
16092.0,7204.0,8888.0,"Congressional District 7 (113th Congress), North Carolina",07,37
13667.0,6237.0,7430.0,"Congressional District 8 (113th Congress), North Carolina",08,37
15513.0,8847.0,6666.0,"Congressional District 9 (113th Congress), North Carolina",09,37
10579.0,4534.0,6045.0,"Congressional District 10 (113th Congress), North Carolina",10,37
10113.0,4143.0,5970.0,"Congressional District 11 (113th Congress), North Carolina",11,37
27639.0,8458.0,19181.0,"Congressional District 12 (113th Congress), North Carolina",12,37
13908.0,7646.0,6262.0,"Congressional District 13 (113th Congress), North Carolina",13,37
4271.0,1867.0,2404.0,"Congressional District (at Large) (113th Congress), North Dakota",00,38
5112.0,1852.0,3260.0,"Congressional District 1 (113th Congress), Ohio",01,39
3238.0,1841.0,1397.0,"Congressional District 2 (113th Congress), Ohio",02,39
11617.0,2974.0,8643.0,"Congressional District 3 (113th Congress), Ohio",03,39
5966.0,3170.0,2796.0,"Congressional District 4 (113th Congress), Ohio",04,39
8437.0,4259.0,4178.0,"Congressional District 5 (113th Congress), Ohio",05,39
1653.0,1068.0,585.0,"Congressional District 6 (113th Congress), Ohio",06,39
3238.0,1705.0,1533.0,"Congressional District 7 (113th Congress), Ohio",07,39
5425.0,2015.0,3410.0,"Congressional District 8 (113th Congress), Ohio",08,39
21257.0,9884.0,11373.0,"Congressional District 9 (113th Congress), Ohio",09,39
5086.0,2286.0,2800.0,"Congressional District 10 (113th Congress), Ohio",10,39
