B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
4932.0,4906.0,26.0,"Census Tract 7701, Adams County, Ohio",001,39,770100
4956.0,4947.0,9.0,"Census Tract 7702, Adams County, Ohio",001,39,770200
7192.0,7188.0,4.0,"Census Tract 7703, Adams County, Ohio",001,39,770300
4769.0,4720.0,49.0,"Census Tract 7704, Adams County, Ohio",001,39,770400
3096.0,3090.0,6.0,"Census Tract 7705, Adams County, Ohio",001,39,770500
3397.0,3397.0,0.0,"Census Tract 7706, Adams County, Ohio",001,39,770600
4394.0,4264.0,130.0,"Census Tract 101, Allen County, Ohio",003,39,010100
4225.0,4202.0,23.0,"Census Tract 102, Allen County, Ohio",003,39,010200
1584.0,1584.0,0.0,"Census Tract 103, Allen County, Ohio",003,39,010300
5016.0,4942.0,74.0,"Census Tract 106, Allen County, Ohio",003,39,010600
7480.0,7352.0,128.0,"Census Tract 108, Allen County, Ohio",003,39,010800
4637.0,4557.0,80.0,"Census Tract 109, Allen County, Ohio",003,39,010900
6456.0,6282.0,174.0,"Census Tract 110, Allen County, Ohio",003,39,011000
2757.0,2737.0,20.0,"Census Tract 112, Allen County, Ohio",003,39,011200
7249.0,7114.0,135.0,"Census Tract 113, Allen County, Ohio",003,39,011300
3014.0,3000.0,14.0,"Census Tract 114, Allen County, Ohio",003,39,011400
2747.0,2723.0,24.0,"Census Tract 115, Allen County, Ohio",003,39,011500
2584.0,2561.0,23.0,"Census Tract 116, Allen County, Ohio",003,39,011600
2560.0,2485.0,75.0,"Census Tract 118, Allen County, Ohio",003,39,011800
3001.0,2982.0,19.0,"Census Tract 119, Allen County, Ohio",003,39,011900
2272.0,2203.0,69.0,"Census Tract 120, Allen County, Ohio",003,39,012000
3444.0,3232.0,212.0,"Census Tract 121, Allen County, Ohio",003,39,012100
3448.0,3442.0,6.0,"Census Tract 122, Allen County, Ohio",003,39,012200
3962.0,3948.0,14.0,"Census Tract 123, Allen County, Ohio",003,39,012300
2686.0,2686.0,0.0,"Census Tract 124, Allen County, Ohio",003,39,012400
1665.0,1651.0,14.0,"Census Tract 1212, Cuyahoga County, Ohio",035,39,121200
2331.0,2325.0,6.0,"Census Tract 1213, Cuyahoga County, Ohio",035,39,121300
2004.0,1999.0,5.0,"Census Tract 1214.01, Cuyahoga County, Ohio",035,39,121401
2639.0,2627.0,12.0,"Census Tract 1214.03, Cuyahoga County, Ohio",035,39,121403
3298.0,3290.0,8.0,"Census Tract 1215, Cuyahoga County, Ohio",035,39,121500
3659.0,3593.0,66.0,"Census Tract 1217, Cuyahoga County, Ohio",035,39,121700
1889.0,1885.0,4.0,"Census Tract 1218, Cuyahoga County, Ohio",035,39,121800
1296.0,1259.0,37.0,"Census Tract 1219, Cuyahoga County, Ohio",035,39,121900
3310.0,3309.0,1.0,"Census Tract 1221, Cuyahoga County, Ohio",035,39,122100
1660.0,1640.0,20.0,"Census Tract 1222, Cuyahoga County, Ohio",035,39,122200
