B19001B_001E,B19001B_002E,B19001B_003E,B19001B_004E,B19001B_005E,B19001B_006E,B19001B_007E,B19001B_008E,B19001B_009E,B19001B_010E,B19001B_011E,B19001B_012E,B19001B_013E,B19001B_014E,B19001B_015E,B19001B_016E,B19001B_017E,name,congressional district,state
66615.0,12473.0,7192.0,6771.0,5360.0,4310.0,4284.0,3182.0,2742.0,2642.0,4572.0,4531.0,4442.0,1821.0,1079.0,818.0,396.0,"Congressional District 1 (114th Congress), Alabama",01,01
73945.0,12114.0,7938.0,6698.0,5577.0,5494.0,4539.0,3964.0,4142.0,3084.0,5029.0,5250.0,4945.0,2385.0,1472.0,924.0,390.0,"Congressional District 2 (114th Congress), Alabama",02,01
66491.0,11906.0,6891.0,5760.0,4927.0,4724.0,4402.0,3642.0,3390.0,2646.0,4312.0,4238.0,4549.0,2644.0,1433.0,644.0,383.0,"Congressional District 3 (114th Congress), Alabama",03,01
17822.0,2998.0,1982.0,1691.0,1593.0,1373.0,1040.0,886.0,1076.0,643.0,1197.0,1403.0,980.0,564.0,199.0,172.0,25.0,"Congressional District 4 (114th Congress), Alabama",04,01
45100.0,6413.0,4403.0,3414.0,3378.0,2966.0,2465.0,2836.0,2101.0,1556.0,3170.0,3409.0,3670.0,2355.0,1128.0,970.0,866.0,"Congressional District 5 (114th Congress), Alabama",05,01
34936.0,3045.0,2191.0,2069.0,2033.0,2259.0,1773.0,1957.0,1936.0,1302.0,3030.0,3735.0,4730.0,2620.0,1002.0,909.0,345.0,"Congressional District 6 (114th Congress), Alabama",06,01
161574.0,31717.0,18569.0,14670.0,12626.0,11237.0,9638.0,8564.0,7797.0,6337.0,11143.0,10388.0,9366.0,4957.0,2471.0,1424.0,670.0,"Congressional District 7 (114th Congress), Alabama",07,01
8729.0,510.0,502.0,537.0,469.0,453.0,424.0,408.0,390.0,262.0,683.0,879.0,1059.0,791.0,322.0,694.0,346.0,"Congressional District (at Large) (114th Congress), Alaska",00,02
4748.0,389.0,192.0,244.0,232.0,294.0,250.0,233.0,190.0,182.0,312.0,830.0,709.0,354.0,112.0,132.0,93.0,"Congressional District 1 (114th Congress), Arizona",01,04
10407.0,752.0,1018.0,716.0,1089.0,764.0,612.0,453.0,679.0,455.0,712.0,970.0,710.0,678.0,202.0,428.0,169.0,"Congressional District 2 (114th Congress), Arizona",02,04
10244.0,994.0,692.0,560.0,700.0,645.0,738.0,442.0,513.0,428.0,1076.0,1034.0,1210.0,628.0,323.0,203.0,58.0,"Congressional District 3 (114th Congress), Arizona",03,04
3352.0,353.0,138.0,77.0,115.0,250.0,282.0,265.0,72.0,171.0,345.0,338.0,510.0,121.0,64.0,185.0,66.0,"Congressional District 4 (114th Congress), Arizona",04,04
7533.0,368.0,293.0,429.0,360.0,195.0,347.0,445.0,462.0,301.0,449.0,817.0,1046.0,750.0,591.0,416.0,264.0,"Congressional District 5 (114th Congress), Arizona",05,04
7340.0,764.0,566.0,746.0,404.0,446.0,376.0,428.0,390.0,290.0,566.0,664.0,712.0,434.0,132.0,261.0,161.0,"Congressional District 6 (114th Congress), Arizona",06,04
24901.0,4893.0,2696.0,1781.0,1746.0,1465.0,1717.0,1463.0,1285.0,820.0,1878.0,1648.0,1542.0,1048.0,515.0,232.0,172.0,"Congressional District 7 (114th Congress), Arizona",07,04
10786.0,694.0,567.0,533.0,451.0,483.0,510.0,626.0,529.0,615.0,1591.0,1087.0,1213.0,820.0,613.0,266.0,188.0,"Congressional District 8 (114th Congress), Arizona",08,04
16010.0,2285.0,1393.0,1353.0,1010.0,1052.0,1038.0,907.0,1100.0,776.0,1420.0,1052.0,1271.0,634.0,247.0,298.0,174.0,"Congressional District 9 (114th Congress), Arizona",09,04
45759.0,10202.0,5566.0,4687.0,3885.0,3502.0,3001.0,2050.0,1717.0,1447.0,2990.0,2536.0,2542.0,782.0,380.0,322.0,150.0,"Congressional District 1 (114th Congress), Arkansas",01,05
60726.0,8354.0,5436.0,5456.0,4991.0,4128.0,4794.0,3629.0,3414.0,2511.0,4620.0,4627.0,4408.0,2088.0,1011.0,904.0,355.0,"Congressional District 2 (114th Congress), Arkansas",02,05
7212.0,981.0,930.0,560.0,501.0,606.0,550.0,240.0,388.0,208.0,426.0,560.0,590.0,313.0,62.0,236.0,61.0,"Congressional District 3 (114th Congress), Arkansas",03,05
54588.0,10312.0,6948.0,5492.0,5236.0,3738.0,3474.0,2748.0,2446.0,2029.0,3707.0,2880.0,2869.0,1461.0,796.0,279.0,173.0,"Congressional District 4 (114th Congress), Arkansas",04,05
1913.0,310.0,227.0,68.0,60.0,140.0,18.0,194.0,64.0,50.0,330.0,151.0,113.0,82.0,25.0,61.0,20.0,"Congressional District 1 (114th Congress), California",01,06
3125.0,496.0,216.0,231.0,143.0,178.0,72.0,113.0,62.0,70.0,307.0,369.0,330.0,167.0,105.0,115.0,151.0,"Congressional District 2 (114th Congress), California",02,06
14535.0,1073.0,948.0,808.0,719.0,589.0,796.0,598.0,718.0,658.0,1072.0,1358.0,1590.0,1327.0,774.0,1053.0,454.0,"Congressional District 3 (114th Congress), California",03,06
2095.0,154.0,157.0,188.0,50.0,57.0,90.0,52.0,29.0,48.0,48.0,144.0,244.0,222.0,181.0,244.0,187.0,"Congressional District 4 (114th Congress), California",04,06
16388.0,1532.0,1389.0,1060.0,688.0,564.0,713.0,525.0,565.0,604.0,1218.0,1600.0,2136.0,1632.0,641.0,857.0,664.0,"Congressional District 5 (114th Congress), California",05,06
35219.0,4643.0,4242.0,2065.0,2227.0,2527.0,1931.0,1844.0,1717.0,1248.0,2774.0,3063.0,3387.0,1640.0,669.0,856.0,386.0,"Congressional District 6 (114th Congress), California",06,06
18514.0,1790.0,1505.0,974.0,860.0,698.0,1118.0,827.0,784.0,793.0,1530.0,1628.0,2115.0,1533.0,687.0,1081.0,591.0,"Congressional District 7 (114th Congress), California",07,06
16977.0,2815.0,1657.0,1291.0,1192.0,1203.0,889.0,850.0,607.0,615.0,815.0,1513.0,1575.0,815.0,629.0,354.0,157.0,"Congressional District 8 (114th Congress), California",08,06
20346.0,2245.0,1817.0,1390.0,1754.0,1035.0,945.0,690.0,786.0,572.0,1145.0,1783.0,2333.0,1620.0,793.0,890.0,548.0,"Congressional District 9 (114th Congress), California",09,06
7344.0,899.0,654.0,350.0,442.0,420.0,221.0,378.0,266.0,195.0,555.0,696.0,664.0,638.0,404.0,407.0,155.0,"Congressional District 10 (114th Congress), California",10,06
24666.0,2483.0,2360.0,1541.0,1573.0,1085.0,1434.0,930.0,974.0,979.0,2093.0,2065.0,2721.0,1500.0,1065.0,1044.0,819.0,"Congressional District 11 (114th Congress), California",11,06
17918.0,3409.0,2510.0,1331.0,1260.0,754.0,693.0,882.0,670.0,455.0,1149.0,1024.0,1147.0,747.0,425.0,892.0,570.0,"Congressional District 12 (114th Congress), California",12,06
58740.0,7181.0,6548.0,4299.0,3683.0,3205.0,3088.0,2824.0,2728.0,2066.0,4649.0,4797.0,4942.0,3370.0,1860.0,2099.0,1401.0,"Congressional District 13 (114th Congress), California",13,06
