B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,state
1185162.0,70440.0,74689.0,82934.0,79025.0,73774.0,74727.0,69876.0,65656.0,55070.0,100986.0,120447.0,133712.0,78634.0,44373.0,37616.0,23203.0,"Los Angeles County, California",037,06
18086.0,1412.0,804.0,1348.0,1493.0,1342.0,1346.0,1161.0,1107.0,1010.0,1699.0,1881.0,1674.0,1058.0,501.0,163.0,87.0,"Madera County, California",039,06
10057.0,454.0,753.0,632.0,459.0,523.0,460.0,833.0,496.0,437.0,755.0,1005.0,1312.0,633.0,352.0,344.0,609.0,"Marin County, California",041,06
404.0,14.0,0.0,98.0,29.0,14.0,0.0,29.0,36.0,10.0,20.0,107.0,28.0,0.0,0.0,19.0,0.0,"Mariposa County, California",043,06
4928.0,380.0,229.0,433.0,559.0,321.0,481.0,259.0,243.0,253.0,513.0,460.0,350.0,130.0,212.0,49.0,56.0,"Mendocino County, California",045,06
35958.0,2335.0,2910.0,2705.0,2800.0,2913.0,3039.0,2197.0,2002.0,1453.0,3630.0,3584.0,3249.0,1526.0,735.0,464.0,416.0,"Merced County, California",047,06
362.0,91.0,51.0,20.0,22.0,22.0,21.0,0.0,31.0,26.0,22.0,32.0,24.0,0.0,0.0,0.0,0.0,"Modoc County, California",049,06
819.0,0.0,28.0,48.0,49.0,0.0,71.0,105.0,65.0,0.0,185.0,131.0,116.0,21.0,0.0,0.0,0.0,"Mono County, California",051,06
52871.0,2326.0,2732.0,2911.0,3660.0,3588.0,3295.0,3463.0,3233.0,2633.0,5294.0,5884.0,6309.0,3188.0,1886.0,1776.0,693.0,"Monterey County, California",053,06
11493.0,462.0,443.0,274.0,787.0,783.0,603.0,582.0,695.0,681.0,1018.0,1327.0,1536.0,1153.0,422.0,388.0,339.0,"Napa County, California",055,06
2199.0,129.0,48.0,134.0,135.0,218.0,165.0,167.0,99.0,131.0,147.0,163.0,298.0,165.0,71.0,64.0,65.0,"Nevada County, California",057,06
237664.0,9331.0,9110.0,11188.0,11996.0,13628.0,13104.0,13066.0,11835.0,11266.0,22773.0,25012.0,33193.0,19905.0,12344.0,11371.0,8542.0,"Orange County, California",059,06
12830.0,670.0,715.0,444.0,703.0,825.0,685.0,765.0,676.0,434.0,1062.0,1024.0,1612.0,1234.0,847.0,557.0,577.0,"Placer County, California",061,06
