B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2845.0,1405.0,53.0,3.0,8.0,62.0,33.0,28.0,60.0,15.0,731.0,67.0,165.0,19.0,107.0,34.0,10.0,10.0,1440.0,2.0,2.0,4.0,41.0,16.0,74.0,30.0,0.0,579.0,142.0,142.0,95.0,216.0,80.0,10.0,7.0,"Census Tract 9674, Gibson County, Tennessee",053,47,967400
9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 9801, Gibson County, Tennessee",053,47,980100
2496.0,1172.0,14.0,3.0,1.0,55.0,43.0,23.0,32.0,8.0,550.0,55.0,176.0,43.0,101.0,68.0,0.0,0.0,1324.0,8.0,9.0,0.0,21.0,21.0,32.0,24.0,16.0,510.0,95.0,157.0,133.0,221.0,77.0,0.0,0.0,"Census Tract 9201, Giles County, Tennessee",055,47,920100
3072.0,1457.0,31.0,14.0,6.0,70.0,39.0,109.0,27.0,6.0,631.0,85.0,183.0,70.0,147.0,27.0,12.0,0.0,1615.0,25.0,20.0,45.0,163.0,99.0,49.0,79.0,6.0,517.0,67.0,156.0,100.0,196.0,89.0,4.0,0.0,"Census Tract 9202, Giles County, Tennessee",055,47,920200
4316.0,2060.0,14.0,0.0,16.0,83.0,62.0,54.0,79.0,107.0,843.0,65.0,369.0,103.0,119.0,126.0,0.0,20.0,2256.0,20.0,0.0,14.0,74.0,15.0,61.0,67.0,53.0,907.0,200.0,269.0,153.0,215.0,151.0,57.0,0.0,"Census Tract 9203, Giles County, Tennessee",055,47,920300
1864.0,830.0,11.0,0.0,11.0,34.0,3.0,58.0,20.0,0.0,286.0,68.0,146.0,44.0,116.0,23.0,10.0,0.0,1034.0,19.0,17.0,3.0,106.0,36.0,0.0,22.0,2.0,423.0,84.0,98.0,48.0,95.0,76.0,0.0,5.0,"Census Tract 9204, Giles County, Tennessee",055,47,920400
3167.0,1548.0,42.0,8.0,33.0,25.0,61.0,62.0,53.0,31.0,683.0,126.0,202.0,36.0,120.0,24.0,34.0,8.0,1619.0,8.0,0.0,10.0,42.0,26.0,73.0,94.0,8.0,646.0,70.0,269.0,177.0,155.0,31.0,10.0,0.0,"Census Tract 9205, Giles County, Tennessee",055,47,920500
1872.0,962.0,9.0,0.0,6.0,60.0,50.0,6.0,74.0,10.0,456.0,34.0,114.0,17.0,105.0,10.0,10.0,1.0,910.0,11.0,0.0,4.0,60.0,3.0,8.0,18.0,23.0,454.0,28.0,128.0,114.0,43.0,8.0,0.0,8.0,"Census Tract 9206, Giles County, Tennessee",055,47,920600
1260.0,638.0,15.0,0.0,6.0,6.0,14.0,18.0,40.0,14.0,298.0,22.0,64.0,16.0,87.0,13.0,0.0,25.0,622.0,2.0,0.0,7.0,22.0,14.0,4.0,19.0,11.0,325.0,31.0,68.0,53.0,44.0,22.0,0.0,0.0,"Census Tract 9207, Giles County, Tennessee",055,47,920700
2207.0,1066.0,5.0,0.0,33.0,50.0,30.0,66.0,43.0,3.0,523.0,21.0,122.0,20.0,115.0,22.0,13.0,0.0,1141.0,3.0,6.0,17.0,27.0,16.0,8.0,71.0,20.0,524.0,57.0,179.0,69.0,95.0,47.0,2.0,0.0,"Census Tract 9208, Giles County, Tennessee",055,47,920800
