B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
1725.0,1655.0,70.0,"Census Tract 101, Androscoggin County, Maine",001,23,010100
4653.0,4488.0,165.0,"Census Tract 102, Androscoggin County, Maine",001,23,010200
2207.0,2088.0,119.0,"Census Tract 103, Androscoggin County, Maine",001,23,010300
2405.0,2305.0,100.0,"Census Tract 104, Androscoggin County, Maine",001,23,010400
2082.0,2064.0,18.0,"Census Tract 105, Androscoggin County, Maine",001,23,010500
2853.0,2814.0,39.0,"Census Tract 106, Androscoggin County, Maine",001,23,010600
3195.0,3098.0,97.0,"Census Tract 107, Androscoggin County, Maine",001,23,010700
3796.0,3666.0,130.0,"Census Tract 108, Androscoggin County, Maine",001,23,010800
1303.0,1181.0,122.0,"Census Tract 201, Androscoggin County, Maine",001,23,020100
1221.0,1196.0,25.0,"Census Tract 202, Androscoggin County, Maine",001,23,020200
6574.0,6059.0,515.0,"Census Tract 203, Androscoggin County, Maine",001,23,020300
3027.0,2831.0,196.0,"Census Tract 204, Androscoggin County, Maine",001,23,020400
4174.0,4071.0,103.0,"Census Tract 205, Androscoggin County, Maine",001,23,020500
2560.0,2478.0,82.0,"Census Tract 206, Androscoggin County, Maine",001,23,020600
5314.0,5122.0,192.0,"Census Tract 207, Androscoggin County, Maine",001,23,020700
7520.0,7279.0,241.0,"Census Tract 208, Androscoggin County, Maine",001,23,020800
4663.0,4454.0,209.0,"Census Tract 209, Androscoggin County, Maine",001,23,020900
4385.0,4348.0,37.0,"Census Tract 301, Androscoggin County, Maine",001,23,030100
4510.0,4454.0,56.0,"Census Tract 302, Androscoggin County, Maine",001,23,030200
3902.0,3877.0,25.0,"Census Tract 400, Androscoggin County, Maine",001,23,040000
5464.0,5446.0,18.0,"Census Tract 410, Androscoggin County, Maine",001,23,041000
5603.0,5471.0,132.0,"Census Tract 415, Androscoggin County, Maine",001,23,041500
5725.0,5630.0,95.0,"Census Tract 420, Androscoggin County, Maine",001,23,042000
2028.0,2024.0,4.0,"Census Tract 430, Androscoggin County, Maine",001,23,043000
3149.0,3120.0,29.0,"Census Tract 440, Androscoggin County, Maine",001,23,044000
2030.0,2015.0,15.0,"Census Tract 450, Androscoggin County, Maine",001,23,045000
4349.0,4241.0,108.0,"Census Tract 460, Androscoggin County, Maine",001,23,046000
6976.0,6844.0,132.0,"Census Tract 465, Androscoggin County, Maine",001,23,046500
2422.0,2259.0,163.0,"Census Tract 9501, Aroostook County, Maine",003,23,950100
2731.0,2427.0,304.0,"Census Tract 9502, Aroostook County, Maine",003,23,950200
3930.0,3377.0,553.0,"Census Tract 9503, Aroostook County, Maine",003,23,950300
1539.0,1448.0,91.0,"Census Tract 9504, Aroostook County, Maine",003,23,950400
4032.0,3781.0,251.0,"Census Tract 9506, Aroostook County, Maine",003,23,950600
2711.0,2614.0,97.0,"Census Tract 9507, Aroostook County, Maine",003,23,950700
2172.0,2118.0,54.0,"Census Tract 9509, Aroostook County, Maine",003,23,950900
3446.0,3333.0,113.0,"Census Tract 9510, Aroostook County, Maine",003,23,951000
2794.0,2703.0,91.0,"Census Tract 9511, Aroostook County, Maine",003,23,951100
2690.0,2520.0,170.0,"Census Tract 9512, Aroostook County, Maine",003,23,951200
3199.0,2997.0,202.0,"Census Tract 9513, Aroostook County, Maine",003,23,951300
2071.0,1989.0,82.0,"Census Tract 9514, Aroostook County, Maine",003,23,951400
2084.0,1959.0,125.0,"Census Tract 9516, Aroostook County, Maine",003,23,951600
4576.0,4358.0,218.0,"Census Tract 9517, Aroostook County, Maine",003,23,951700
3967.0,3891.0,76.0,"Census Tract 9518, Aroostook County, Maine",003,23,951800
