B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
3989.0,3989.0,0.0,"Census Tract 9583, Boone County, West Virginia",005,54,958300
2315.0,2306.0,9.0,"Census Tract 9584, Boone County, West Virginia",005,54,958400
2618.0,2606.0,12.0,"Census Tract 9585.01, Boone County, West Virginia",005,54,958501
3423.0,3405.0,18.0,"Census Tract 9585.02, Boone County, West Virginia",005,54,958502
2209.0,2204.0,5.0,"Census Tract 9586, Boone County, West Virginia",005,54,958600
2189.0,2189.0,0.0,"Census Tract 9587, Boone County, West Virginia",005,54,958700
2909.0,2902.0,7.0,"Census Tract 9588, Boone County, West Virginia",005,54,958800
5319.0,5318.0,1.0,"Census Tract 9679, Braxton County, West Virginia",007,54,967900
4355.0,4345.0,10.0,"Census Tract 9680, Braxton County, West Virginia",007,54,968000
4792.0,4788.0,4.0,"Census Tract 9681, Braxton County, West Virginia",007,54,968100
4832.0,4762.0,70.0,"Census Tract 311.01, Brooke County, West Virginia",009,54,031101
4560.0,4486.0,74.0,"Census Tract 311.02, Brooke County, West Virginia",009,54,031102
3430.0,3411.0,19.0,"Census Tract 312, Brooke County, West Virginia",009,54,031200
3973.0,3958.0,15.0,"Census Tract 314, Brooke County, West Virginia",009,54,031400
4151.0,4114.0,37.0,"Census Tract 316, Brooke County, West Virginia",009,54,031600
2719.0,2698.0,21.0,"Census Tract 317, Brooke County, West Virginia",009,54,031700
1857.0,1844.0,13.0,"Census Tract 1.01, Cabell County, West Virginia",011,54,000101
2172.0,2133.0,39.0,"Census Tract 1.02, Cabell County, West Virginia",011,54,000102
2888.0,2888.0,0.0,"Census Tract 2, Cabell County, West Virginia",011,54,000200
2324.0,2274.0,50.0,"Census Tract 3, Cabell County, West Virginia",011,54,000300
2843.0,2676.0,167.0,"Census Tract 4, Cabell County, West Virginia",011,54,000400
2815.0,2560.0,255.0,"Census Tract 5, Cabell County, West Virginia",011,54,000500
1527.0,1405.0,122.0,"Census Tract 6, Cabell County, West Virginia",011,54,000600
1628.0,1628.0,0.0,"Census Tract 9, Cabell County, West Virginia",011,54,000900
2160.0,2145.0,15.0,"Census Tract 10, Cabell County, West Virginia",011,54,001000
1704.0,1689.0,15.0,"Census Tract 11, Cabell County, West Virginia",011,54,001100
3055.0,2999.0,56.0,"Census Tract 12, Cabell County, West Virginia",011,54,001200
2906.0,2801.0,105.0,"Census Tract 13, Cabell County, West Virginia",011,54,001300
2489.0,2363.0,126.0,"Census Tract 14, Cabell County, West Virginia",011,54,001400
2162.0,2148.0,14.0,"Census Tract 15, Cabell County, West Virginia",011,54,001500
1250.0,1243.0,7.0,"Census Tract 16, Cabell County, West Virginia",011,54,001600
3973.0,3973.0,0.0,"Census Tract 18, Cabell County, West Virginia",011,54,001800
2205.0,2174.0,31.0,"Census Tract 19, Cabell County, West Virginia",011,54,001900
3369.0,3230.0,139.0,"Census Tract 20, Cabell County, West Virginia",011,54,002000
3235.0,3183.0,52.0,"Census Tract 21, Cabell County, West Virginia",011,54,002100
6105.0,6085.0,20.0,"Census Tract 101.02, Cabell County, West Virginia",011,54,010102
5444.0,5163.0,281.0,"Census Tract 102.01, Cabell County, West Virginia",011,54,010201
3681.0,3583.0,98.0,"Census Tract 102.02, Cabell County, West Virginia",011,54,010202
2886.0,2848.0,38.0,"Census Tract 103, Cabell County, West Virginia",011,54,010300
6802.0,6610.0,192.0,"Census Tract 104, Cabell County, West Virginia",011,54,010400
5602.0,5568.0,34.0,"Census Tract 105, Cabell County, West Virginia",011,54,010500
3854.0,3835.0,19.0,"Census Tract 106, Cabell County, West Virginia",011,54,010600
7730.0,7633.0,97.0,"Census Tract 107, Cabell County, West Virginia",011,54,010700
6396.0,6355.0,41.0,"Census Tract 108, Cabell County, West Virginia",011,54,010800
1762.0,1697.0,65.0,"Census Tract 109, Cabell County, West Virginia",011,54,010900
3630.0,3610.0,20.0,"Census Tract 9626, Calhoun County, West Virginia",013,54,962600
3927.0,3887.0,40.0,"Census Tract 9627, Calhoun County, West Virginia",013,54,962700
3747.0,3718.0,29.0,"Census Tract 9579, Clay County, West Virginia",015,54,957900
3357.0,3357.0,0.0,"Census Tract 9580, Clay County, West Virginia",015,54,958000
2037.0,2037.0,0.0,"Census Tract 9581, Clay County, West Virginia",015,54,958100
3733.0,3677.0,56.0,"Census Tract 9650, Doddridge County, West Virginia",017,54,965000
4468.0,4453.0,15.0,"Census Tract 9651, Doddridge County, West Virginia",017,54,965100
5423.0,5402.0,21.0,"Census Tract 201, Fayette County, West Virginia",019,54,020100
4741.0,4692.0,49.0,"Census Tract 202.01, Fayette County, West Virginia",019,54,020201
4100.0,4092.0,8.0,"Census Tract 202.02, Fayette County, West Virginia",019,54,020202
3031.0,3015.0,16.0,"Census Tract 203, Fayette County, West Virginia",019,54,020300
4627.0,4627.0,0.0,"Census Tract 204, Fayette County, West Virginia",019,54,020400
2210.0,2207.0,3.0,"Census Tract 205, Fayette County, West Virginia",019,54,020500
1903.0,1883.0,20.0,"Census Tract 206, Fayette County, West Virginia",019,54,020600
4205.0,4109.0,96.0,"Census Tract 207, Fayette County, West Virginia",019,54,020700
5423.0,5390.0,33.0,"Census Tract 208, Fayette County, West Virginia",019,54,020800
4357.0,4340.0,17.0,"Census Tract 209, Fayette County, West Virginia",019,54,020900
2533.0,2533.0,0.0,"Census Tract 210, Fayette County, West Virginia",019,54,021000
2981.0,2981.0,0.0,"Census Tract 211, Fayette County, West Virginia",019,54,021100
