B01003_001E,name,congressional district,state
695961.0,"Congressional District 1 (114th Congress), Alabama",01,01
684660.0,"Congressional District 2 (114th Congress), Alabama",02,01
697296.0,"Congressional District 3 (114th Congress), Alabama",03,01
682859.0,"Congressional District 4 (114th Congress), Alabama",04,01
700501.0,"Congressional District 5 (114th Congress), Alabama",05,01
692738.0,"Congressional District 6 (114th Congress), Alabama",06,01
676605.0,"Congressional District 7 (114th Congress), Alabama",07,01
733375.0,"Congressional District (at Large) (114th Congress), Alaska",00,02
727454.0,"Congressional District 1 (114th Congress), Arizona",01,04
719851.0,"Congressional District 2 (114th Congress), Arizona",02,04
732596.0,"Congressional District 3 (114th Congress), Arizona",03,04
730220.0,"Congressional District 4 (114th Congress), Arizona",04,04
761257.0,"Congressional District 5 (114th Congress), Arizona",05,04
739321.0,"Congressional District 6 (114th Congress), Arizona",06,04
744743.0,"Congressional District 7 (114th Congress), Arizona",07,04
744439.0,"Congressional District 8 (114th Congress), Arizona",08,04
742047.0,"Congressional District 9 (114th Congress), Arizona",09,04
726282.0,"Congressional District 1 (114th Congress), Arkansas",01,05
750711.0,"Congressional District 2 (114th Congress), Arkansas",02,05
761175.0,"Congressional District 3 (114th Congress), Arkansas",03,05
720040.0,"Congressional District 4 (114th Congress), Arkansas",04,05
704448.0,"Congressional District 1 (114th Congress), California",01,06
712526.0,"Congressional District 2 (114th Congress), California",02,06
716206.0,"Congressional District 3 (114th Congress), California",03,06
712747.0,"Congressional District 4 (114th Congress), California",04,06
720557.0,"Congressional District 5 (114th Congress), California",05,06
725594.0,"Congressional District 6 (114th Congress), California",06,06
729192.0,"Congressional District 7 (114th Congress), California",07,06
712224.0,"Congressional District 8 (114th Congress), California",08,06
730863.0,"Congressional District 9 (114th Congress), California",09,06
723880.0,"Congressional District 10 (114th Congress), California",10,06
732078.0,"Congressional District 11 (114th Congress), California",11,06
731379.0,"Congressional District 12 (114th Congress), California",12,06
733401.0,"Congressional District 13 (114th Congress), California",13,06
736622.0,"Congressional District 14 (114th Congress), California",14,06
741528.0,"Congressional District 15 (114th Congress), California",15,06
717984.0,"Congressional District 16 (114th Congress), California",16,06
740121.0,"Congressional District 17 (114th Congress), California",17,06
728724.0,"Congressional District 18 (114th Congress), California",18,06
738243.0,"Congressional District 19 (114th Congress), California",19,06
725254.0,"Congressional District 20 (114th Congress), California",20,06
711866.0,"Congressional District 21 (114th Congress), California",21,06
734495.0,"Congressional District 22 (114th Congress), California",22,06
723632.0,"Congressional District 23 (114th Congress), California",23,06
722051.0,"Congressional District 24 (114th Congress), California",24,06
718475.0,"Congressional District 25 (114th Congress), California",25,06
717882.0,"Congressional District 26 (114th Congress), California",26,06
716789.0,"Congressional District 27 (114th Congress), California",27,06
716256.0,"Congressional District 28 (114th Congress), California",28,06
714303.0,"Congressional District 29 (114th Congress), California",29,06
745240.0,"Congressional District 30 (114th Congress), California",30,06
729036.0,"Congressional District 31 (114th Congress), California",31,06
