B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,state,tract
4642,2279.0,174.0,225.0,202.0,73.0,27.0,34.0,30.0,43.0,89.0,63.0,43.0,180.0,141.0,244.0,179.0,66.0,62.0,108.0,67.0,72.0,76.0,25.0,56.0,2363.0,72.0,179.0,200.0,82.0,14.0,6.0,12.0,12.0,63.0,105.0,81.0,186.0,240.0,185.0,318.0,41.0,85.0,62.0,49.0,93.0,109.0,69.0,100.0,"Census Tract 301, Bristol County, Rhode Island",001,44,030100
3023,1479.0,63.0,58.0,109.0,98.0,42.0,9.0,42.0,26.0,95.0,20.0,68.0,76.0,201.0,110.0,121.0,69.0,48.0,42.0,36.0,19.0,31.0,30.0,66.0,1544.0,37.0,70.0,179.0,28.0,16.0,11.0,0.0,34.0,83.0,54.0,57.0,86.0,131.0,183.0,110.0,74.0,54.0,45.0,64.0,49.0,49.0,73.0,57.0,"Census Tract 302, Bristol County, Rhode Island",001,44,030200
4516,2193.0,69.0,199.0,208.0,119.0,30.0,10.0,21.0,34.0,37.0,80.0,68.0,211.0,218.0,208.0,171.0,82.0,61.0,28.0,10.0,106.0,106.0,51.0,66.0,2323.0,130.0,245.0,119.0,155.0,17.0,6.0,7.0,12.0,49.0,57.0,102.0,165.0,248.0,220.0,277.0,47.0,51.0,29.0,80.0,158.0,75.0,32.0,42.0,"Census Tract 303, Bristol County, Rhode Island",001,44,030300
4123,2022.0,98.0,178.0,233.0,144.0,34.0,22.0,11.0,62.0,43.0,72.0,74.0,101.0,181.0,114.0,247.0,67.0,75.0,56.0,26.0,52.0,52.0,54.0,26.0,2101.0,34.0,224.0,257.0,111.0,35.0,0.0,4.0,18.0,17.0,47.0,79.0,211.0,178.0,244.0,171.0,18.0,82.0,67.0,30.0,91.0,76.0,56.0,51.0,"Census Tract 304, Bristol County, Rhode Island",001,44,030400
3136,1471.0,17.0,116.0,89.0,107.0,1.0,0.0,21.0,45.0,170.0,189.0,122.0,67.0,55.0,178.0,66.0,16.0,29.0,17.0,59.0,55.0,9.0,23.0,20.0,1665.0,82.0,95.0,52.0,69.0,28.0,0.0,7.0,72.0,196.0,239.0,94.0,103.0,77.0,160.0,110.0,46.0,15.0,60.0,37.0,40.0,30.0,8.0,45.0,"Census Tract 305, Bristol County, Rhode Island",001,44,030500
3483,1689.0,111.0,130.0,115.0,62.0,12.0,0.0,13.0,25.0,147.0,56.0,160.0,119.0,59.0,163.0,99.0,40.0,48.0,93.0,84.0,60.0,31.0,20.0,42.0,1794.0,119.0,97.0,60.0,70.0,0.0,0.0,0.0,99.0,110.0,124.0,92.0,76.0,185.0,152.0,162.0,45.0,40.0,96.0,53.0,96.0,8.0,32.0,78.0,"Census Tract 306.01, Bristol County, Rhode Island",001,44,030601
3929,1831.0,47.0,95.0,31.0,13.0,32.0,65.0,34.0,118.0,170.0,170.0,98.0,25.0,98.0,117.0,190.0,58.0,58.0,82.0,47.0,143.0,41.0,35.0,64.0,2098.0,57.0,68.0,116.0,85.0,37.0,20.0,33.0,70.0,78.0,89.0,67.0,128.0,147.0,131.0,237.0,16.0,102.0,45.0,105.0,110.0,161.0,79.0,117.0,"Census Tract 306.02, Bristol County, Rhode Island",001,44,030602
3961,1644.0,21.0,41.0,98.0,40.0,41.0,0.0,27.0,110.0,131.0,105.0,124.0,97.0,134.0,145.0,249.0,55.0,72.0,35.0,38.0,36.0,15.0,19.0,11.0,2317.0,84.0,126.0,95.0,66.0,31.0,28.0,27.0,177.0,262.0,139.0,104.0,97.0,78.0,304.0,191.0,36.0,55.0,48.0,33.0,97.0,29.0,56.0,154.0,"Census Tract 307, Bristol County, Rhode Island",001,44,030700
5921,2976.0,59.0,115.0,96.0,104.0,707.0,291.0,187.0,236.0,151.0,86.0,92.0,65.0,111.0,137.0,119.0,37.0,46.0,92.0,63.0,58.0,42.0,53.0,29.0,2945.0,42.0,57.0,16.0,36.0,747.0,289.0,228.0,118.0,186.0,149.0,55.0,80.0,49.0,139.0,208.0,83.0,64.0,61.0,67.0,50.0,82.0,79.0,60.0,"Census Tract 308, Bristol County, Rhode Island",001,44,030800
5990,3075.0,92.0,215.0,145.0,139.0,12.0,33.0,62.0,68.0,162.0,69.0,215.0,201.0,283.0,238.0,272.0,137.0,59.0,47.0,118.0,106.0,152.0,201.0,49.0,2915.0,189.0,98.0,154.0,109.0,52.0,67.0,38.0,71.0,62.0,76.0,272.0,229.0,265.0,183.0,235.0,93.0,181.0,53.0,74.0,106.0,126.0,126.0,56.0,"Census Tract 309.01, Bristol County, Rhode Island",001,44,030901
6504,3087.0,214.0,158.0,78.0,92.0,81.0,31.0,26.0,70.0,166.0,160.0,179.0,186.0,152.0,199.0,335.0,51.0,211.0,98.0,85.0,153.0,127.0,171.0,64.0,3417.0,116.0,83.0,212.0,125.0,43.0,63.0,39.0,76.0,124.0,66.0,166.0,248.0,210.0,266.0,317.0,68.0,132.0,158.0,169.0,186.0,118.0,175.0,257.0,"Census Tract 309.02, Bristol County, Rhode Island",001,44,030902
6236,3002.0,254.0,123.0,198.0,77.0,61.0,14.0,14.0,54.0,223.0,201.0,281.0,211.0,190.0,236.0,186.0,120.0,115.0,50.0,99.0,76.0,122.0,51.0,46.0,3234.0,120.0,154.0,224.0,52.0,37.0,16.0,40.0,165.0,277.0,191.0,138.0,179.0,182.0,243.0,172.0,82.0,262.0,47.0,147.0,147.0,157.0,119.0,83.0,"Census Tract 201.01, Kent County, Rhode Island",003,44,020101
4954,2486.0,91.0,194.0,150.0,86.0,27.0,55.0,102.0,133.0,227.0,144.0,331.0,153.0,66.0,185.0,160.0,37.0,61.0,59.0,75.0,22.0,47.0,31.0,50.0,2468.0,47.0,67.0,45.0,24.0,21.0,33.0,113.0,146.0,119.0,167.0,149.0,236.0,199.0,131.0,195.0,99.0,136.0,76.0,90.0,120.0,81.0,35.0,139.0,"Census Tract 201.02, Kent County, Rhode Island",003,44,020102
4569,2257.0,199.0,115.0,73.0,21.0,60.0,36.0,28.0,44.0,244.0,280.0,121.0,56.0,71.0,251.0,127.0,85.0,109.0,66.0,52.0,13.0,63.0,44.0,99.0,2312.0,129.0,128.0,94.0,145.0,0.0,20.0,0.0,139.0,121.0,282.0,307.0,33.0,48.0,162.0,187.0,69.0,74.0,125.0,54.0,55.0,18.0,27.0,95.0,"Census Tract 202, Kent County, Rhode Island",003,44,020200
