B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
4190.0,1931.0,0.0,52.0,52.0,123.0,39.0,116.0,66.0,11.0,1148.0,37.0,236.0,32.0,10.0,9.0,0.0,0.0,2259.0,58.0,57.0,114.0,33.0,167.0,41.0,77.0,0.0,945.0,235.0,230.0,229.0,64.0,9.0,0.0,0.0,"Census Tract 9601, Acadia Parish, Louisiana",001,22,960100
3693.0,1889.0,17.0,0.0,54.0,26.0,39.0,44.0,136.0,0.0,807.0,180.0,147.0,208.0,186.0,35.0,10.0,0.0,1804.0,36.0,0.0,0.0,14.0,0.0,0.0,16.0,15.0,684.0,135.0,353.0,189.0,267.0,95.0,0.0,0.0,"Census Tract 9602, Acadia Parish, Louisiana",001,22,960200
2400.0,1113.0,10.0,0.0,20.0,62.0,0.0,48.0,53.0,36.0,638.0,53.0,130.0,0.0,27.0,36.0,0.0,0.0,1287.0,24.0,6.0,0.0,24.0,27.0,80.0,90.0,0.0,606.0,64.0,216.0,46.0,71.0,33.0,0.0,0.0,"Census Tract 9603, Acadia Parish, Louisiana",001,22,960300
4419.0,1965.0,14.0,2.0,4.0,78.0,47.0,32.0,159.0,24.0,948.0,127.0,128.0,109.0,253.0,38.0,2.0,0.0,2454.0,8.0,66.0,2.0,38.0,72.0,30.0,35.0,20.0,1057.0,111.0,390.0,258.0,332.0,32.0,3.0,0.0,"Census Tract 9604, Acadia Parish, Louisiana",001,22,960400
4434.0,2253.0,69.0,0.0,117.0,285.0,29.0,29.0,88.0,21.0,864.0,111.0,131.0,67.0,263.0,95.0,84.0,0.0,2181.0,45.0,40.0,15.0,65.0,60.0,79.0,95.0,0.0,829.0,33.0,316.0,272.0,217.0,66.0,0.0,49.0,"Census Tract 9605, Acadia Parish, Louisiana",001,22,960500
3667.0,1727.0,38.0,9.0,44.0,71.0,82.0,41.0,79.0,56.0,689.0,205.0,220.0,73.0,79.0,20.0,21.0,0.0,1940.0,35.0,0.0,41.0,158.0,90.0,34.0,38.0,8.0,821.0,207.0,273.0,38.0,161.0,36.0,0.0,0.0,"Census Tract 9606, Acadia Parish, Louisiana",001,22,960600
2625.0,1277.0,50.0,26.0,43.0,120.0,71.0,24.0,38.0,13.0,483.0,80.0,219.0,41.0,56.0,0.0,0.0,13.0,1348.0,14.0,0.0,0.0,50.0,51.0,73.0,19.0,73.0,531.0,100.0,184.0,90.0,98.0,65.0,0.0,0.0,"Census Tract 9607, Acadia Parish, Louisiana",001,22,960700
3171.0,1309.0,0.0,0.0,40.0,117.0,15.0,116.0,79.0,30.0,397.0,64.0,137.0,85.0,179.0,34.0,16.0,0.0,1862.0,54.0,5.0,102.0,190.0,22.0,170.0,26.0,15.0,612.0,66.0,183.0,110.0,262.0,21.0,24.0,0.0,"Census Tract 9608, Acadia Parish, Louisiana",001,22,960800
3192.0,1423.0,8.0,0.0,25.0,136.0,42.0,64.0,103.0,33.0,553.0,43.0,219.0,9.0,61.0,54.0,44.0,29.0,1769.0,26.0,48.0,36.0,98.0,84.0,27.0,151.0,42.0,498.0,91.0,273.0,184.0,162.0,37.0,0.0,12.0,"Census Tract 9609, Acadia Parish, Louisiana",001,22,960900
3390.0,1626.0,51.0,13.0,78.0,224.0,167.0,35.0,157.0,0.0,556.0,118.0,86.0,75.0,12.0,37.0,17.0,0.0,1764.0,28.0,19.0,145.0,200.0,126.0,87.0,80.0,0.0,492.0,102.0,191.0,159.0,40.0,95.0,0.0,0.0,"Census Tract 9610, Acadia Parish, Louisiana",001,22,961000
2413.0,1275.0,26.0,3.0,40.0,95.0,191.0,20.0,29.0,11.0,545.0,35.0,90.0,54.0,97.0,22.0,17.0,0.0,1138.0,26.0,2.0,9.0,64.0,33.0,84.0,21.0,5.0,448.0,41.0,186.0,98.0,98.0,17.0,6.0,0.0,"Census Tract 9611, Acadia Parish, Louisiana",001,22,961100
2475.0,1167.0,66.0,0.0,37.0,141.0,76.0,78.0,71.0,0.0,386.0,61.0,115.0,44.0,80.0,12.0,0.0,0.0,1308.0,28.0,90.0,0.0,76.0,28.0,31.0,84.0,10.0,636.0,30.0,123.0,36.0,121.0,15.0,0.0,0.0,"Census Tract 9612, Acadia Parish, Louisiana",001,22,961200
3234.0,1771.0,1.0,25.0,57.0,69.0,100.0,119.0,87.0,57.0,715.0,106.0,233.0,73.0,115.0,4.0,0.0,10.0,1463.0,1.0,23.0,3.0,44.0,87.0,82.0,42.0,18.0,635.0,112.0,150.0,53.0,194.0,19.0,0.0,0.0,"Census Tract 9501, Allen Parish, Louisiana",003,22,950100
4378.0,3313.0,117.0,20.0,10.0,46.0,157.0,118.0,148.0,41.0,1499.0,196.0,445.0,235.0,142.0,124.0,15.0,0.0,1065.0,7.0,0.0,0.0,47.0,15.0,17.0,9.0,0.0,553.0,37.0,237.0,41.0,81.0,15.0,6.0,0.0,"Census Tract 9502, Allen Parish, Louisiana",003,22,950200
1925.0,831.0,25.0,0.0,10.0,31.0,0.0,79.0,34.0,0.0,307.0,20.0,237.0,17.0,21.0,33.0,3.0,14.0,1094.0,58.0,9.0,11.0,29.0,30.0,57.0,25.0,39.0,416.0,58.0,110.0,88.0,114.0,0.0,12.0,38.0,"Census Tract 9503, Allen Parish, Louisiana",003,22,950300
2953.0,1413.0,28.0,11.0,9.0,4.0,20.0,60.0,93.0,0.0,761.0,120.0,207.0,17.0,48.0,35.0,0.0,0.0,1540.0,6.0,7.0,0.0,90.0,25.0,18.0,72.0,26.0,667.0,79.0,170.0,159.0,158.0,51.0,12.0,0.0,"Census Tract 9504, Allen Parish, Louisiana",003,22,950400
5437.0,3206.0,42.0,17.0,65.0,154.0,222.0,172.0,164.0,55.0,1277.0,201.0,390.0,104.0,178.0,98.0,67.0,0.0,2231.0,21.0,0.0,36.0,10.0,36.0,54.0,187.0,24.0,869.0,6.0,310.0,156.0,149.0,287.0,76.0,10.0,"Census Tract 9505, Allen Parish, Louisiana",003,22,950500
5116.0,2628.0,0.0,0.0,0.0,52.0,96.0,44.0,67.0,27.0,1043.0,89.0,402.0,163.0,433.0,186.0,14.0,12.0,2488.0,0.0,0.0,0.0,28.0,65.0,63.0,135.0,10.0,855.0,145.0,302.0,283.0,460.0,124.0,18.0,0.0,"Census Tract 301.01, Ascension Parish, Louisiana",005,22,030101
3423.0,1642.0,13.0,18.0,0.0,118.0,12.0,18.0,91.0,55.0,694.0,116.0,98.0,135.0,230.0,44.0,0.0,0.0,1781.0,0.0,8.0,9.0,39.0,8.0,24.0,7.0,15.0,828.0,87.0,403.0,79.0,218.0,56.0,0.0,0.0,"Census Tract 301.02, Ascension Parish, Louisiana",005,22,030102
