B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2905.0,1355.0,19.0,0.0,27.0,0.0,9.0,35.0,119.0,7.0,296.0,91.0,261.0,83.0,264.0,70.0,47.0,27.0,1550.0,9.0,0.0,16.0,50.0,20.0,42.0,13.0,0.0,355.0,127.0,328.0,161.0,304.0,88.0,17.0,20.0,"Census Tract 201, Alamance County, North Carolina",001,37,020100
2582.0,1130.0,39.0,0.0,0.0,94.0,140.0,105.0,12.0,40.0,371.0,63.0,84.0,82.0,71.0,13.0,10.0,6.0,1452.0,5.0,0.0,43.0,51.0,19.0,141.0,68.0,34.0,601.0,79.0,231.0,67.0,81.0,25.0,7.0,0.0,"Census Tract 202, Alamance County, North Carolina",001,37,020200
4883.0,2106.0,209.0,5.0,90.0,72.0,130.0,51.0,72.0,36.0,731.0,135.0,308.0,121.0,78.0,33.0,10.0,25.0,2777.0,86.0,207.0,5.0,92.0,76.0,200.0,42.0,34.0,888.0,207.0,519.0,115.0,253.0,53.0,0.0,0.0,"Census Tract 203, Alamance County, North Carolina",001,37,020300
4193.0,1765.0,0.0,9.0,12.0,34.0,72.0,102.0,48.0,60.0,697.0,75.0,329.0,270.0,51.0,6.0,0.0,0.0,2428.0,16.0,13.0,90.0,67.0,60.0,149.0,109.0,17.0,767.0,278.0,455.0,239.0,136.0,32.0,0.0,0.0,"Census Tract 204, Alamance County, North Carolina",001,37,020400
2312.0,1036.0,0.0,5.0,84.0,45.0,80.0,30.0,1.0,9.0,177.0,98.0,186.0,38.0,207.0,66.0,10.0,0.0,1276.0,0.0,4.0,0.0,7.0,16.0,7.0,74.0,30.0,439.0,82.0,165.0,114.0,220.0,90.0,28.0,0.0,"Census Tract 205.01, Alamance County, North Carolina",001,37,020501
2311.0,1104.0,28.0,39.0,42.0,36.0,29.0,102.0,28.0,84.0,317.0,79.0,159.0,41.0,84.0,24.0,0.0,12.0,1207.0,6.0,10.0,39.0,142.0,33.0,10.0,50.0,8.0,327.0,89.0,146.0,199.0,111.0,37.0,0.0,0.0,"Census Tract 205.02, Alamance County, North Carolina",001,37,020502
2435.0,1218.0,9.0,0.0,0.0,48.0,10.0,0.0,9.0,12.0,196.0,56.0,155.0,77.0,368.0,129.0,91.0,58.0,1217.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,177.0,65.0,162.0,123.0,428.0,199.0,8.0,28.0,"Census Tract 206.01, Alamance County, North Carolina",001,37,020601
2087.0,927.0,0.0,0.0,8.0,8.0,8.0,28.0,4.0,0.0,115.0,65.0,258.0,78.0,245.0,63.0,34.0,13.0,1160.0,8.0,4.0,0.0,0.0,7.0,9.0,12.0,7.0,203.0,93.0,232.0,47.0,279.0,227.0,32.0,0.0,"Census Tract 206.02, Alamance County, North Carolina",001,37,020602
3362.0,1460.0,16.0,0.0,0.0,54.0,49.0,0.0,56.0,1.0,409.0,108.0,203.0,131.0,293.0,119.0,21.0,0.0,1902.0,40.0,0.0,0.0,52.0,37.0,18.0,88.0,13.0,459.0,125.0,392.0,117.0,423.0,98.0,25.0,15.0,"Census Tract 207.01, Alamance County, North Carolina",001,37,020701
2995.0,1390.0,12.0,28.0,0.0,19.0,0.0,120.0,0.0,90.0,369.0,64.0,270.0,133.0,269.0,0.0,16.0,0.0,1605.0,52.0,0.0,0.0,0.0,0.0,14.0,13.0,30.0,381.0,152.0,498.0,210.0,195.0,49.0,0.0,11.0,"Census Tract 207.02, Alamance County, North Carolina",001,37,020702
1073.0,458.0,7.0,17.0,11.0,0.0,29.0,12.0,16.0,25.0,148.0,30.0,42.0,34.0,56.0,31.0,0.0,0.0,615.0,0.0,0.0,15.0,0.0,35.0,22.0,15.0,28.0,217.0,25.0,80.0,84.0,66.0,28.0,0.0,0.0,"Census Tract 208.01, Alamance County, North Carolina",001,37,020801
3722.0,1574.0,45.0,84.0,18.0,87.0,66.0,111.0,128.0,24.0,552.0,70.0,285.0,51.0,51.0,0.0,2.0,0.0,2148.0,38.0,0.0,56.0,53.0,139.0,64.0,24.0,103.0,691.0,226.0,440.0,130.0,153.0,19.0,0.0,12.0,"Census Tract 208.02, Alamance County, North Carolina",001,37,020802
2564.0,1151.0,0.0,0.0,81.0,19.0,17.0,22.0,28.0,0.0,317.0,50.0,249.0,127.0,166.0,11.0,33.0,31.0,1413.0,1.0,0.0,27.0,19.0,58.0,46.0,9.0,5.0,342.0,123.0,334.0,148.0,216.0,70.0,0.0,15.0,"Census Tract 209.01, Alamance County, North Carolina",001,37,020901
2684.0,1209.0,0.0,0.0,0.0,43.0,9.0,41.0,0.0,7.0,381.0,55.0,198.0,121.0,263.0,81.0,10.0,0.0,1475.0,0.0,0.0,26.0,90.0,43.0,1.0,17.0,10.0,473.0,71.0,238.0,207.0,238.0,34.0,27.0,0.0,"Census Tract 209.02, Alamance County, North Carolina",001,37,020902
2331.0,1121.0,37.0,0.0,81.0,74.0,33.0,26.0,27.0,56.0,384.0,73.0,156.0,72.0,64.0,38.0,0.0,0.0,1210.0,8.0,7.0,48.0,19.0,39.0,110.0,88.0,31.0,347.0,146.0,206.0,88.0,52.0,18.0,0.0,3.0,"Census Tract 210, Alamance County, North Carolina",001,37,021000
1753.0,871.0,2.0,0.0,7.0,31.0,27.0,0.0,22.0,18.0,306.0,105.0,174.0,45.0,77.0,28.0,9.0,20.0,882.0,8.0,0.0,0.0,11.0,11.0,0.0,25.0,0.0,229.0,56.0,140.0,137.0,212.0,39.0,8.0,6.0,"Census Tract 211.01, Alamance County, North Carolina",001,37,021101
2433.0,1119.0,0.0,8.0,0.0,9.0,25.0,75.0,27.0,17.0,418.0,18.0,192.0,115.0,151.0,12.0,32.0,20.0,1314.0,0.0,23.0,0.0,40.0,12.0,39.0,19.0,76.0,407.0,62.0,226.0,133.0,219.0,58.0,0.0,0.0,"Census Tract 211.02, Alamance County, North Carolina",001,37,021102
