B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2283.0,1095.0,13.0,20.0,40.0,48.0,39.0,57.0,36.0,19.0,455.0,43.0,114.0,94.0,97.0,9.0,4.0,7.0,1188.0,15.0,0.0,9.0,68.0,36.0,60.0,34.0,60.0,336.0,92.0,160.0,170.0,94.0,48.0,4.0,2.0,"Census Tract 9501, Abbeville County, South Carolina",001,45,950100
2368.0,1073.0,47.0,8.0,22.0,109.0,28.0,51.0,36.0,22.0,274.0,41.0,134.0,59.0,157.0,43.0,16.0,26.0,1295.0,16.0,0.0,0.0,30.0,29.0,26.0,56.0,35.0,426.0,60.0,204.0,167.0,144.0,74.0,6.0,22.0,"Census Tract 9502, Abbeville County, South Carolina",001,45,950200
2553.0,1239.0,19.0,0.0,27.0,19.0,13.0,131.0,101.0,93.0,431.0,36.0,104.0,109.0,103.0,53.0,0.0,0.0,1314.0,22.0,12.0,21.0,90.0,28.0,40.0,8.0,22.0,456.0,48.0,195.0,151.0,112.0,86.0,0.0,23.0,"Census Tract 9503, Abbeville County, South Carolina",001,45,950300
3897.0,1769.0,15.0,0.0,17.0,60.0,89.0,24.0,32.0,36.0,580.0,163.0,287.0,114.0,287.0,20.0,22.0,23.0,2128.0,38.0,14.0,0.0,18.0,56.0,97.0,108.0,36.0,690.0,105.0,317.0,176.0,286.0,130.0,57.0,0.0,"Census Tract 9504, Abbeville County, South Carolina",001,45,950400
3882.0,1955.0,75.0,0.0,5.0,5.0,32.0,119.0,158.0,68.0,974.0,109.0,177.0,166.0,48.0,19.0,0.0,0.0,1927.0,2.0,0.0,1.0,87.0,37.0,59.0,70.0,87.0,656.0,125.0,405.0,182.0,161.0,55.0,0.0,0.0,"Census Tract 9505, Abbeville County, South Carolina",001,45,950500
2094.0,963.0,11.0,18.0,44.0,45.0,20.0,48.0,30.0,14.0,363.0,68.0,205.0,46.0,49.0,2.0,0.0,0.0,1131.0,10.0,7.0,33.0,91.0,43.0,68.0,66.0,5.0,362.0,49.0,186.0,153.0,43.0,15.0,0.0,0.0,"Census Tract 9506, Abbeville County, South Carolina",001,45,950600
3331.0,1566.0,0.0,1.0,32.0,71.0,12.0,72.0,12.0,29.0,593.0,88.0,294.0,188.0,91.0,74.0,0.0,9.0,1765.0,12.0,20.0,0.0,42.0,64.0,56.0,12.0,74.0,665.0,95.0,323.0,151.0,191.0,50.0,10.0,0.0,"Census Tract 201, Aiken County, South Carolina",003,45,020100
3958.0,1851.0,0.0,0.0,45.0,50.0,89.0,45.0,36.0,131.0,641.0,225.0,195.0,121.0,197.0,76.0,0.0,0.0,2107.0,51.0,0.0,0.0,16.0,103.0,38.0,49.0,10.0,892.0,190.0,202.0,209.0,248.0,43.0,20.0,36.0,"Census Tract 202, Aiken County, South Carolina",003,45,020200
1668.0,818.0,24.0,0.0,74.0,22.0,22.0,33.0,20.0,23.0,261.0,76.0,114.0,45.0,95.0,5.0,4.0,0.0,850.0,33.0,0.0,5.0,25.0,6.0,40.0,109.0,35.0,281.0,49.0,97.0,98.0,46.0,20.0,6.0,0.0,"Census Tract 203.01, Aiken County, South Carolina",003,45,020301
3981.0,1790.0,12.0,0.0,0.0,17.0,61.0,35.0,24.0,30.0,930.0,117.0,243.0,53.0,150.0,82.0,36.0,0.0,2191.0,56.0,0.0,0.0,16.0,203.0,74.0,123.0,0.0,660.0,145.0,226.0,134.0,394.0,144.0,0.0,16.0,"Census Tract 203.02, Aiken County, South Carolina",003,45,020302
