B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
4224.0,3887.0,337.0,"Census Tract 201, Alamance County, North Carolina",001,37,020100
4021.0,3316.0,705.0,"Census Tract 202, Alamance County, North Carolina",001,37,020200
7823.0,6341.0,1482.0,"Census Tract 203, Alamance County, North Carolina",001,37,020300
6861.0,6197.0,664.0,"Census Tract 204, Alamance County, North Carolina",001,37,020400
3515.0,3150.0,365.0,"Census Tract 205.01, Alamance County, North Carolina",001,37,020501
3816.0,3305.0,511.0,"Census Tract 205.02, Alamance County, North Carolina",001,37,020502
3070.0,2974.0,96.0,"Census Tract 206.01, Alamance County, North Carolina",001,37,020601
2596.0,2468.0,128.0,"Census Tract 206.02, Alamance County, North Carolina",001,37,020602
4295.0,4040.0,255.0,"Census Tract 207.01, Alamance County, North Carolina",001,37,020701
4219.0,3793.0,426.0,"Census Tract 207.02, Alamance County, North Carolina",001,37,020702
1556.0,1399.0,157.0,"Census Tract 208.01, Alamance County, North Carolina",001,37,020801
6107.0,5356.0,751.0,"Census Tract 208.02, Alamance County, North Carolina",001,37,020802
4059.0,3350.0,709.0,"Census Tract 209.01, Alamance County, North Carolina",001,37,020901
3659.0,3278.0,381.0,"Census Tract 209.02, Alamance County, North Carolina",001,37,020902
3612.0,3224.0,388.0,"Census Tract 210, Alamance County, North Carolina",001,37,021000
2545.0,2406.0,139.0,"Census Tract 211.01, Alamance County, North Carolina",001,37,021101
3400.0,3210.0,190.0,"Census Tract 211.02, Alamance County, North Carolina",001,37,021102
5195.0,4557.0,638.0,"Census Tract 212.01, Alamance County, North Carolina",001,37,021201
4588.0,4161.0,427.0,"Census Tract 212.04, Alamance County, North Carolina",001,37,021204
5579.0,5301.0,278.0,"Census Tract 212.05, Alamance County, North Carolina",001,37,021205
5424.0,5150.0,274.0,"Census Tract 212.06, Alamance County, North Carolina",001,37,021206
3534.0,3469.0,65.0,"Census Tract 212.07, Alamance County, North Carolina",001,37,021207
6002.0,5747.0,255.0,"Census Tract 213, Alamance County, North Carolina",001,37,021300
2730.0,2670.0,60.0,"Census Tract 214, Alamance County, North Carolina",001,37,021400
4770.0,4549.0,221.0,"Census Tract 215, Alamance County, North Carolina",001,37,021500
7487.0,7151.0,336.0,"Census Tract 216, Alamance County, North Carolina",001,37,021600
3206.0,3027.0,179.0,"Census Tract 217.01, Alamance County, North Carolina",001,37,021701
5369.0,5122.0,247.0,"Census Tract 217.02, Alamance County, North Carolina",001,37,021702
5712.0,4609.0,1103.0,"Census Tract 217.03, Alamance County, North Carolina",001,37,021703
4380.0,4358.0,22.0,"Census Tract 218.01, Alamance County, North Carolina",001,37,021801
3665.0,3657.0,8.0,"Census Tract 218.02, Alamance County, North Carolina",001,37,021802
2863.0,2757.0,106.0,"Census Tract 218.03, Alamance County, North Carolina",001,37,021803
4196.0,4089.0,107.0,"Census Tract 219.01, Alamance County, North Carolina",001,37,021901
4412.0,4167.0,245.0,"Census Tract 219.02, Alamance County, North Carolina",001,37,021902
3594.0,3356.0,238.0,"Census Tract 220.01, Alamance County, North Carolina",001,37,022001
4288.0,4055.0,233.0,"Census Tract 220.02, Alamance County, North Carolina",001,37,022002
3297.0,3291.0,6.0,"Census Tract 401, Alexander County, North Carolina",003,37,040100
4009.0,3996.0,13.0,"Census Tract 402, Alexander County, North Carolina",003,37,040200
3130.0,3113.0,17.0,"Census Tract 403, Alexander County, North Carolina",003,37,040300
6952.0,6808.0,144.0,"Census Tract 404, Alexander County, North Carolina",003,37,040400
6879.0,6356.0,523.0,"Census Tract 405, Alexander County, North Carolina",003,37,040500
6489.0,6277.0,212.0,"Census Tract 406, Alexander County, North Carolina",003,37,040600
6455.0,6369.0,86.0,"Census Tract 407, Alexander County, North Carolina",003,37,040700
4156.0,4001.0,155.0,"Census Tract 9501, Alleghany County, North Carolina",005,37,950100
3802.0,3437.0,365.0,"Census Tract 9502, Alleghany County, North Carolina",005,37,950200
2910.0,2836.0,74.0,"Census Tract 9503, Alleghany County, North Carolina",005,37,950300
2960.0,2960.0,0.0,"Census Tract 9201, Anson County, North Carolina",007,37,920100
1735.0,1690.0,45.0,"Census Tract 9202, Anson County, North Carolina",007,37,920200
7830.0,7639.0,191.0,"Census Tract 9203, Anson County, North Carolina",007,37,920300
3019.0,2901.0,118.0,"Census Tract 9204, Anson County, North Carolina",007,37,920400
5772.0,5553.0,219.0,"Census Tract 9205, Anson County, North Carolina",007,37,920500
4567.0,4271.0,296.0,"Census Tract 9206, Anson County, North Carolina",007,37,920600
