B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,state,tract
1348.0,81.0,18.0,37.0,21.0,38.0,43.0,20.0,33.0,32.0,27.0,83.0,48.0,73.0,109.0,131.0,554.0,"Census Tract 101.01, Fairfield County, Connecticut",001,09,010101
1293.0,40.0,44.0,20.0,39.0,0.0,9.0,0.0,8.0,9.0,19.0,41.0,20.0,72.0,57.0,72.0,843.0,"Census Tract 101.02, Fairfield County, Connecticut",001,09,010102
991.0,27.0,37.0,14.0,0.0,6.0,7.0,7.0,0.0,0.0,50.0,53.0,6.0,60.0,71.0,128.0,525.0,"Census Tract 102.01, Fairfield County, Connecticut",001,09,010201
1856.0,8.0,6.0,17.0,41.0,9.0,22.0,14.0,97.0,24.0,56.0,111.0,179.0,131.0,114.0,187.0,840.0,"Census Tract 102.02, Fairfield County, Connecticut",001,09,010202
1435.0,27.0,21.0,18.0,8.0,17.0,17.0,26.0,43.0,25.0,62.0,74.0,100.0,77.0,52.0,126.0,742.0,"Census Tract 103, Fairfield County, Connecticut",001,09,010300
2031.0,31.0,29.0,69.0,0.0,19.0,78.0,59.0,77.0,12.0,54.0,124.0,346.0,298.0,157.0,234.0,444.0,"Census Tract 104, Fairfield County, Connecticut",001,09,010400
2420.0,140.0,28.0,181.0,124.0,58.0,149.0,109.0,122.0,163.0,100.0,147.0,237.0,264.0,85.0,232.0,281.0,"Census Tract 105, Fairfield County, Connecticut",001,09,010500
1014.0,65.0,32.0,33.0,29.0,39.0,26.0,18.0,44.0,16.0,74.0,54.0,94.0,91.0,41.0,137.0,221.0,"Census Tract 106, Fairfield County, Connecticut",001,09,010600
1696.0,125.0,90.0,117.0,117.0,85.0,15.0,56.0,46.0,33.0,48.0,152.0,216.0,76.0,68.0,108.0,344.0,"Census Tract 107, Fairfield County, Connecticut",001,09,010700
1257.0,8.0,28.0,16.0,37.0,40.0,18.0,10.0,22.0,26.0,109.0,136.0,87.0,56.0,135.0,102.0,427.0,"Census Tract 108, Fairfield County, Connecticut",001,09,010800
1821.0,70.0,37.0,31.0,29.0,9.0,37.0,36.0,31.0,35.0,107.0,130.0,155.0,142.0,185.0,148.0,639.0,"Census Tract 109, Fairfield County, Connecticut",001,09,010900
1700.0,59.0,33.0,14.0,8.0,16.0,6.0,21.0,30.0,26.0,74.0,32.0,78.0,90.0,36.0,187.0,990.0,"Census Tract 110, Fairfield County, Connecticut",001,09,011000
1395.0,10.0,26.0,15.0,47.0,18.0,4.0,8.0,7.0,10.0,7.0,37.0,34.0,112.0,60.0,85.0,915.0,"Census Tract 111, Fairfield County, Connecticut",001,09,011100
608.0,40.0,28.0,0.0,0.0,15.0,0.0,11.0,28.0,11.0,9.0,4.0,25.0,59.0,39.0,21.0,318.0,"Census Tract 112, Fairfield County, Connecticut",001,09,011200
1248.0,27.0,39.0,34.0,47.0,19.0,98.0,42.0,48.0,67.0,56.0,76.0,169.0,186.0,61.0,74.0,205.0,"Census Tract 113, Fairfield County, Connecticut",001,09,011300
2276.0,326.0,309.0,123.0,97.0,0.0,31.0,84.0,104.0,30.0,119.0,243.0,187.0,61.0,85.0,162.0,315.0,"Census Tract 201, Fairfield County, Connecticut",001,09,020100
1203.0,49.0,15.0,0.0,8.0,0.0,15.0,42.0,8.0,17.0,24.0,47.0,81.0,96.0,61.0,95.0,645.0,"Census Tract 202, Fairfield County, Connecticut",001,09,020200
