B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,state,tract
782.0,47.0,35.0,57.0,53.0,31.0,61.0,58.0,17.0,45.0,92.0,88.0,88.0,63.0,12.0,26.0,9.0,"Census Tract 9526, Allen County, Kansas",001,20,952600
846.0,49.0,55.0,49.0,47.0,91.0,72.0,61.0,76.0,45.0,84.0,61.0,107.0,27.0,7.0,6.0,9.0,"Census Tract 9527, Allen County, Kansas",001,20,952700
1517.0,190.0,65.0,64.0,124.0,132.0,48.0,88.0,141.0,62.0,127.0,170.0,177.0,54.0,21.0,27.0,27.0,"Census Tract 9528, Allen County, Kansas",001,20,952800
1083.0,159.0,86.0,62.0,75.0,85.0,50.0,76.0,61.0,41.0,48.0,153.0,91.0,25.0,39.0,32.0,0.0,"Census Tract 9529, Allen County, Kansas",001,20,952900
1075.0,46.0,77.0,53.0,104.0,95.0,65.0,85.0,32.0,52.0,56.0,157.0,153.0,85.0,3.0,0.0,12.0,"Census Tract 9530, Allen County, Kansas",001,20,953000
2141.0,163.0,72.0,257.0,221.0,139.0,152.0,90.0,127.0,130.0,85.0,267.0,248.0,90.0,33.0,67.0,0.0,"Census Tract 9536, Anderson County, Kansas",003,20,953600
1073.0,60.0,65.0,33.0,78.0,62.0,63.0,55.0,42.0,82.0,104.0,120.0,142.0,134.0,2.0,20.0,11.0,"Census Tract 9537, Anderson County, Kansas",003,20,953700
1754.0,37.0,116.0,84.0,141.0,92.0,98.0,64.0,70.0,89.0,164.0,292.0,224.0,141.0,87.0,41.0,14.0,"Census Tract 816, Atchison County, Kansas",005,20,081600
1954.0,124.0,98.0,215.0,121.0,148.0,119.0,24.0,157.0,110.0,216.0,144.0,148.0,180.0,33.0,37.0,80.0,"Census Tract 817, Atchison County, Kansas",005,20,081700
1035.0,74.0,64.0,103.0,91.0,47.0,21.0,28.0,64.0,32.0,164.0,102.0,98.0,84.0,36.0,27.0,0.0,"Census Tract 818, Atchison County, Kansas",005,20,081800
1314.0,172.0,139.0,153.0,49.0,65.0,39.0,73.0,45.0,77.0,186.0,73.0,134.0,64.0,26.0,19.0,0.0,"Census Tract 819, Atchison County, Kansas",005,20,081900
1277.0,91.0,126.0,86.0,56.0,51.0,38.0,69.0,70.0,67.0,124.0,136.0,170.0,80.0,43.0,34.0,36.0,"Census Tract 9681, Barber County, Kansas",007,20,968100
683.0,26.0,59.0,33.0,47.0,36.0,41.0,49.0,11.0,36.0,78.0,74.0,66.0,43.0,34.0,30.0,20.0,"Census Tract 9682, Barber County, Kansas",007,20,968200
1672.0,90.0,80.0,68.0,81.0,86.0,102.0,60.0,129.0,62.0,123.0,247.0,212.0,157.0,44.0,62.0,69.0,"Census Tract 9711, Barton County, Kansas",009,20,971100
739.0,44.0,28.0,30.0,17.0,45.0,70.0,53.0,38.0,17.0,91.0,68.0,106.0,78.0,28.0,19.0,7.0,"Census Tract 9712, Barton County, Kansas",009,20,971200
1128.0,108.0,48.0,34.0,98.0,80.0,39.0,75.0,50.0,72.0,108.0,160.0,137.0,70.0,40.0,6.0,3.0,"Census Tract 9713, Barton County, Kansas",009,20,971300
1146.0,44.0,47.0,47.0,120.0,185.0,37.0,110.0,89.0,99.0,69.0,102.0,97.0,66.0,12.0,0.0,22.0,"Census Tract 9714, Barton County, Kansas",009,20,971400
1646.0,102.0,184.0,88.0,80.0,99.0,122.0,28.0,151.0,72.0,134.0,194.0,138.0,115.0,64.0,28.0,47.0,"Census Tract 9715, Barton County, Kansas",009,20,971500
1670.0,117.0,70.0,79.0,77.0,117.0,122.0,173.0,72.0,14.0,70.0,202.0,316.0,121.0,42.0,45.0,33.0,"Census Tract 9716, Barton County, Kansas",009,20,971600
1095.0,106.0,88.0,163.0,40.0,21.0,71.0,38.0,109.0,12.0,123.0,163.0,74.0,34.0,45.0,8.0,0.0,"Census Tract 9717, Barton County, Kansas",009,20,971700
2159.0,137.0,134.0,194.0,267.0,74.0,107.0,87.0,172.0,50.0,156.0,247.0,262.0,140.0,69.0,27.0,36.0,"Census Tract 9718, Barton County, Kansas",009,20,971800
979.0,53.0,65.0,61.0,24.0,74.0,27.0,66.0,61.0,39.0,126.0,113.0,157.0,48.0,38.0,11.0,16.0,"Census Tract 9556, Bourbon County, Kansas",011,20,955600
753.0,27.0,46.0,49.0,52.0,39.0,21.0,23.0,37.0,30.0,71.0,93.0,64.0,111.0,48.0,35.0,7.0,"Census Tract 9557, Bourbon County, Kansas",011,20,955700
1377.0,98.0,81.0,38.0,145.0,83.0,73.0,53.0,84.0,149.0,104.0,71.0,161.0,85.0,20.0,76.0,56.0,"Census Tract 9558, Bourbon County, Kansas",011,20,955800
1358.0,175.0,197.0,59.0,149.0,89.0,102.0,80.0,28.0,13.0,55.0,138.0,206.0,40.0,15.0,0.0,12.0,"Census Tract 9559, Bourbon County, Kansas",011,20,955900
1161.0,94.0,113.0,153.0,104.0,32.0,118.0,47.0,58.0,74.0,100.0,125.0,82.0,41.0,0.0,20.0,0.0,"Census Tract 9560, Bourbon County, Kansas",011,20,956000
1174.0,59.0,50.0,80.0,68.0,47.0,115.0,47.0,71.0,38.0,162.0,158.0,120.0,71.0,42.0,14.0,32.0,"Census Tract 4806, Brown County, Kansas",013,20,480600
1503.0,107.0,117.0,91.0,81.0,84.0,195.0,38.0,92.0,89.0,228.0,74.0,152.0,66.0,50.0,8.0,31.0,"Census Tract 4807, Brown County, Kansas",013,20,480700
1348.0,85.0,80.0,109.0,95.0,78.0,67.0,101.0,71.0,70.0,130.0,142.0,165.0,72.0,54.0,12.0,17.0,"Census Tract 4808, Brown County, Kansas",013,20,480800
1915.0,134.0,56.0,57.0,105.0,92.0,83.0,89.0,57.0,83.0,201.0,289.0,295.0,202.0,111.0,25.0,36.0,"Census Tract 201, Butler County, Kansas",015,20,020100
2501.0,45.0,106.0,147.0,80.0,57.0,168.0,121.0,57.0,119.0,257.0,366.0,444.0,252.0,127.0,100.0,55.0,"Census Tract 202.01, Butler County, Kansas",015,20,020201
2950.0,88.0,18.0,69.0,45.0,94.0,121.0,125.0,112.0,103.0,270.0,261.0,606.0,324.0,334.0,268.0,112.0,"Census Tract 202.02, Butler County, Kansas",015,20,020202
2195.0,56.0,0.0,15.0,105.0,82.0,61.0,82.0,66.0,187.0,79.0,182.0,435.0,291.0,141.0,228.0,185.0,"Census Tract 202.03, Butler County, Kansas",015,20,020203
1510.0,72.0,105.0,76.0,77.0,49.0,114.0,107.0,44.0,42.0,132.0,145.0,182.0,166.0,56.0,57.0,86.0,"Census Tract 203, Butler County, Kansas",015,20,020300
1208.0,149.0,139.0,111.0,109.0,126.0,15.0,69.0,133.0,32.0,103.0,119.0,54.0,29.0,9.0,11.0,0.0,"Census Tract 204, Butler County, Kansas",015,20,020400
2265.0,141.0,116.0,236.0,160.0,195.0,98.0,68.0,108.0,76.0,110.0,349.0,371.0,72.0,75.0,90.0,0.0,"Census Tract 205, Butler County, Kansas",015,20,020500
2605.0,124.0,132.0,47.0,133.0,73.0,82.0,212.0,111.0,131.0,256.0,247.0,333.0,234.0,164.0,194.0,132.0,"Census Tract 206, Butler County, Kansas",015,20,020600
1602.0,83.0,104.0,59.0,105.0,94.0,137.0,88.0,92.0,63.0,167.0,144.0,235.0,91.0,100.0,30.0,10.0,"Census Tract 207, Butler County, Kansas",015,20,020700
1179.0,98.0,125.0,42.0,139.0,87.0,135.0,60.0,61.0,47.0,132.0,79.0,76.0,12.0,25.0,61.0,0.0,"Census Tract 208, Butler County, Kansas",015,20,020800
1611.0,44.0,11.0,48.0,49.0,76.0,132.0,69.0,40.0,66.0,133.0,219.0,174.0,194.0,97.0,107.0,152.0,"Census Tract 209.01, Butler County, Kansas",015,20,020901
1361.0,11.0,8.0,26.0,78.0,42.0,39.0,48.0,36.0,59.0,209.0,210.0,252.0,220.0,76.0,33.0,14.0,"Census Tract 209.02, Butler County, Kansas",015,20,020902
1376.0,34.0,41.0,62.0,61.0,39.0,42.0,77.0,50.0,72.0,120.0,215.0,254.0,125.0,124.0,34.0,26.0,"Census Tract 209.03, Butler County, Kansas",015,20,020903
1084.0,62.0,88.0,68.0,70.0,99.0,58.0,63.0,71.0,21.0,74.0,111.0,148.0,66.0,33.0,38.0,14.0,"Census Tract 9606, Chase County, Kansas",017,20,960600
1472.0,114.0,88.0,126.0,147.0,97.0,109.0,89.0,61.0,66.0,113.0,156.0,127.0,90.0,48.0,16.0,25.0,"Census Tract 9646, Chautauqua County, Kansas",019,20,964600
1102.0,115.0,68.0,45.0,50.0,113.0,67.0,32.0,98.0,65.0,113.0,111.0,60.0,81.0,58.0,26.0,0.0,"Census Tract 9581, Cherokee County, Kansas",021,20,958100
838.0,68.0,65.0,36.0,28.0,104.0,78.0,38.0,36.0,34.0,70.0,69.0,136.0,53.0,8.0,6.0,9.0,"Census Tract 9582, Cherokee County, Kansas",021,20,958200
1683.0,92.0,110.0,135.0,99.0,119.0,73.0,77.0,118.0,91.0,155.0,261.0,204.0,81.0,42.0,15.0,11.0,"Census Tract 9583, Cherokee County, Kansas",021,20,958300
1329.0,47.0,30.0,76.0,129.0,245.0,119.0,55.0,63.0,27.0,97.0,136.0,130.0,77.0,45.0,21.0,32.0,"Census Tract 9584, Cherokee County, Kansas",021,20,958400
1354.0,106.0,104.0,189.0,62.0,72.0,95.0,54.0,125.0,105.0,33.0,105.0,171.0,133.0,0.0,0.0,0.0,"Census Tract 9585, Cherokee County, Kansas",021,20,958500
1555.0,111.0,121.0,102.0,146.0,110.0,119.0,44.0,76.0,50.0,175.0,189.0,175.0,36.0,65.0,7.0,29.0,"Census Tract 9586, Cherokee County, Kansas",021,20,958600
1252.0,67.0,77.0,55.0,85.0,97.0,81.0,87.0,66.0,58.0,119.0,118.0,135.0,123.0,21.0,53.0,10.0,"Census Tract 9502, Cheyenne County, Kansas",023,20,950200
904.0,70.0,74.0,26.0,61.0,64.0,56.0,68.0,50.0,50.0,75.0,95.0,105.0,46.0,27.0,20.0,17.0,"Census Tract 9671, Clark County, Kansas",025,20,967100
1572.0,45.0,67.0,69.0,48.0,100.0,47.0,54.0,70.0,110.0,170.0,203.0,231.0,138.0,112.0,22.0,86.0,"Census Tract 4581, Clay County, Kansas",027,20,458100
1783.0,72.0,205.0,66.0,50.0,84.0,223.0,117.0,66.0,20.0,314.0,130.0,170.0,86.0,85.0,50.0,45.0,"Census Tract 4582, Clay County, Kansas",027,20,458200
998.0,49.0,68.0,51.0,74.0,40.0,93.0,71.0,51.0,42.0,101.0,141.0,87.0,80.0,34.0,2.0,14.0,"Census Tract 9771, Cloud County, Kansas",029,20,977100
1003.0,106.0,89.0,87.0,32.0,67.0,93.0,79.0,74.0,41.0,162.0,47.0,71.0,31.0,14.0,5.0,5.0,"Census Tract 9772, Cloud County, Kansas",029,20,977200
1320.0,70.0,147.0,90.0,90.0,101.0,59.0,84.0,103.0,73.0,111.0,126.0,98.0,103.0,35.0,22.0,8.0,"Census Tract 9773, Cloud County, Kansas",029,20,977300
583.0,20.0,23.0,58.0,36.0,27.0,40.0,36.0,36.0,28.0,38.0,91.0,73.0,19.0,26.0,16.0,16.0,"Census Tract 9774, Cloud County, Kansas",029,20,977400
1158.0,53.0,55.0,60.0,45.0,81.0,40.0,35.0,49.0,59.0,86.0,159.0,141.0,132.0,49.0,62.0,52.0,"Census Tract 9661, Coffey County, Kansas",031,20,966100
1237.0,22.0,78.0,39.0,28.0,56.0,91.0,46.0,62.0,63.0,102.0,114.0,137.0,163.0,90.0,91.0,55.0,"Census Tract 9662, Coffey County, Kansas",031,20,966200
1185.0,82.0,110.0,75.0,81.0,61.0,37.0,54.0,80.0,20.0,85.0,161.0,163.0,89.0,41.0,23.0,23.0,"Census Tract 9663, Coffey County, Kansas",031,20,966300
