B25105_001E,name,county,state
885.0,"Autauga County, Alabama",001,01
878.0,"Baldwin County, Alabama",003,01
551.0,"Barbour County, Alabama",005,01
595.0,"Bibb County, Alabama",007,01
638.0,"Blount County, Alabama",009,01
520.0,"Bullock County, Alabama",011,01
541.0,"Butler County, Alabama",013,01
623.0,"Calhoun County, Alabama",015,01
626.0,"Chambers County, Alabama",017,01
578.0,"Cherokee County, Alabama",019,01
597.0,"Chilton County, Alabama",021,01
433.0,"Choctaw County, Alabama",023,01
512.0,"Clarke County, Alabama",025,01
453.0,"Clay County, Alabama",027,01
576.0,"Cleburne County, Alabama",029,01
689.0,"Coffee County, Alabama",031,01
628.0,"Colbert County, Alabama",033,01
401.0,"Conecuh County, Alabama",035,01
537.0,"Coosa County, Alabama",037,01
539.0,"Covington County, Alabama",039,01
497.0,"Crenshaw County, Alabama",041,01
643.0,"Cullman County, Alabama",043,01
633.0,"Dale County, Alabama",045,01
576.0,"Dallas County, Alabama",047,01
537.0,"DeKalb County, Alabama",049,01
853.0,"Elmore County, Alabama",051,01
467.0,"Escambia County, Alabama",053,01
623.0,"Etowah County, Alabama",055,01
480.0,"Fayette County, Alabama",057,01
534.0,"Franklin County, Alabama",059,01
464.0,"Geneva County, Alabama",061,01
477.0,"Greene County, Alabama",063,01
499.0,"Hale County, Alabama",065,01
603.0,"Henry County, Alabama",067,01
705.0,"Houston County, Alabama",069,01
533.0,"Jackson County, Alabama",071,01
869.0,"Jefferson County, Alabama",073,01
414.0,"Lamar County, Alabama",075,01
631.0,"Lauderdale County, Alabama",077,01
555.0,"Lawrence County, Alabama",079,01
837.0,"Lee County, Alabama",081,01
718.0,"Limestone County, Alabama",083,01
579.0,"Lowndes County, Alabama",085,01
565.0,"Macon County, Alabama",087,01
858.0,"Madison County, Alabama",089,01
552.0,"Marengo County, Alabama",091,01
475.0,"Marion County, Alabama",093,01
622.0,"Marshall County, Alabama",095,01
818.0,"Mobile County, Alabama",097,01
499.0,"Monroe County, Alabama",099,01
849.0,"Montgomery County, Alabama",101,01
654.0,"Morgan County, Alabama",103,01
502.0,"Perry County, Alabama",105,01
486.0,"Pickens County, Alabama",107,01
593.0,"Pike County, Alabama",109,01
531.0,"Randolph County, Alabama",111,01
753.0,"Russell County, Alabama",113,01
753.0,"St. Clair County, Alabama",115,01
1080.0,"Shelby County, Alabama",117,01
520.0,"Sumter County, Alabama",119,01
601.0,"Talladega County, Alabama",121,01
572.0,"Tallapoosa County, Alabama",123,01
841.0,"Tuscaloosa County, Alabama",125,01
524.0,"Walker County, Alabama",127,01
491.0,"Washington County, Alabama",129,01
479.0,"Wilcox County, Alabama",131,01
480.0,"Winston County, Alabama",133,01
779.0,"Aleutians East Borough, Alaska",013,02
1184.0,"Aleutians West Census Area, Alaska",016,02
1451.0,"Anchorage Municipality, Alaska",020,02
638.0,"Bethel Census Area, Alaska",050,02
1021.0,"Bristol Bay Borough, Alaska",060,02
739.0,"Denali Borough, Alaska",068,02
756.0,"Dillingham Census Area, Alaska",070,02
1403.0,"Fairbanks North Star Borough, Alaska",090,02
874.0,"Haines Borough, Alaska",100,02
598.0,"Hoonah-Angoon Census Area, Alaska",105,02
1428.0,"Juneau City and Borough, Alaska",110,02
989.0,"Kenai Peninsula Borough, Alaska",122,02
