B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,state,state legislative district (upper chamber)
140108,67996.0,3665.0,4185.0,4331.0,3023.0,1757.0,850.0,916.0,2733.0,4118.0,4156.0,3997.0,4414.0,4682.0,5236.0,4731.0,1665.0,2511.0,1513.0,2262.0,3118.0,1760.0,1374.0,999.0,72112.0,3746.0,4187.0,4026.0,2827.0,1240.0,920.0,829.0,2667.0,4267.0,4264.0,3963.0,4436.0,4957.0,5531.0,5145.0,2302.0,2730.0,1615.0,2489.0,3968.0,2831.0,1705.0,1467.0,"State Senate District 1 (2016), Alabama",01,001
147705,73550.0,4437.0,4503.0,5398.0,3154.0,2437.0,759.0,1208.0,4191.0,6247.0,5051.0,4783.0,4253.0,5203.0,6484.0,4951.0,1460.0,1970.0,1044.0,1466.0,2152.0,997.0,858.0,544.0,74155.0,4360.0,3887.0,4803.0,3288.0,2049.0,970.0,1300.0,3109.0,5681.0,5303.0,4514.0,5162.0,5494.0,6198.0,5373.0,1512.0,2252.0,1577.0,1490.0,2219.0,1394.0,1057.0,1163.0,"State Senate District 2 (2016), Alabama",01,002
144109,70697.0,4628.0,4974.0,4489.0,3219.0,1578.0,937.0,1160.0,2369.0,4555.0,4803.0,4699.0,4399.0,4899.0,5205.0,5046.0,1781.0,2459.0,1419.0,1983.0,2356.0,1925.0,1046.0,768.0,73412.0,3978.0,4629.0,4615.0,2995.0,1457.0,781.0,988.0,2573.0,4678.0,4597.0,4401.0,4960.0,5176.0,5362.0,5151.0,1723.0,2660.0,1821.0,2378.0,3032.0,1953.0,1668.0,1836.0,"State Senate District 3 (2016), Alabama",01,003
134769,65931.0,4017.0,4204.0,4347.0,2739.0,1590.0,832.0,777.0,2199.0,4047.0,4145.0,3862.0,4439.0,4530.0,4972.0,4742.0,1665.0,2423.0,1620.0,2091.0,2864.0,1918.0,1264.0,644.0,68838.0,4094.0,3870.0,4717.0,2488.0,1253.0,818.0,672.0,2467.0,4128.0,3790.0,4075.0,3993.0,4571.0,4988.0,4914.0,1938.0,2575.0,1859.0,2213.0,3708.0,2329.0,1983.0,1395.0,"State Senate District 4 (2016), Alabama",01,004
132548,66333.0,4168.0,4157.0,3778.0,2592.0,1537.0,719.0,810.0,2781.0,4239.0,3940.0,3590.0,4569.0,4592.0,4688.0,4685.0,2070.0,2796.0,1665.0,1985.0,3179.0,1669.0,1253.0,871.0,66215.0,3847.0,3693.0,4041.0,2576.0,1514.0,883.0,589.0,2416.0,3683.0,3715.0,3605.0,4560.0,4170.0,4458.0,5076.0,1923.0,2780.0,1784.0,2104.0,3507.0,2321.0,1474.0,1496.0,"State Senate District 5 (2016), Alabama",01,005
136001,66719.0,4055.0,4129.0,4682.0,2686.0,1802.0,1099.0,1187.0,3246.0,4246.0,4048.0,3520.0,4512.0,4081.0,4502.0,4755.0,1467.0,2452.0,1439.0,1913.0,2834.0,2046.0,1014.0,1004.0,69282.0,3303.0,3819.0,4051.0,2532.0,2018.0,1408.0,1117.0,2746.0,4310.0,3685.0,3747.0,4597.0,4272.0,4588.0,4553.0,1912.0,2820.0,1553.0,2270.0,3436.0,2609.0,1985.0,1951.0,"State Senate District 6 (2016), Alabama",01,006
141513,68931.0,4145.0,4261.0,4423.0,2718.0,1807.0,897.0,1040.0,2465.0,4712.0,4480.0,4679.0,4307.0,4706.0,4800.0,4914.0,2192.0,2227.0,1705.0,1789.0,2478.0,1940.0,1277.0,969.0,72582.0,4400.0,4456.0,4682.0,2372.0,2071.0,929.0,858.0,2802.0,4437.0,4501.0,4659.0,3928.0,4774.0,5243.0,4945.0,1983.0,2475.0,1795.0,1837.0,3222.0,2350.0,1955.0,1908.0,"State Senate District 7 (2016), Alabama",01,007
140619,68975.0,4187.0,4925.0,4538.0,2640.0,1630.0,1229.0,661.0,1887.0,3891.0,4482.0,4151.0,4627.0,4855.0,5015.0,5069.0,1913.0,2617.0,1487.0,2540.0,2828.0,1877.0,1265.0,661.0,71644.0,3596.0,4742.0,4258.0,3007.0,1262.0,798.0,1114.0,1937.0,4036.0,4153.0,4523.0,4573.0,4786.0,5282.0,5270.0,1861.0,2934.0,2024.0,2602.0,3258.0,2549.0,1792.0,1287.0,"State Senate District 8 (2016), Alabama",01,008
139682,68969.0,4626.0,4891.0,5300.0,3116.0,1799.0,676.0,851.0,2826.0,4158.0,4224.0,3667.0,4567.0,4369.0,4899.0,4525.0,1800.0,2537.0,1392.0,2159.0,2779.0,1923.0,978.0,907.0,70713.0,4159.0,4265.0,4933.0,2794.0,1628.0,619.0,1046.0,2505.0,3911.0,4243.0,4270.0,4204.0,4819.0,5068.0,5121.0,1670.0,2515.0,1754.0,2227.0,3107.0,2596.0,1835.0,1424.0,"State Senate District 9 (2016), Alabama",01,009
136477,66090.0,3938.0,4198.0,4352.0,2834.0,1543.0,962.0,1067.0,2345.0,4057.0,3515.0,4066.0,4199.0,4470.0,4804.0,4582.0,1651.0,2777.0,1576.0,2463.0,2811.0,1977.0,1200.0,703.0,70387.0,3699.0,4055.0,4259.0,2653.0,1731.0,997.0,700.0,2337.0,3995.0,3919.0,4776.0,4130.0,4633.0,4835.0,4986.0,1991.0,2836.0,1842.0,2891.0,3031.0,2363.0,1970.0,1758.0,"State Senate District 10 (2016), Alabama",01,010
138394,68563.0,4048.0,4559.0,4836.0,3049.0,1241.0,631.0,797.0,2731.0,4547.0,4220.0,4485.0,4372.0,5044.0,4760.0,4641.0,1827.0,2707.0,1659.0,1927.0,2820.0,1855.0,1080.0,727.0,69831.0,3785.0,3886.0,4739.0,2614.0,1108.0,553.0,744.0,2977.0,4231.0,4524.0,4072.0,4924.0,4642.0,5200.0,4899.0,1973.0,2566.0,1612.0,2579.0,2798.0,2217.0,1833.0,1355.0,"State Senate District 11 (2016), Alabama",01,011
132404,63461.0,3695.0,4149.0,4393.0,2690.0,1694.0,1306.0,1066.0,2153.0,4246.0,3665.0,3816.0,3977.0,4260.0,4358.0,4019.0,2186.0,2494.0,1449.0,1892.0,2589.0,1538.0,1073.0,753.0,68943.0,3831.0,3834.0,4228.0,2505.0,1702.0,615.0,804.0,3014.0,4550.0,4194.0,4844.0,3826.0,4339.0,4435.0,5142.0,1803.0,2877.0,1673.0,2407.0,2823.0,2300.0,1624.0,1573.0,"State Senate District 12 (2016), Alabama",01,012
142022,69476.0,4512.0,4598.0,5110.0,2833.0,1485.0,1107.0,949.0,2966.0,3763.0,3946.0,4168.0,4902.0,4770.0,5031.0,4892.0,1773.0,2687.0,1504.0,2295.0,2657.0,1813.0,1003.0,712.0,72546.0,4061.0,4660.0,4181.0,2894.0,1506.0,1026.0,688.0,2751.0,4522.0,4213.0,4481.0,4861.0,4748.0,5487.0,4863.0,1967.0,2937.0,1876.0,2652.0,2818.0,2180.0,1469.0,1705.0,"State Senate District 13 (2016), Alabama",01,013
140951,69537.0,4772.0,4995.0,5190.0,3263.0,1920.0,1042.0,580.0,2217.0,4225.0,5162.0,4990.0,5517.0,5143.0,5131.0,4063.0,1694.0,2151.0,1199.0,1488.0,2172.0,1395.0,679.0,549.0,71414.0,4745.0,4876.0,5097.0,2924.0,1851.0,1309.0,1016.0,2221.0,4283.0,4347.0,5389.0,4966.0,4899.0,4961.0,4618.0,1600.0,2179.0,1553.0,1948.0,2185.0,2083.0,1149.0,1215.0,"State Senate District 14 (2016), Alabama",01,014
