B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,state,tract
2454,1139.0,201.0,193.0,44.0,14.0,33.0,13.0,8.0,58.0,47.0,97.0,42.0,73.0,43.0,31.0,105.0,35.0,39.0,0.0,18.0,24.0,6.0,15.0,0.0,1315.0,97.0,77.0,118.0,42.0,40.0,11.0,17.0,63.0,177.0,127.0,73.0,49.0,56.0,88.0,40.0,29.0,40.0,39.0,41.0,23.0,15.0,33.0,20.0,"Census Tract 75.03, District of Columbia, District of Columbia",001,11,007503
4855,2152.0,192.0,145.0,44.0,13.0,53.0,93.0,16.0,78.0,154.0,184.0,245.0,144.0,144.0,87.0,225.0,56.0,55.0,48.0,60.0,63.0,11.0,42.0,0.0,2703.0,136.0,206.0,153.0,62.0,76.0,0.0,0.0,125.0,172.0,215.0,127.0,148.0,280.0,236.0,237.0,53.0,128.0,50.0,63.0,112.0,53.0,34.0,37.0,"Census Tract 76.01, District of Columbia, District of Columbia",001,11,007601
2524,1252.0,52.0,71.0,109.0,83.0,62.0,14.0,22.0,32.0,118.0,77.0,72.0,35.0,79.0,67.0,136.0,42.0,27.0,6.0,24.0,64.0,34.0,6.0,20.0,1272.0,39.0,15.0,27.0,46.0,60.0,0.0,7.0,68.0,53.0,117.0,102.0,81.0,101.0,114.0,128.0,57.0,25.0,65.0,49.0,26.0,8.0,39.0,45.0,"Census Tract 77.09, District of Columbia, District of Columbia",001,11,007709
3691,1521.0,122.0,84.0,80.0,44.0,29.0,0.0,11.0,83.0,117.0,113.0,158.0,58.0,163.0,79.0,77.0,29.0,48.0,9.0,58.0,71.0,28.0,10.0,50.0,2170.0,28.0,45.0,152.0,24.0,24.0,10.0,0.0,117.0,204.0,215.0,138.0,105.0,94.0,111.0,186.0,96.0,131.0,23.0,81.0,91.0,83.0,87.0,125.0,"Census Tract 95.08, District of Columbia, District of Columbia",001,11,009508
2979,1358.0,295.0,131.0,82.0,45.0,37.0,0.0,25.0,75.0,96.0,41.0,83.0,103.0,27.0,154.0,54.0,35.0,28.0,22.0,6.0,13.0,6.0,0.0,0.0,1621.0,257.0,124.0,59.0,84.0,55.0,15.0,32.0,137.0,112.0,128.0,128.0,93.0,120.0,111.0,68.0,23.0,26.0,13.0,22.0,0.0,9.0,0.0,5.0,"Census Tract 99.04, District of Columbia, District of Columbia",001,11,009904
3252,1609.0,87.0,179.0,70.0,64.0,0.0,8.0,28.0,24.0,286.0,224.0,26.0,181.0,49.0,70.0,110.0,24.0,49.0,7.0,0.0,76.0,0.0,26.0,21.0,1643.0,171.0,66.0,10.0,12.0,22.0,0.0,80.0,86.0,123.0,236.0,110.0,126.0,197.0,76.0,57.0,16.0,47.0,21.0,74.0,57.0,30.0,0.0,26.0,"Census Tract 89.03, District of Columbia, District of Columbia",001,11,008903
2918,1341.0,134.0,86.0,188.0,0.0,39.0,0.0,8.0,64.0,149.0,181.0,20.0,25.0,50.0,102.0,11.0,56.0,40.0,7.0,70.0,15.0,40.0,37.0,19.0,1577.0,129.0,93.0,22.0,10.0,25.0,59.0,0.0,21.0,207.0,166.0,145.0,80.0,85.0,67.0,103.0,24.0,66.0,39.0,26.0,32.0,71.0,89.0,18.0,"Census Tract 92.04, District of Columbia, District of Columbia",001,11,009204
3120,1427.0,36.0,91.0,73.0,48.0,15.0,33.0,0.0,95.0,183.0,152.0,72.0,97.0,85.0,118.0,37.0,80.0,67.0,16.0,13.0,61.0,19.0,15.0,21.0,1693.0,66.0,114.0,89.0,11.0,46.0,16.0,0.0,65.0,82.0,119.0,142.0,99.0,173.0,71.0,89.0,25.0,86.0,58.0,77.0,40.0,88.0,70.0,67.0,"Census Tract 99.02, District of Columbia, District of Columbia",001,11,009902
5170,2464.0,161.0,45.0,60.0,17.0,0.0,75.0,29.0,27.0,298.0,291.0,204.0,145.0,122.0,255.0,112.0,90.0,105.0,77.0,65.0,155.0,19.0,58.0,54.0,2706.0,103.0,280.0,81.0,55.0,18.0,4.0,5.0,112.0,202.0,368.0,238.0,144.0,129.0,127.0,166.0,101.0,77.0,93.0,101.0,79.0,56.0,44.0,123.0,"Census Tract 1, District of Columbia, District of Columbia",001,11,000100
6267,2689.0,155.0,89.0,119.0,135.0,163.0,76.0,76.0,26.0,138.0,106.0,276.0,100.0,134.0,268.0,207.0,22.0,97.0,42.0,102.0,157.0,67.0,97.0,37.0,3578.0,106.0,199.0,105.0,98.0,285.0,178.0,65.0,129.0,79.0,175.0,64.0,252.0,314.0,266.0,207.0,144.0,98.0,69.0,119.0,320.0,91.0,101.0,114.0,"Census Tract 8.01, District of Columbia, District of Columbia",001,11,000801
3476,1684.0,86.0,102.0,81.0,89.0,13.0,4.0,0.0,121.0,373.0,90.0,61.0,67.0,118.0,100.0,104.0,12.0,33.0,8.0,50.0,21.0,106.0,13.0,32.0,1792.0,110.0,86.0,77.0,67.0,0.0,0.0,24.0,78.0,261.0,244.0,140.0,78.0,85.0,176.0,87.0,53.0,20.0,47.0,9.0,41.0,50.0,22.0,37.0,"Census Tract 8.02, District of Columbia, District of Columbia",001,11,000802
7853,3811.0,233.0,509.0,223.0,203.0,111.0,67.0,15.0,104.0,113.0,103.0,245.0,256.0,420.0,241.0,178.0,73.0,130.0,71.0,123.0,186.0,59.0,45.0,103.0,4042.0,310.0,266.0,208.0,94.0,100.0,78.0,50.0,49.0,139.0,264.0,306.0,353.0,402.0,325.0,123.0,73.0,184.0,33.0,122.0,257.0,192.0,0.0,114.0,"Census Tract 10.01, District of Columbia, District of Columbia",001,11,001001
3217,1560.0,96.0,85.0,62.0,9.0,13.0,0.0,22.0,29.0,240.0,138.0,66.0,168.0,133.0,170.0,88.0,61.0,21.0,37.0,58.0,31.0,13.0,6.0,14.0,1657.0,55.0,78.0,49.0,32.0,18.0,18.0,13.0,38.0,68.0,188.0,120.0,145.0,208.0,72.0,105.0,114.0,33.0,34.0,104.0,57.0,29.0,34.0,45.0,"Census Tract 17.02, District of Columbia, District of Columbia",001,11,001702
3279,1614.0,58.0,46.0,40.0,72.0,48.0,0.0,19.0,100.0,351.0,316.0,113.0,43.0,79.0,106.0,29.0,19.0,41.0,18.0,16.0,40.0,25.0,12.0,23.0,1665.0,87.0,53.0,47.0,28.0,18.0,0.0,11.0,107.0,251.0,240.0,197.0,58.0,71.0,118.0,51.0,27.0,52.0,25.0,39.0,59.0,39.0,42.0,45.0,"Census Tract 30, District of Columbia, District of Columbia",001,11,003000
4066,2053.0,68.0,10.0,80.0,15.0,5.0,0.0,19.0,93.0,536.0,274.0,245.0,125.0,224.0,162.0,75.0,41.0,32.0,19.0,20.0,0.0,10.0,0.0,0.0,2013.0,109.0,117.0,0.0,35.0,0.0,0.0,9.0,159.0,290.0,208.0,138.0,155.0,211.0,136.0,58.0,54.0,35.0,0.0,42.0,47.0,30.0,90.0,90.0,"Census Tract 33.01, District of Columbia, District of Columbia",001,11,003301
4833,2807.0,104.0,29.0,88.0,8.0,35.0,18.0,0.0,63.0,843.0,371.0,352.0,147.0,207.0,146.0,192.0,43.0,24.0,0.0,57.0,42.0,38.0,0.0,0.0,2026.0,97.0,71.0,0.0,1.0,0.0,24.0,3.0,168.0,575.0,303.0,321.0,95.0,24.0,103.0,55.0,0.0,51.0,11.0,40.0,0.0,34.0,50.0,0.0,"Census Tract 36, District of Columbia, District of Columbia",001,11,003600
