B02010_001E,name,state,state legislative district (lower chamber)
257.0,"State House District 32 (2016), Alabama",01,032
446.0,"State House District 33 (2016), Alabama",01,033
537.0,"State House District 34 (2016), Alabama",01,034
447.0,"State House District 35 (2016), Alabama",01,035
722.0,"State House District 36 (2016), Alabama",01,036
223.0,"State House District 37 (2016), Alabama",01,037
479.0,"State House District 38 (2016), Alabama",01,038
515.0,"State House District 39 (2016), Alabama",01,039
538.0,"State House District 40 (2016), Alabama",01,040
384.0,"State House District 41 (2016), Alabama",01,041
479.0,"State House District 42 (2016), Alabama",01,042
223.0,"State House District 43 (2016), Alabama",01,043
231.0,"State House District 44 (2016), Alabama",01,044
345.0,"State House District 45 (2016), Alabama",01,045
118.0,"State House District 46 (2016), Alabama",01,046
180.0,"State House District 47 (2016), Alabama",01,047
197.0,"State House District 48 (2016), Alabama",01,048
438.0,"State House District 49 (2016), Alabama",01,049
240.0,"State House District 50 (2016), Alabama",01,050
531.0,"State House District 51 (2016), Alabama",01,051
237.0,"State House District 52 (2016), Alabama",01,052
400.0,"State House District 53 (2016), Alabama",01,053
530.0,"State House District 54 (2016), Alabama",01,054
346.0,"State House District 55 (2016), Alabama",01,055
430.0,"State House District 56 (2016), Alabama",01,056
377.0,"State House District 57 (2016), Alabama",01,057
356.0,"State House District 58 (2016), Alabama",01,058
270.0,"State House District 59 (2016), Alabama",01,059
516.0,"State House District 60 (2016), Alabama",01,060
233.0,"State House District 61 (2016), Alabama",01,061
175.0,"State House District 62 (2016), Alabama",01,062
429.0,"State House District 63 (2016), Alabama",01,063
1204.0,"State House District 64 (2016), Alabama",01,064
1438.0,"State House District 65 (2016), Alabama",01,065
1801.0,"State House District 66 (2016), Alabama",01,066
164.0,"State House District 67 (2016), Alabama",01,067
395.0,"State House District 68 (2016), Alabama",01,068
235.0,"State House District 69 (2016), Alabama",01,069
195.0,"State House District 70 (2016), Alabama",01,070
524.0,"State House District 71 (2016), Alabama",01,071
197.0,"State House District 82 (2016), Alabama",01,082
528.0,"State House District 83 (2016), Alabama",01,083
489.0,"State House District 84 (2016), Alabama",01,084
446.0,"State House District 85 (2016), Alabama",01,085
555.0,"State House District 86 (2016), Alabama",01,086
612.0,"State House District 87 (2016), Alabama",01,087
413.0,"State House District 88 (2016), Alabama",01,088
524.0,"State House District 89 (2016), Alabama",01,089
339.0,"State House District 90 (2016), Alabama",01,090
1236.0,"State House District 91 (2016), Alabama",01,091
506.0,"State House District 92 (2016), Alabama",01,092
795.0,"State House District 93 (2016), Alabama",01,093
869.0,"State House District 94 (2016), Alabama",01,094
496.0,"State House District 95 (2016), Alabama",01,095
547.0,"State House District 96 (2016), Alabama",01,096
437.0,"State House District 97 (2016), Alabama",01,097
518.0,"State House District 98 (2016), Alabama",01,098
306.0,"State House District 99 (2016), Alabama",01,099
445.0,"State House District 100 (2016), Alabama",01,100
329.0,"State House District 101 (2016), Alabama",01,101
2200.0,"State House District 102 (2016), Alabama",01,102
449.0,"State House District 103 (2016), Alabama",01,103
843.0,"State House District 104 (2016), Alabama",01,104
412.0,"State House District 1 (2016), Alabama",01,001
453.0,"State House District 2 (2016), Alabama",01,002
748.0,"State House District 3 (2016), Alabama",01,003
591.0,"State House District 4 (2016), Alabama",01,004
691.0,"State House District 5 (2016), Alabama",01,005
864.0,"State House District 6 (2016), Alabama",01,006
3068.0,"State House District 7 (2016), Alabama",01,007
637.0,"State House District 8 (2016), Alabama",01,008
1215.0,"State House District 9 (2016), Alabama",01,009
1064.0,"State House District 10 (2016), Alabama",01,010
543.0,"State House District 11 (2016), Alabama",01,011
474.0,"State House District 12 (2016), Alabama",01,012
577.0,"State House District 13 (2016), Alabama",01,013
527.0,"State House District 14 (2016), Alabama",01,014
297.0,"State House District 15 (2016), Alabama",01,015
285.0,"State House District 16 (2016), Alabama",01,016
457.0,"State House District 17 (2016), Alabama",01,017
440.0,"State House District 18 (2016), Alabama",01,018
731.0,"State House District 19 (2016), Alabama",01,019
461.0,"State House District 20 (2016), Alabama",01,020
963.0,"State House District 21 (2016), Alabama",01,021
1743.0,"State House District 22 (2016), Alabama",01,022
1428.0,"State House District 23 (2016), Alabama",01,023
1133.0,"State House District 24 (2016), Alabama",01,024
712.0,"State House District 25 (2016), Alabama",01,025
754.0,"State House District 105 (2016), Alabama",01,105
835.0,"State House District 26 (2016), Alabama",01,026
762.0,"State House District 27 (2016), Alabama",01,027
584.0,"State House District 28 (2016), Alabama",01,028
697.0,"State House District 29 (2016), Alabama",01,029
662.0,"State House District 30 (2016), Alabama",01,030
285.0,"State House District 31 (2016), Alabama",01,031
174.0,"State House District 72 (2016), Alabama",01,072
207.0,"State House District 73 (2016), Alabama",01,073
455.0,"State House District 74 (2016), Alabama",01,074
429.0,"State House District 75 (2016), Alabama",01,075
268.0,"State House District 76 (2016), Alabama",01,076
162.0,"State House District 77 (2016), Alabama",01,077
336.0,"State House District 78 (2016), Alabama",01,078
286.0,"State House District 79 (2016), Alabama",01,079
628.0,"State House District 80 (2016), Alabama",01,080
245.0,"State House District 81 (2016), Alabama",01,081
3424.0,"State House District 16 (2016), Alaska",02,016
3356.0,"State House District 17 (2016), Alaska",02,017
2228.0,"State House District 18 (2016), Alaska",02,018
3463.0,"State House District 19 (2016), Alaska",02,019
3232.0,"State House District 20 (2016), Alaska",02,020
2450.0,"State House District 21 (2016), Alaska",02,021
1840.0,"State House District 22 (2016), Alaska",02,022
2997.0,"State House District 23 (2016), Alaska",02,023
1616.0,"State House District 24 (2016), Alaska",02,024
2576.0,"State House District 25 (2016), Alaska",02,025
2011.0,"State House District 26 (2016), Alaska",02,026
1912.0,"State House District 27 (2016), Alaska",02,027
1295.0,"State House District 28 (2016), Alaska",02,028
2145.0,"State House District 29 (2016), Alaska",02,029
2559.0,"State House District 30 (2016), Alaska",02,030
1409.0,"State House District 31 (2016), Alaska",02,031
4311.0,"State House District 32 (2016), Alaska",02,032
3341.0,"State House District 33 (2016), Alaska",02,033
3037.0,"State House District 34 (2016), Alaska",02,034
4975.0,"State House District 35 (2016), Alaska",02,035
5366.0,"State House District 36 (2016), Alaska",02,036
8516.0,"State House District 37 (2016), Alaska",02,037
16069.0,"State House District 38 (2016), Alaska",02,038
16292.0,"State House District 39 (2016), Alaska",02,039
12431.0,"State House District 40 (2016), Alaska",02,040
3126.0,"State House District 1 (2016), Alaska",02,001
1358.0,"State House District 2 (2016), Alaska",02,002
2475.0,"State House District 3 (2016), Alaska",02,003
1383.0,"State House District 4 (2016), Alaska",02,004
2651.0,"State House District 5 (2016), Alaska",02,005
3936.0,"State House District 6 (2016), Alaska",02,006
2823.0,"State House District 7 (2016), Alaska",02,007
1635.0,"State House District 8 (2016), Alaska",02,008
