B24080_001E,B24080_002E,B24080_003E,B24080_004E,B24080_005E,B24080_006E,B24080_007E,B24080_008E,B24080_009E,B24080_010E,B24080_011E,B24080_012E,B24080_013E,B24080_014E,B24080_015E,B24080_016E,B24080_017E,B24080_018E,B24080_019E,B24080_020E,B24080_021E,name,urban area
3695.0,1776.0,1384.0,1355.0,29.0,133.0,95.0,75.0,40.0,49.0,0.0,1919.0,1301.0,1246.0,55.0,322.0,96.0,115.0,13.0,72.0,0.0,"Medina, NY Urban Cluster (2010)",56035
1556.0,809.0,655.0,589.0,66.0,37.0,68.0,0.0,19.0,30.0,0.0,747.0,594.0,564.0,30.0,42.0,63.0,19.0,0.0,29.0,0.0,"Melrose, MN Urban Cluster (2010)",56089
494832.0,246363.0,190344.0,182675.0,7669.0,13370.0,15693.0,5079.0,6265.0,15451.0,161.0,248469.0,175868.0,172158.0,3710.0,24904.0,21250.0,9781.0,7103.0,9359.0,204.0,"Memphis, TN--MS--AR Urbanized Area (2010)",56116
9252.0,4572.0,3644.0,3490.0,154.0,154.0,163.0,416.0,30.0,158.0,7.0,4680.0,3173.0,3105.0,68.0,431.0,293.0,538.0,17.0,228.0,0.0,"Menomonie, WI Urban Cluster (2010)",56224
1842.0,848.0,587.0,518.0,69.0,70.0,30.0,56.0,11.0,94.0,0.0,994.0,662.0,662.0,0.0,56.0,31.0,104.0,38.0,103.0,0.0,"Mena, AR Urban Cluster (2010)",56143
3939.0,2540.0,2219.0,2206.0,13.0,19.0,92.0,75.0,12.0,123.0,0.0,1399.0,1184.0,1184.0,0.0,49.0,89.0,9.0,59.0,9.0,0.0,"Mendota, CA Urban Cluster (2010)",56170
2810.0,1500.0,1199.0,1131.0,68.0,52.0,146.0,27.0,8.0,68.0,0.0,1310.0,910.0,894.0,16.0,160.0,151.0,47.0,6.0,36.0,0.0,"Mendota, IL Urban Cluster (2010)",56197
51355.0,28178.0,20824.0,20302.0,522.0,1226.0,2222.0,1559.0,482.0,1858.0,7.0,23177.0,14058.0,13788.0,270.0,1643.0,4198.0,1711.0,210.0,1294.0,63.0,"Merced, CA Urbanized Area (2010)",56251
1005.0,524.0,442.0,417.0,25.0,16.0,7.0,26.0,6.0,27.0,0.0,481.0,296.0,286.0,10.0,82.0,38.0,41.0,10.0,14.0,0.0,"Mercer, PA Urban Cluster (2010)",56278
15878.0,7852.0,5836.0,5562.0,274.0,637.0,401.0,433.0,208.0,303.0,34.0,8026.0,5443.0,5350.0,93.0,667.0,490.0,957.0,256.0,186.0,27.0,"Meridian, MS Urban Cluster (2010)",56305
5149.0,2641.0,2096.0,2024.0,72.0,87.0,256.0,36.0,40.0,117.0,9.0,2508.0,1713.0,1692.0,21.0,379.0,200.0,47.0,45.0,124.0,0.0,"Merrill, WI Urban Cluster (2010)",56359
2634.0,1444.0,992.0,969.0,23.0,50.0,86.0,145.0,10.0,161.0,0.0,1190.0,521.0,516.0,5.0,67.0,196.0,341.0,6.0,59.0,0.0,"Mexia, TX Urban Cluster (2010)",56521
1498.0,734.0,595.0,574.0,21.0,0.0,49.0,53.0,0.0,37.0,0.0,764.0,610.0,610.0,0.0,86.0,16.0,0.0,0.0,52.0,0.0,"Mescalero Park, TX Urban Cluster (2010)",56386
4933.0,2372.0,1987.0,1900.0,87.0,52.0,214.0,27.0,17.0,75.0,0.0,2561.0,1895.0,1815.0,80.0,131.0,282.0,162.0,20.0,71.0,0.0,"Mesquite, NV--AZ Urban Cluster (2010)",56413
1357.0,562.0,427.0,382.0,45.0,39.0,33.0,11.0,37.0,15.0,0.0,795.0,632.0,617.0,15.0,31.0,43.0,10.0,48.0,31.0,0.0,"Metter, GA Urban Cluster (2010)",56494
1630.0,794.0,584.0,543.0,41.0,69.0,87.0,25.0,0.0,29.0,0.0,836.0,654.0,654.0,0.0,83.0,65.0,0.0,0.0,34.0,0.0,"Metamora, IL Urban Cluster (2010)",56440
2203.0,1051.0,738.0,701.0,37.0,96.0,52.0,92.0,27.0,46.0,0.0,1152.0,759.0,759.0,0.0,140.0,79.0,48.0,54.0,72.0,0.0,"Metropolis, IL Urban Cluster (2010)",56467
4782.0,2488.0,2073.0,1992.0,81.0,119.0,86.0,165.0,0.0,39.0,6.0,2294.0,1491.0,1491.0,0.0,190.0,247.0,305.0,9.0,52.0,0.0,"Mexico, MO Urban Cluster (2010)",56548
1068.0,591.0,460.0,455.0,5.0,16.0,31.0,40.0,6.0,38.0,0.0,477.0,336.0,330.0,6.0,62.0,25.0,43.0,0.0,11.0,0.0,"Meyersdale, PA Urban Cluster (2010)",56575
