B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
2209.0,1073.0,0.0,39.0,0.0,0.0,0.0,0.0,23.0,0.0,108.0,16.0,16.0,63.0,205.0,309.0,141.0,153.0,1136.0,7.0,0.0,0.0,1.0,19.0,41.0,0.0,0.0,86.0,0.0,50.0,6.0,353.0,365.0,91.0,117.0,"Census Tract 1051.98, St. Louis city, Missouri",510,29,105198
1764.0,826.0,0.0,0.0,5.0,74.0,45.0,68.0,85.0,37.0,347.0,19.0,116.0,30.0,0.0,0.0,0.0,0.0,938.0,4.0,0.0,54.0,32.0,41.0,69.0,113.0,43.0,245.0,56.0,159.0,32.0,50.0,40.0,0.0,0.0,"Census Tract 1074, St. Louis city, Missouri",510,29,107400
1031.0,446.0,17.0,0.0,0.0,12.0,7.0,52.0,24.0,41.0,142.0,15.0,64.0,16.0,1.0,55.0,0.0,0.0,585.0,0.0,0.0,0.0,4.0,30.0,36.0,83.0,0.0,131.0,50.0,98.0,30.0,59.0,64.0,0.0,0.0,"Census Tract 1113, St. Louis city, Missouri",510,29,111300
1580.0,797.0,16.0,7.0,7.0,27.0,5.0,29.0,40.0,13.0,137.0,13.0,103.0,58.0,116.0,121.0,79.0,26.0,783.0,23.0,0.0,0.0,9.0,11.0,48.0,49.0,25.0,78.0,30.0,78.0,52.0,134.0,147.0,52.0,47.0,"Census Tract 1192, St. Louis city, Missouri",510,29,119200
2164.0,1100.0,8.0,0.0,0.0,0.0,42.0,14.0,13.0,8.0,135.0,74.0,280.0,37.0,318.0,99.0,32.0,40.0,1064.0,47.0,0.0,0.0,17.0,0.0,12.0,0.0,22.0,83.0,24.0,116.0,77.0,260.0,235.0,124.0,47.0,"Census Tract 1233, St. Louis city, Missouri",510,29,123300
1925.0,958.0,0.0,0.0,0.0,66.0,7.0,41.0,74.0,24.0,355.0,67.0,138.0,51.0,61.0,59.0,0.0,15.0,967.0,0.0,0.0,7.0,0.0,0.0,95.0,111.0,55.0,169.0,69.0,225.0,41.0,152.0,43.0,0.0,0.0,"Census Tract 1266, St. Louis city, Missouri",510,29,126600
2325.0,1112.0,43.0,0.0,0.0,0.0,43.0,15.0,37.0,97.0,304.0,151.0,59.0,83.0,179.0,45.0,42.0,14.0,1213.0,21.0,0.0,8.0,15.0,0.0,58.0,50.0,108.0,270.0,40.0,83.0,94.0,225.0,137.0,51.0,53.0,"Census Tract 1161, St. Louis city, Missouri",510,29,116100
3671.0,1711.0,11.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0,210.0,175.0,228.0,192.0,516.0,181.0,131.0,12.0,1960.0,57.0,0.0,21.0,0.0,0.0,27.0,0.0,24.0,273.0,197.0,220.0,163.0,494.0,290.0,98.0,96.0,"Census Tract 1142, St. Louis city, Missouri",510,29,114200
3147.0,1463.0,26.0,25.0,21.0,66.0,27.0,26.0,49.0,33.0,564.0,79.0,175.0,159.0,106.0,90.0,0.0,17.0,1684.0,108.0,22.0,11.0,42.0,33.0,50.0,32.0,97.0,569.0,95.0,144.0,245.0,179.0,40.0,0.0,17.0,"Census Tract 1153, St. Louis city, Missouri",510,29,115300
3327.0,1459.0,12.0,11.0,4.0,54.0,12.0,56.0,106.0,80.0,684.0,12.0,202.0,99.0,95.0,32.0,0.0,0.0,1868.0,14.0,0.0,47.0,62.0,0.0,89.0,133.0,65.0,805.0,94.0,164.0,89.0,216.0,77.0,13.0,0.0,"Census Tract 1156, St. Louis city, Missouri",510,29,115600
3342.0,1797.0,0.0,0.0,0.0,23.0,0.0,29.0,0.0,23.0,313.0,91.0,351.0,59.0,485.0,246.0,118.0,59.0,1545.0,15.0,0.0,0.0,17.0,6.0,48.0,18.0,0.0,225.0,43.0,164.0,76.0,521.0,272.0,62.0,78.0,"Census Tract 1174, St. Louis city, Missouri",510,29,117400
908.0,528.0,3.0,0.0,0.0,0.0,15.0,0.0,34.0,3.0,155.0,3.0,72.0,55.0,144.0,24.0,16.0,4.0,380.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,16.0,58.0,45.0,70.0,38.0,98.0,15.0,15.0,5.0,"Census Tract 1181, St. Louis city, Missouri",510,29,118100
1131.0,353.0,3.0,0.0,0.0,0.0,21.0,42.0,6.0,6.0,62.0,56.0,11.0,76.0,45.0,18.0,7.0,0.0,778.0,9.0,14.0,4.0,22.0,23.0,15.0,87.0,41.0,185.0,28.0,144.0,86.0,70.0,36.0,14.0,0.0,"Census Tract 1212, St. Louis city, Missouri",510,29,121200
2073.0,968.0,32.0,0.0,12.0,64.0,18.0,9.0,42.0,70.0,350.0,72.0,91.0,46.0,141.0,14.0,7.0,0.0,1105.0,0.0,0.0,27.0,14.0,37.0,20.0,140.0,17.0,156.0,121.0,251.0,66.0,145.0,107.0,4.0,0.0,"Census Tract 1242, St. Louis city, Missouri",510,29,124200
2479.0,1375.0,0.0,13.0,7.0,8.0,0.0,17.0,34.0,9.0,224.0,184.0,167.0,91.0,383.0,147.0,73.0,18.0,1104.0,0.0,0.0,0.0,0.0,34.0,7.0,0.0,10.0,200.0,49.0,158.0,95.0,303.0,174.0,28.0,46.0,"Census Tract 1243, St. Louis city, Missouri",510,29,124300
