B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,state,tract
3947.0,2015.0,6.0,0.0,0.0,24.0,5.0,20.0,33.0,14.0,715.0,128.0,293.0,214.0,415.0,96.0,46.0,6.0,1932.0,2.0,0.0,0.0,18.0,0.0,0.0,26.0,23.0,345.0,98.0,392.0,325.0,535.0,126.0,32.0,10.0,"Census Tract 103, Minnehaha County, South Dakota",099,46,010300
1546.0,719.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,225.0,77.0,144.0,43.0,144.0,64.0,0.0,0.0,827.0,11.0,0.0,0.0,9.0,15.0,0.0,0.0,6.0,134.0,73.0,261.0,95.0,164.0,46.0,6.0,7.0,"Census Tract 17, Minnehaha County, South Dakota",099,46,001700
3150.0,1387.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,29.0,298.0,74.0,279.0,216.0,335.0,84.0,40.0,12.0,1763.0,0.0,0.0,15.0,113.0,0.0,0.0,14.0,7.0,523.0,181.0,174.0,267.0,421.0,48.0,0.0,0.0,"Census Tract 11.01, Minnehaha County, South Dakota",099,46,001101
2593.0,1407.0,48.0,0.0,11.0,7.0,35.0,66.0,56.0,89.0,534.0,136.0,117.0,173.0,70.0,43.0,11.0,11.0,1186.0,14.0,0.0,32.0,47.0,80.0,19.0,10.0,30.0,462.0,56.0,156.0,128.0,115.0,28.0,9.0,0.0,"Census Tract 3, Minnehaha County, South Dakota",099,46,000300
3122.0,1950.0,44.0,12.0,11.0,88.0,42.0,51.0,113.0,40.0,814.0,133.0,295.0,128.0,125.0,10.0,0.0,44.0,1172.0,33.0,0.0,8.0,55.0,15.0,29.0,35.0,19.0,457.0,81.0,173.0,125.0,106.0,36.0,0.0,0.0,"Census Tract 1, Minnehaha County, South Dakota",099,46,000100
3447.0,1936.0,36.0,45.0,70.0,9.0,0.0,12.0,86.0,75.0,817.0,94.0,196.0,110.0,318.0,53.0,0.0,15.0,1511.0,38.0,46.0,0.0,66.0,8.0,41.0,53.0,17.0,353.0,111.0,114.0,213.0,285.0,94.0,15.0,57.0,"Census Tract 7, Minnehaha County, South Dakota",099,46,000700
3336.0,1632.0,35.0,0.0,0.0,47.0,0.0,47.0,18.0,77.0,330.0,66.0,223.0,145.0,259.0,254.0,117.0,14.0,1704.0,17.0,0.0,0.0,2.0,2.0,0.0,19.0,1.0,362.0,135.0,295.0,187.0,458.0,149.0,47.0,30.0,"Census Tract 12, Minnehaha County, South Dakota",099,46,001200
3254.0,1384.0,8.0,0.0,0.0,5.0,19.0,0.0,2.0,22.0,368.0,102.0,327.0,120.0,342.0,53.0,16.0,0.0,1870.0,22.0,5.0,0.0,8.0,0.0,2.0,15.0,38.0,593.0,138.0,143.0,370.0,369.0,167.0,0.0,0.0,"Census Tract 15, Minnehaha County, South Dakota",099,46,001500
1729.0,939.0,0.0,0.0,0.0,7.0,12.0,0.0,36.0,11.0,269.0,47.0,201.0,131.0,184.0,29.0,12.0,0.0,790.0,29.0,0.0,0.0,34.0,4.0,12.0,0.0,29.0,222.0,82.0,71.0,141.0,110.0,49.0,7.0,0.0,"Census Tract 6, Minnehaha County, South Dakota",099,46,000600
2193.0,1057.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,157.0,56.0,131.0,49.0,361.0,153.0,85.0,44.0,1136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,55.0,139.0,96.0,481.0,150.0,88.0,46.0,"Census Tract 16, Minnehaha County, South Dakota",099,46,001600
4732.0,2208.0,26.0,5.0,0.0,2.0,0.0,52.0,13.0,48.0,521.0,147.0,381.0,309.0,440.0,195.0,69.0,0.0,2524.0,56.0,0.0,0.0,85.0,0.0,61.0,69.0,4.0,901.0,200.0,338.0,113.0,458.0,139.0,86.0,14.0,"Census Tract 18.01, Minnehaha County, South Dakota",099,46,001801
1374.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,198.0,24.0,68.0,48.0,185.0,79.0,59.0,11.0,682.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,11.0,105.0,33.0,58.0,117.0,221.0,53.0,36.0,25.0,"Census Tract 19.01, Minnehaha County, South Dakota",099,46,001901
1089.0,585.0,3.0,0.0,0.0,27.0,9.0,23.0,32.0,0.0,236.0,11.0,87.0,62.0,92.0,3.0,0.0,0.0,504.0,9.0,0.0,0.0,12.0,24.0,6.0,39.0,5.0,148.0,13.0,81.0,51.0,104.0,12.0,0.0,0.0,"Census Tract 9410, Corson County, South Dakota",031,46,941000
1664.0,838.0,9.0,0.0,0.0,35.0,25.0,6.0,8.0,10.0,336.0,80.0,102.0,76.0,98.0,30.0,16.0,7.0,826.0,1.0,0.0,0.0,5.0,2.0,7.0,15.0,9.0,236.0,39.0,146.0,73.0,196.0,84.0,5.0,8.0,"Census Tract 9611, Faulk County, South Dakota",049,46,961100
1339.0,708.0,2.0,0.0,0.0,19.0,3.0,16.0,11.0,11.0,317.0,39.0,74.0,85.0,118.0,12.0,0.0,1.0,631.0,0.0,4.0,0.0,23.0,0.0,1.0,15.0,7.0,266.0,38.0,77.0,103.0,71.0,25.0,0.0,1.0,"Census Tract 9533, Grant County, South Dakota",051,46,953300
1222.0,587.0,0.0,0.0,2.0,18.0,8.0,36.0,26.0,9.0,233.0,17.0,95.0,61.0,65.0,17.0,0.0,0.0,635.0,0.0,0.0,3.0,13.0,24.0,41.0,44.0,6.0,174.0,21.0,108.0,84.0,89.0,26.0,0.0,2.0,"Census Tract 9411, Corson County, South Dakota",031,46,941100
2816.0,1370.0,0.0,0.0,6.0,6.0,0.0,7.0,0.0,15.0,596.0,53.0,170.0,84.0,402.0,24.0,0.0,7.0,1446.0,7.0,0.0,0.0,61.0,11.0,9.0,7.0,8.0,327.0,115.0,246.0,129.0,398.0,110.0,0.0,18.0,"Census Tract 106, Minnehaha County, South Dakota",099,46,010600
2359.0,1112.0,0.0,0.0,48.0,18.0,18.0,22.0,81.0,8.0,348.0,116.0,125.0,153.0,151.0,16.0,0.0,8.0,1247.0,18.0,0.0,6.0,0.0,86.0,40.0,50.0,9.0,379.0,135.0,215.0,91.0,143.0,60.0,0.0,15.0,"Census Tract 10.01, Minnehaha County, South Dakota",099,46,001001
3608.0,1759.0,0.0,0.0,0.0,22.0,0.0,0.0,11.0,12.0,414.0,121.0,371.0,141.0,478.0,165.0,9.0,15.0,1849.0,0.0,0.0,0.0,24.0,0.0,12.0,0.0,24.0,375.0,56.0,402.0,316.0,484.0,116.0,29.0,11.0,"Census Tract 101.03, Lincoln County, South Dakota",083,46,010103
7897.0,3820.0,0.0,43.0,0.0,18.0,0.0,13.0,75.0,30.0,270.0,169.0,495.0,381.0,1507.0,310.0,384.0,125.0,4077.0,0.0,36.0,0.0,4.0,0.0,0.0,56.0,83.0,669.0,237.0,643.0,383.0,1229.0,540.0,98.0,99.0,"Census Tract 101.04, Lincoln County, South Dakota",083,46,010104
852.0,464.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,9.0,120.0,45.0,81.0,36.0,111.0,17.0,14.0,13.0,388.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,94.0,4.0,46.0,43.0,131.0,33.0,33.0,0.0,"Census Tract 101.06, Lincoln County, South Dakota",083,46,010106
3488.0,1643.0,0.0,0.0,0.0,17.0,0.0,21.0,13.0,7.0,307.0,162.0,301.0,239.0,449.0,87.0,40.0,0.0,1845.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,34.0,220.0,113.0,211.0,261.0,728.0,155.0,73.0,34.0,"Census Tract 101.07, Lincoln County, South Dakota",083,46,010107
1354.0,665.0,0.0,0.0,0.0,37.0,0.0,14.0,14.0,18.0,153.0,61.0,90.0,76.0,114.0,33.0,45.0,10.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,112.0,70.0,144.0,78.0,190.0,57.0,13.0,9.0,"Census Tract 101.08, Lincoln County, South Dakota",083,46,010108
5306.0,2457.0,19.0,0.0,0.0,124.0,0.0,7.0,0.0,0.0,241.0,65.0,267.0,192.0,925.0,420.0,175.0,22.0,2849.0,14.0,0.0,0.0,27.0,0.0,1.0,0.0,28.0,367.0,138.0,442.0,363.0,876.0,449.0,97.0,47.0,"Census Tract 101.02, Lincoln County, South Dakota",083,46,010102
516.0,223.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,58.0,4.0,36.0,52.0,47.0,18.0,0.0,0.0,293.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,45.0,12.0,49.0,75.0,49.0,26.0,5.0,0.0,"Census Tract 101.05, Lincoln County, South Dakota",083,46,010105
3085.0,1440.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,23.0,315.0,90.0,196.0,271.0,428.0,27.0,18.0,40.0,1645.0,8.0,0.0,0.0,8.0,0.0,0.0,10.0,44.0,305.0,108.0,273.0,210.0,542.0,74.0,30.0,33.0,"Census Tract 101.01, Lincoln County, South Dakota",083,46,010101
1343.0,708.0,0.0,0.0,0.0,44.0,13.0,24.0,13.0,13.0,282.0,6.0,106.0,49.0,109.0,24.0,20.0,5.0,635.0,0.0,0.0,0.0,29.0,7.0,3.0,0.0,0.0,228.0,76.0,78.0,91.0,89.0,25.0,2.0,7.0,"Census Tract 9529, Day County, South Dakota",037,46,952900
1748.0,881.0,0.0,0.0,2.0,41.0,17.0,57.0,56.0,3.0,398.0,33.0,121.0,75.0,47.0,21.0,7.0,3.0,867.0,0.0,0.0,0.0,19.0,8.0,18.0,50.0,2.0,225.0,39.0,211.0,106.0,142.0,46.0,0.0,1.0,"Census Tract 9417, Dewey County, South Dakota",041,46,941700
2901.0,1465.0,14.0,69.0,0.0,25.0,0.0,6.0,79.0,141.0,345.0,78.0,302.0,156.0,169.0,53.0,16.0,12.0,1436.0,8.0,49.0,0.0,44.0,57.0,31.0,27.0,31.0,417.0,76.0,241.0,101.0,301.0,53.0,0.0,0.0,"Census Tract 2.01, Minnehaha County, South Dakota",099,46,000201
3207.0,1472.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,376.0,63.0,175.0,279.0,400.0,117.0,32.0,28.0,1735.0,0.0,0.0,0.0,22.0,16.0,7.0,20.0,12.0,419.0,178.0,225.0,187.0,474.0,138.0,21.0,16.0,"Census Tract 105.01, Minnehaha County, South Dakota",099,46,010501
1358.0,724.0,8.0,0.0,0.0,6.0,19.0,0.0,8.0,0.0,93.0,51.0,96.0,79.0,234.0,100.0,13.0,17.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,101.0,20.0,70.0,117.0,204.0,86.0,14.0,17.0,"Census Tract 104.03, Minnehaha County, South Dakota",099,46,010403
2770.0,1402.0,0.0,0.0,6.0,14.0,12.0,32.0,38.0,11.0,463.0,80.0,218.0,197.0,245.0,66.0,12.0,8.0,1368.0,0.0,0.0,2.0,3.0,0.0,8.0,6.0,0.0,412.0,129.0,232.0,151.0,323.0,73.0,13.0,16.0,"Census Tract 101.02, Minnehaha County, South Dakota",099,46,010102
5366.0,2524.0,28.0,0.0,0.0,34.0,0.0,30.0,0.0,0.0,556.0,179.0,393.0,243.0,596.0,356.0,61.0,48.0,2842.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,555.0,220.0,524.0,429.0,786.0,243.0,29.0,14.0,"Census Tract 18.03, Minnehaha County, South Dakota",099,46,001803
2816.0,1273.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,379.0,76.0,253.0,123.0,291.0,77.0,0.0,30.0,1543.0,75.0,0.0,0.0,0.0,22.0,9.0,0.0,0.0,446.0,148.0,211.0,142.0,414.0,76.0,0.0,0.0,"Census Tract 18.04, Minnehaha County, South Dakota",099,46,001804
3574.0,1331.0,27.0,0.0,41.0,19.0,0.0,21.0,39.0,20.0,424.0,32.0,254.0,137.0,263.0,24.0,30.0,0.0,2243.0,61.0,4.0,0.0,28.0,16.0,9.0,0.0,0.0,682.0,138.0,429.0,226.0,445.0,191.0,14.0,0.0,"Census Tract 11.08, Minnehaha County, South Dakota",099,46,001108
2466.0,1276.0,0.0,0.0,0.0,0.0,44.0,34.0,9.0,10.0,414.0,65.0,200.0,143.0,243.0,67.0,0.0,47.0,1190.0,0.0,0.0,0.0,21.0,0.0,9.0,0.0,8.0,315.0,49.0,366.0,97.0,259.0,58.0,8.0,0.0,"Census Tract 11.07, Minnehaha County, South Dakota",099,46,001107
1985.0,1051.0,11.0,0.0,0.0,17.0,0.0,0.0,33.0,12.0,206.0,76.0,223.0,45.0,311.0,90.0,21.0,6.0,934.0,16.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,171.0,17.0,79.0,225.0,274.0,102.0,31.0,0.0,"Census Tract 104.06, Minnehaha County, South Dakota",099,46,010406
4861.0,2525.0,0.0,0.0,0.0,0.0,14.0,0.0,17.0,48.0,753.0,112.0,362.0,413.0,656.0,118.0,20.0,12.0,2336.0,0.0,46.0,0.0,24.0,0.0,12.0,0.0,47.0,436.0,56.0,288.0,384.0,828.0,187.0,0.0,28.0,"Census Tract 11.05, Minnehaha County, South Dakota",099,46,001105
3118.0,1383.0,67.0,0.0,0.0,77.0,40.0,9.0,0.0,37.0,418.0,109.0,184.0,146.0,225.0,50.0,12.0,9.0,1735.0,95.0,29.0,10.0,0.0,9.0,33.0,39.0,62.0,530.0,123.0,382.0,146.0,227.0,29.0,21.0,0.0,"Census Tract 4.05, Minnehaha County, South Dakota",099,46,000405
2120.0,1080.0,42.0,0.0,0.0,0.0,85.0,20.0,35.0,0.0,358.0,78.0,177.0,65.0,166.0,33.0,21.0,0.0,1040.0,0.0,0.0,6.0,11.0,9.0,0.0,8.0,34.0,404.0,86.0,228.0,80.0,158.0,16.0,0.0,0.0,"Census Tract 4.06, Minnehaha County, South Dakota",099,46,000406
