B05002_001E,B05002_002E,B05002_013E,name,county,state,tract
4646.0,3811.0,835.0,"Census Tract 201, Hawaii County, Hawaii",001,15,020100
3813.0,3468.0,345.0,"Census Tract 204, Hawaii County, Hawaii",001,15,020400
5965.0,5276.0,689.0,"Census Tract 205, Hawaii County, Hawaii",001,15,020500
6224.0,5747.0,477.0,"Census Tract 206, Hawaii County, Hawaii",001,15,020600
4479.0,4119.0,360.0,"Census Tract 215.02, Hawaii County, Hawaii",001,15,021502
5031.0,4721.0,310.0,"Census Tract 208.01, Hawaii County, Hawaii",001,15,020801
12292.0,10584.0,1708.0,"Census Tract 217.02, Hawaii County, Hawaii",001,15,021702
6310.0,5457.0,853.0,"Census Tract 218, Hawaii County, Hawaii",001,15,021800
6533.0,6228.0,305.0,"Census Tract 208.02, Hawaii County, Hawaii",001,15,020802
3003.0,2472.0,531.0,"Census Tract 220, Hawaii County, Hawaii",001,15,022000
4191.0,4036.0,155.0,"Census Tract 207.01, Hawaii County, Hawaii",001,15,020701
5017.0,4626.0,391.0,"Census Tract 207.02, Hawaii County, Hawaii",001,15,020702
4652.0,4288.0,364.0,"Census Tract 209, Hawaii County, Hawaii",001,15,020900
7950.0,6853.0,1097.0,"Census Tract 102.02, Honolulu County, Hawaii",003,15,010202
9011.0,7104.0,1907.0,"Census Tract 216.01, Hawaii County, Hawaii",001,15,021601
4669.0,4147.0,522.0,"Census Tract 111.04, Honolulu County, Hawaii",003,15,011104
2699.0,2347.0,352.0,"Census Tract 9.01, Honolulu County, Hawaii",003,15,000901
5350.0,3851.0,1499.0,"Census Tract 23, Honolulu County, Hawaii",003,15,002300
3822.0,3074.0,748.0,"Census Tract 28, Honolulu County, Hawaii",003,15,002800
2392.0,2031.0,361.0,"Census Tract 29, Honolulu County, Hawaii",003,15,002900
256.0,218.0,38.0,"Census Tract 39, Honolulu County, Hawaii",003,15,003900
4761.0,3997.0,764.0,"Census Tract 30, Honolulu County, Hawaii",003,15,003000
5740.0,4522.0,1218.0,"Census Tract 34.03, Honolulu County, Hawaii",003,15,003403
3747.0,2662.0,1085.0,"Census Tract 36.01, Honolulu County, Hawaii",003,15,003601
3371.0,2698.0,673.0,"Census Tract 42, Honolulu County, Hawaii",003,15,004200
5866.0,5382.0,484.0,"Census Tract 44, Honolulu County, Hawaii",003,15,004400
5580.0,4823.0,757.0,"Census Tract 45, Honolulu County, Hawaii",003,15,004500
4951.0,4036.0,915.0,"Census Tract 47, Honolulu County, Hawaii",003,15,004700
4153.0,2339.0,1814.0,"Census Tract 53, Honolulu County, Hawaii",003,15,005300
3174.0,2541.0,633.0,"Census Tract 12.01, Honolulu County, Hawaii",003,15,001201
3516.0,2859.0,657.0,"Census Tract 75.04, Honolulu County, Hawaii",003,15,007504
5964.0,5643.0,321.0,"Census Tract 89.08, Honolulu County, Hawaii",003,15,008908
5318.0,5018.0,300.0,"Census Tract 102.01, Honolulu County, Hawaii",003,15,010201
3731.0,3018.0,713.0,"Census Tract 4.02, Honolulu County, Hawaii",003,15,000402
4132.0,2964.0,1168.0,"Census Tract 26, Honolulu County, Hawaii",003,15,002600
4942.0,3615.0,1327.0,"Census Tract 34.04, Honolulu County, Hawaii",003,15,003404
5547.0,3402.0,2145.0,"Census Tract 68.09, Honolulu County, Hawaii",003,15,006809
2054.0,1565.0,489.0,"Census Tract 86.09, Honolulu County, Hawaii",003,15,008609
2723.0,2338.0,385.0,"Census Tract 1.07, Honolulu County, Hawaii",003,15,000107
3730.0,2919.0,811.0,"Census Tract 21, Honolulu County, Hawaii",003,15,002100
1670.0,897.0,773.0,"Census Tract 54, Honolulu County, Hawaii",003,15,005400
2212.0,2024.0,188.0,"Census Tract 78.04, Honolulu County, Hawaii",003,15,007804
7303.0,6308.0,995.0,"Census Tract 98.02, Honolulu County, Hawaii",003,15,009802
5680.0,5143.0,537.0,"Census Tract 111.06, Honolulu County, Hawaii",003,15,011106
7482.0,7098.0,384.0,"Census Tract 108.02, Honolulu County, Hawaii",003,15,010802
891.0,791.0,100.0,"Census Tract 34.07, Honolulu County, Hawaii",003,15,003407
4956.0,4524.0,432.0,"Census Tract 77.02, Honolulu County, Hawaii",003,15,007702
