B28002_001E,B28002_002E,B28002_003E,B28002_004E,B28002_005E,B28002_006E,B28002_007E,B28002_008E,B28002_009E,B28002_010E,B28002_011E,B28002_012E,B28002_013E,name,urban area
3537.0,2762.0,19.0,2743.0,1376.0,212.0,2499.0,1313.0,102.0,13.0,4.0,108.0,667.0,"Medina, NY Urban Cluster (2010)",56035
1147.0,799.0,11.0,788.0,508.0,33.0,729.0,270.0,50.0,10.0,0.0,74.0,274.0,"Melrose, MN Urban Cluster (2010)",56089
399125.0,285362.0,1694.0,283668.0,186688.0,37130.0,234898.0,87179.0,21193.0,3530.0,742.0,20126.0,93637.0,"Memphis, TN--MS--AR Urbanized Area (2010)",56116
6478.0,5209.0,55.0,5154.0,3162.0,261.0,4794.0,1863.0,246.0,12.0,9.0,232.0,1037.0,"Menomonie, WI Urban Cluster (2010)",56224
2149.0,1335.0,0.0,1335.0,684.0,257.0,921.0,517.0,154.0,73.0,8.0,61.0,753.0,"Mena, AR Urban Cluster (2010)",56143
2745.0,1211.0,7.0,1204.0,561.0,149.0,1048.0,622.0,38.0,7.0,0.0,42.0,1492.0,"Mendota, CA Urban Cluster (2010)",56170
2562.0,1878.0,38.0,1840.0,1270.0,200.0,1573.0,535.0,51.0,16.0,12.0,45.0,639.0,"Mendota, IL Urban Cluster (2010)",56197
43094.0,35110.0,269.0,34841.0,25995.0,6491.0,26402.0,7485.0,2565.0,719.0,152.0,1350.0,6634.0,"Merced, CA Urbanized Area (2010)",56251
956.0,716.0,5.0,711.0,401.0,35.0,667.0,294.0,35.0,0.0,0.0,41.0,199.0,"Mercer, PA Urban Cluster (2010)",56278
15976.0,9307.0,90.0,9217.0,5476.0,1845.0,7013.0,3511.0,503.0,78.0,0.0,1854.0,4815.0,"Meridian, MS Urban Cluster (2010)",56305
4447.0,3295.0,34.0,3261.0,1993.0,314.0,2776.0,1140.0,198.0,101.0,0.0,185.0,967.0,"Merrill, WI Urban Cluster (2010)",56359
2132.0,1261.0,18.0,1243.0,817.0,161.0,983.0,355.0,184.0,42.0,5.0,179.0,692.0,"Mexia, TX Urban Cluster (2010)",56521
1055.0,724.0,0.0,724.0,454.0,53.0,635.0,270.0,13.0,0.0,0.0,107.0,224.0,"Mescalero Park, TX Urban Cluster (2010)",56386
6431.0,4927.0,135.0,4792.0,2897.0,512.0,4059.0,1731.0,357.0,22.0,0.0,286.0,1218.0,"Mesquite, NV--AZ Urban Cluster (2010)",56413
1292.0,652.0,7.0,645.0,380.0,87.0,508.0,215.0,56.0,30.0,0.0,24.0,616.0,"Metter, GA Urban Cluster (2010)",56494
1416.0,1169.0,17.0,1152.0,764.0,92.0,1047.0,359.0,87.0,13.0,0.0,15.0,232.0,"Metamora, IL Urban Cluster (2010)",56440
2801.0,1579.0,40.0,1539.0,945.0,237.0,1225.0,525.0,110.0,58.0,0.0,114.0,1108.0,"Metropolis, IL Urban Cluster (2010)",56467
4555.0,3281.0,23.0,3258.0,2000.0,381.0,2813.0,1109.0,175.0,24.0,0.0,125.0,1149.0,"Mexico, MO Urban Cluster (2010)",56548
1017.0,660.0,13.0,647.0,322.0,102.0,524.0,300.0,29.0,0.0,12.0,37.0,320.0,"Meyersdale, PA Urban Cluster (2010)",56575
1343.0,1194.0,0.0,1194.0,774.0,140.0,1010.0,406.0,121.0,14.0,0.0,15.0,134.0,"Middlebury, IN Urban Cluster (2010)",56710
2057630.0,1610110.0,9063.0,1601047.0,961275.0,137757.0,1420786.0,592404.0,98200.0,14936.0,2551.0,80097.0,367423.0,"Miami, FL Urbanized Area (2010)",56602
6025.0,3594.0,35.0,3559.0,1997.0,499.0,2834.0,1371.0,337.0,98.0,11.0,660.0,1771.0,"Miami, OK Urban Cluster (2010)",56629
26877.0,19721.0,123.0,19598.0,9768.0,2068.0,16713.0,9017.0,1117.0,375.0,42.0,731.0,6425.0,"Michigan City--La Porte, IN--MI Urbanized Area (2010)",56656
1609.0,1072.0,9.0,1063.0,579.0,67.0,969.0,465.0,36.0,8.0,0.0,131.0,406.0,"Middlebury, VT Urban Cluster (2010)",56737
2067.0,1451.0,17.0,1434.0,690.0,62.0,1323.0,697.0,35.0,26.0,3.0,55.0,561.0,"Middlefield, OH Urban Cluster (2010)",56764
3153.0,1962.0,20.0,1942.0,1216.0,294.0,1629.0,691.0,62.0,7.0,0.0,105.0,1086.0,"Middleport, OH--WV Urban Cluster (2010)",56791
5909.0,3539.0,34.0,3505.0,1555.0,276.0,3072.0,1736.0,147.0,38.0,81.0,281.0,2089.0,"Middlesborough, KY--TN--VA Urban Cluster (2010)",56818
10089.0,9379.0,19.0,9360.0,5754.0,636.0,8658.0,3438.0,239.0,49.0,0.0,232.0,478.0,"Middletown, DE Urban Cluster (2010)",56845
1104.0,703.0,0.0,703.0,364.0,42.0,607.0,300.0,66.0,23.0,0.0,57.0,344.0,"Middletown, IN Urban Cluster (2010)",56872
21721.0,14084.0,103.0,13981.0,8115.0,749.0,13020.0,5386.0,864.0,56.0,16.0,2806.0,4831.0,"Middletown, NY Urbanized Area (2010)",56899
38426.0,28833.0,70.0,28763.0,18830.0,3048.0,25047.0,9342.0,1316.0,166.0,31.0,1535.0,8058.0,"Middletown, OH Urbanized Area (2010)",56926
