B25064_001E,name,new england city and town area
874.0,"Barre, VT Micropolitan NECTA",71050
842.0,"Bennington, VT Micropolitan NECTA",71350
710.0,"Berlin, NH Micropolitan NECTA",71500
1336.0,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",71650
1413.0,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",71950
812.0,"Athol, MA Micropolitan NECTA",70450
734.0,"Augusta, ME Micropolitan NECTA",70600
801.0,"Bangor, ME Metropolitan NECTA",70750
1189.0,"Barnstable Town, MA Metropolitan NECTA",70900
818.0,"Brunswick, ME Micropolitan NECTA",72250
1149.0,"Burlington-South Burlington, VT Metropolitan NECTA",72400
867.0,"Claremont, NH Micropolitan NECTA",72500
1015.0,"Concord, NH Micropolitan NECTA",72700
1381.0,"Danbury, CT Metropolitan NECTA",72850
1039.0,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",73450
1013.0,"Dover-Durham, NH-ME Metropolitan NECTA",73050
855.0,"Greenfield Town, MA Micropolitan NECTA",73300
962.0,"Keene, NH Micropolitan NECTA",73750
929.0,"Laconia, NH Micropolitan NECTA",73900
1083.0,"Manchester, NH Metropolitan NECTA",74950
816.0,"New Bedford, MA Metropolitan NECTA",75550
1146.0,"New Haven, CT Metropolitan NECTA",75700
1001.0,"Lebanon, NH-VT Micropolitan NECTA",74350
910.0,"Leominster-Gardner, MA Metropolitan NECTA",74500
733.0,"Lewiston-Auburn, ME Metropolitan NECTA",74650
926.0,"Springfield, MA-CT Metropolitan NECTA",78100
927.0,"Torrington, CT Micropolitan NECTA",78400
1441.0,"Vineyard Haven, MA Micropolitan NECTA",78500
953.0,"Waterbury, CT Metropolitan NECTA",78700
706.0,"Waterville, ME Micropolitan NECTA",78850
934.0,"Providence-Warwick, RI-MA Metropolitan NECTA",77200
817.0,"Rutland, VT Micropolitan NECTA",77650
816.0,"Sanford, ME Micropolitan NECTA",77950
1001.0,"Worcester, MA-CT Metropolitan NECTA",79600
1009.0,"Portland-South Portland, ME Metropolitan NECTA",76750
732.0,"North Adams, MA-VT Micropolitan NECTA",76150
1065.0,"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",76450
806.0,"Pittsfield, MA Metropolitan NECTA",76600
1186.0,"Portsmouth, NH-ME Metropolitan NECTA",76900
