B19013_001E,name,place,state
-666666666.0,"Boys Ranch CDP, Texas",09796,48
57143.0,"Guthrie CDP, Texas",31640,48
70833.0,"Gail CDP, Texas",27972,48
139250.0,"Bartonville town, Texas",05768,48
126667.0,"Annetta North town, Texas",03340,48
59853.0,"Pleasanton city, Texas",58280,48
62639.0,"Fairchilds village, Texas",25068,48
51250.0,"Sour Lake city, Texas",68828,48
45821.0,"Quitman city, Texas",60188,48
28995.0,"Midway South CDP, Texas",48280,48
50658.0,"Kempner city, Texas",38800,48
44107.0,"Payne Springs town, Texas",56276,48
-666666666.0,"Taft Southwest CDP, Texas",71696,48
-666666666.0,"Spade CDP, Texas",69380,48
41163.0,"Woodville town, Texas",80212,48
80938.0,"Airport Road Addition CDP, Texas",01514,48
65833.0,"Eureka city, Texas",24816,48
37167.0,"Joaquin city, Texas",37684,48
49125.0,"Refugio town, Texas",61436,48
43917.0,"Cantu Addition CDP, Texas",12502,48
72788.0,"Red Oak city, Texas",61196,48
-666666666.0,"Toyah town, Texas",73496,48
47903.0,"Kermit city, Texas",39004,48
24450.0,"Sanderson CDP, Texas",65084,48
37083.0,"Reklaw city, Texas",61508,48
44375.0,"Cushing city, Texas",18224,48
68750.0,"Dickinson city, Texas",20344,48
41701.0,"Pearsall city, Texas",56384,48
40179.0,"Evant town, Texas",24864,48
70578.0,"Andrews city, Texas",03216,48
70938.0,"Groom town, Texas",31292,48
46625.0,"Skellytown town, Texas",68120,48
27981.0,"Wells town, Texas",77176,48
36563.0,"Bartlett city, Texas",05732,48
41953.0,"Granger city, Texas",30548,48
47839.0,"Taylor city, Texas",71948,48
92773.0,"Cibolo city, Texas",14920,48
77386.0,"St. Hedwig town, Texas",64172,48
133293.0,"Scenic Oaks CDP, Texas",66089,48
48000.0,"Mount Enterprise city, Texas",49728,48
46771.0,"Amherst city, Texas",03084,48
50208.0,"Megargel town, Texas",47460,48
-666666666.0,"Flowella CDP, Texas",26220,48
64500.0,"La Ward city, Texas",41848,48
50313.0,"Sanford town, Texas",65384,48
61650.0,"Vanderbilt CDP, Texas",74984,48
54961.0,"Richland Hills city, Texas",61844,48
107500.0,"Brazos Bend city, Texas",10087,48
28935.0,"San Augustine city, Texas",65024,48
37837.0,"Daingerfield city, Texas",18464,48
91250.0,"Taylor Landing city, Texas",71966,48
50658.0,"Van Vleck CDP, Texas",75068,48
50313.0,"Angus city, Texas",03288,48
34375.0,"Emhouse town, Texas",24168,48
34306.0,"Bogata city, Texas",09172,48
102426.0,"Fate city, Texas",25572,48
77970.0,"Selma city, Texas",66704,48
55938.0,"Blum town, Texas",09004,48
33229.0,"Hubbard city, Texas",35180,48
36970.0,"Brady city, Texas",09916,48
52321.0,"Hearne city, Texas",32972,48
92917.0,"Bailey's Prairie village, Texas",05288,48
127500.0,"McLendon-Chisholm city, Texas",45804,48
46250.0,"Industry city, Texas",35984,48
48438.0,"Bellville city, Texas",07432,48
49375.0,"Bonney village, Texas",09388,48
75809.0,"Brookside Village city, Texas",10648,48
49093.0,"Clute city, Texas",15652,48
92679.0,"Iowa Colony village, Texas",36092,48
69583.0,"Jones Creek village, Texas",37984,48
42188.0,"Oyster Creek city, Texas",54528,48
63750.0,"Quintana town, Texas",60164,48
56250.0,"Surfside Beach city, Texas",71384,48
51364.0,"Rice city, Texas",61736,48
75683.0,"Royse City city, Texas",63668,48
50625.0,"Huxley city, Texas",35636,48
67500.0,"Palisades village, Texas",54726,48
40295.0,"Nash city, Texas",50352,48
59489.0,"Channelview CDP, Texas",14236,48
100996.0,"League City city, Texas",41980,48
34063.0,"Huntington city, Texas",35492,48
35100.0,"Throckmorton town, Texas",72896,48
48571.0,"Early city, Texas",21904,48
51406.0,"Scottsville city, Texas",66332,48
30863.0,"Waskom city, Texas",76636,48
41122.0,"Mabank town, Texas",45324,48
42555.0,"Terrell city, Texas",72284,48
30391.0,"Corrigan town, Texas",17036,48
43145.0,"West Livingston CDP, Texas",77662,48
74375.0,"Callisburg city, Texas",11968,48
44105.0,"Gainesville city, Texas",27984,48
34909.0,"Cameron city, Texas",12040,48
63125.0,"Gholson city, Texas",29408,48
54412.0,"Falcon Lake Estates CDP, Texas",25348,48
41250.0,"Cranfills Gap city, Texas",17540,48
35568.0,"Morgan city, Texas",49356,48
43803.0,"Italy town, Texas",37072,48
58690.0,"Rose City city, Texas",63200,48
34539.0,"Elkhart town, Texas",23140,48
88667.0,"Inez CDP, Texas",35996,48
52255.0,"Victoria city, Texas",75428,48
-666666666.0,"Browndell city, Texas",10708,48
60813.0,"Jamaica Beach city, Texas",37252,48
-666666666.0,"Botines CDP, Texas",09598,48
-666666666.0,"Laredo Ranchettes CDP, Texas",41473,48
26705.0,"Mirando City CDP, Texas",48756,48
51591.0,"Ranchitos Las Lomas CDP, Texas",60482,48
43750.0,"Hartley CDP, Texas",32612,48
45313.0,"Howardwick city, Texas",35072,48
127576.0,"Copper Canyon town, Texas",16636,48
53947.0,"Vega city, Texas",75188,48
81979.0,"Lavon city, Texas",41800,48
93094.0,"Little Elm city, Texas",43012,48
42945.0,"Mart city, Texas",46824,48
61488.0,"Valley Mills city, Texas",74732,48
80051.0,"Woodway city, Texas",80224,48
79821.0,"Buda city, Texas",11080,48
76771.0,"Dripping Springs city, Texas",21424,48
64167.0,"Hays city, Texas",32906,48
23385.0,"Dell City city, Texas",19708,48
55250.0,"Clarksville City city, Texas",15172,48
57625.0,"Kilgore city, Texas",39124,48
50104.0,"Hawley city, Texas",32840,48
58856.0,"Ingleside city, Texas",36008,48
92727.0,"Hackberry town, Texas",31715,48
41930.0,"Mount Pleasant city, Texas",49800,48
60357.0,"Moran city, Texas",49320,48
24718.0,"Center city, Texas",13732,48
64125.0,"Claude city, Texas",15196,48
60202.0,"Arp city, Texas",04156,48
41920.0,"Val Verde Park CDP, Texas",74895,48
50000.0,"Creedmoor city, Texas",17612,48
82145.0,"Pflugerville city, Texas",57176,48
66148.0,"K-Bar Ranch CDP, Texas",38518,48
30833.0,"Benjamin city, Texas",07636,48
37159.0,"De Leon city, Texas",19672,48
243226.0,"West University Place city, Texas",77956,48
38961.0,"Humble city, Texas",35348,48
250001.0,"Hunters Creek Village city, Texas",35480,48
50563.0,"Post city, Texas",59012,48
45958.0,"Fairfield city, Texas",25104,48
48893.0,"Fredericksburg city, Texas",27348,48
42243.0,"Willis city, Texas",79408,48
42500.0,"Union Grove city, Texas",74312,48
38316.0,"Madisonville city, Texas",45996,48
30450.0,"Agua Dulce CDP, Texas",01390,48
-666666666.0,"Rangerville village, Texas",60644,48
27500.0,"North Cleveland city, Texas",51984,48
133971.0,"Prosper town, Texas",59696,48
91953.0,"St. Paul town, Texas",64220,48
40845.0,"Ore City city, Texas",54216,48
77679.0,"Ingleside on the Bay city, Texas",36020,48
44375.0,"Lake City town, Texas",40472,48
61058.0,"Noonday city, Texas",51756,48
42500.0,"Del Rio city, Texas",19792,48
-666666666.0,"Box Canyon CDP, Texas",09656,48
-666666666.0,"Amistad CDP, Texas",03096,48
-666666666.0,"El Brazil CDP, Texas",22853,48
15688.0,"Mi Ranchito Estate CDP, Texas",48750,48
-666666666.0,"Santel CDP, Texas",65777,48
-666666666.0,"La Escondida CDP, Texas",40186,48
149479.0,"La Carla CDP, Texas",39994,48
-666666666.0,"Sammy Martinez CDP, Texas",64442,48
-666666666.0,"Martinez CDP, Texas",46854,48
-666666666.0,"El Rancho Vela CDP, Texas",24015,48
-666666666.0,"Valle Hermoso CDP, Texas",74667,48
-666666666.0,"El Mesquite CDP, Texas",23278,48
-666666666.0,"Elias-Fela Solis CDP, Texas",23062,48
19345.0,"Alto Bonito Heights CDP, Texas",02194,48
26583.0,"East Alto Bonito CDP, Texas",21958,48
-666666666.0,"La Paloma Ranchettes CDP, Texas",41424,48
-666666666.0,"Delmita CDP, Texas",19732,48
19279.0,"Buena Vista CDP, Texas",11102,48
-666666666.0,"Moraida CDP, Texas",49300,48
-666666666.0,"Eugenio Saenz CDP, Texas",24738,48
-666666666.0,"Pena CDP, Texas",56644,48
27500.0,"San Juan CDP, Texas",65532,48
-666666666.0,"Santa Anna CDP, Texas",65678,48
71125.0,"Olmito and Olmito CDP, Texas",53970,48
-666666666.0,"Gutierrez CDP, Texas",31646,48
-666666666.0,"El Castillo CDP, Texas",22892,48
-666666666.0,"Mikes CDP, Texas",48318,48
54250.0,"Canyon Creek CDP, Texas",12562,48
64643.0,"Cedar Point CDP, Texas",13570,48
24146.0,"Indian Springs CDP, Texas",35954,48
55459.0,"Pleasant Hill CDP, Texas",58232,48
79196.0,"Cape Royale CDP, Texas",12600,48
73533.0,"Oakhurst CDP, Texas",52992,48
59938.0,"Port O'Connor CDP, Texas",58952,48
142244.0,"Lantana CDP, Texas",41404,48
93750.0,"Paloma Creek CDP, Texas",54868,48
94939.0,"Paloma Creek South CDP, Texas",54872,48
101635.0,"Savannah CDP, Texas",66000,48
-666666666.0,"Valle Vista CDP, Texas",74670,48
-666666666.0,"Rivereno CDP, Texas",62318,48
54375.0,"Burton city, Texas",11536,48
62234.0,"Manchaca CDP, Texas",46308,48
64240.0,"Hornsby Bend CDP, Texas",34856,48
49190.0,"Callender Lake CDP, Texas",11940,48
51607.0,"Myrtle Springs CDP, Texas",50232,48
42391.0,"Chilton CDP, Texas",14692,48
32872.0,"Ivanhoe city, Texas",37112,48
44375.0,"Sherwood Shores CDP, Texas",67554,48
35688.0,"Preston CDP, Texas",59420,48
65982.0,"Valley View city, Texas",74756,48
53022.0,"César Chávez CDP, Texas",14038,48
50000.0,"Coyote Flats city, Texas",17429,48
46000.0,"Graford city, Texas",30380,48
22959.0,"Presidio city, Texas",59396,48
-666666666.0,"Redford CDP, Texas",61076,48
49125.0,"Austwell city, Texas",05036,48
20643.0,"Prairie View city, Texas",59336,48
29490.0,"Electra city, Texas",22984,48
48434.0,"Iowa Park city, Texas",36104,48
62500.0,"Scotland city, Texas",66284,48
55781.0,"Windthorst town, Texas",79696,48
49881.0,"Hereford city, Texas",33320,48
60104.0,"Damon CDP, Texas",19108,48
37069.0,"Brookshire city, Texas",10636,48
71875.0,"Pleasant Valley town, Texas",58400,48
49046.0,"Cleburne city, Texas",15364,48
43444.0,"Grandview city, Texas",30512,48
53224.0,"Fritch city, Texas",27696,48
36250.0,"Deport city, Texas",20020,48
37213.0,"Wharton city, Texas",78136,48
42667.0,"Bangs city, Texas",05552,48
54167.0,"Anderson city, Texas",03192,48
52992.0,"Groves city, Texas",31328,48
65510.0,"Nederland city, Texas",50580,48
33214.0,"Seven Oaks city, Texas",66884,48
31811.0,"Benavides city, Texas",07528,48
47188.0,"Marathon CDP, Texas",46572,48
52850.0,"Bastrop city, Texas",05864,48
38625.0,"La Feria city, Texas",40204,48
26583.0,"San Benito city, Texas",65036,48
-666666666.0,"Tierra Bonita CDP, Texas",72948,48
34091.0,"Como town, Texas",16252,48
-666666666.0,"Fowlerton CDP, Texas",27144,48
35636.0,"Brownsville city, Texas",10768,48
211741.0,"University Park city, Texas",74492,48
52841.0,"Tioga town, Texas",73112,48
60848.0,"Van Alstyne city, Texas",74924,48
43534.0,"Odem city, Texas",53376,48
-666666666.0,"Lago CDP, Texas",40258,48
49531.0,"New Deal town, Texas",50916,48
36528.0,"Chireno city, Texas",14776,48
44188.0,"Brenham city, Texas",10156,48
14113.0,"Citrus City CDP, Texas",15028,48
44327.0,"Buffalo city, Texas",11116,48
30066.0,"Donna city, Texas",20884,48
57188.0,"Rocky Mound town, Texas",62870,48
37679.0,"Liverpool city, Texas",43120,48
77813.0,"New Hope town, Texas",51036,48
26763.0,"Eastland city, Texas",22132,48
49020.0,"Abernathy city, Texas",00160,48
100250.0,"Annetta South town, Texas",03342,48
43438.0,"East Tawakoni city, Texas",22276,48
57500.0,"Oilton CDP, Texas",53556,48
89688.0,"Timbercreek Canyon village, Texas",73030,48
33236.0,"Nocona city, Texas",51648,48
58523.0,"La Victoria CDP, Texas",41782,48
26625.0,"Hedley city, Texas",33044,48
59549.0,"Rockport city, Texas",62804,48
45268.0,"Beaumont city, Texas",07000,48
36004.0,"Waco city, Texas",76000,48
31652.0,"Winnsboro city, Texas",79816,48
84931.0,"Serenada CDP, Texas",66806,48
-666666666.0,"Falcon Heights CDP, Texas",25344,48
-666666666.0,"La Rosita CDP, Texas",41503,48
30417.0,"Rule town, Texas",63752,48
41375.0,"Celeste city, Texas",13672,48
60836.0,"Glenn Heights city, Texas",29840,48
35865.0,"Rising Star town, Texas",62252,48
78194.0,"Lake Kiowa CDP, Texas",40624,48
44773.0,"Lexington town, Texas",42532,48
42109.0,"Stinnett city, Texas",70340,48
79167.0,"Runaway Bay city, Texas",63782,48
42589.0,"Farwell city, Texas",25548,48
53750.0,"Lone Oak city, Texas",43636,48
84500.0,"Point Venture village, Texas",58586,48
19547.0,"Escobares city, Texas",24552,48
24907.0,"Ames city, Texas",03072,48
43333.0,"Southmayd city, Texas",69104,48
52974.0,"Whitesboro city, Texas",78532,48
39076.0,"Whitewright town, Texas",78628,48
56250.0,"Idalou city, Texas",35732,48
47326.0,"Lubbock city, Texas",45000,48
38313.0,"Slaton city, Texas",68180,48
104132.0,"Allen city, Texas",01924,48
136557.0,"Parker city, Texas",55152,48
50270.0,"Wheeler city, Texas",78208,48
44344.0,"Canton city, Texas",12496,48
36765.0,"Edgewood town, Texas",22612,48
78882.0,"Bayview town, Texas",06140,48
-666666666.0,"Del Mar Heights CDP, Texas",19714,48
-666666666.0,"El Camino Angosto CDP, Texas",22858,48
34063.0,"Indian Lake town, Texas",35918,48
22371.0,"Laguna Heights CDP, Texas",40300,48
33464.0,"Socorro city, Texas",68636,48
54857.0,"Dayton city, Texas",19432,48
200208.0,"Highland Park town, Texas",33824,48
137721.0,"Sunnyvale town, Texas",71156,48
41806.0,"Poteet city, Texas",59084,48
36645.0,"Hughes Springs city, Texas",35300,48
64125.0,"Mertzon city, Texas",47832,48
79315.0,"Lolita CDP, Texas",43432,48
-666666666.0,"Roma Creek CDP, Texas",63026,48
65547.0,"Aubrey city, Texas",04600,48
37228.0,"Burke city, Texas",11380,48
50833.0,"Poynor town, Texas",59192,48
33500.0,"Homestead Meadows North CDP, Texas",34671,48
43068.0,"Loraine town, Texas",43996,48
41074.0,"Dublin city, Texas",21484,48
44204.0,"Stephenville city, Texas",70208,48
52634.0,"Brazoria city, Texas",10072,48
36673.0,"Freeport city, Texas",27420,48
42000.0,"Aquilla city, Texas",03588,48
51528.0,"Tynan CDP, Texas",74168,48
48191.0,"Carthage city, Texas",13108,48
39494.0,"Uvalde city, Texas",74588,48
-666666666.0,"Uvalde Estates CDP, Texas",74594,48
61946.0,"Azle city, Texas",05168,48
43813.0,"Baird city, Texas",05336,48
30833.0,"Cross Plains town, Texas",17816,48
65739.0,"Nome city, Texas",51720,48
-666666666.0,"Green Valley Farms CDP, Texas",30890,48
80000.0,"Grays Prairie village, Texas",30752,48
54456.0,"Freer city, Texas",27432,48
88125.0,"Round Top town, Texas",63524,48
-666666666.0,"Yznaga CDP, Texas",80686,48
74375.0,"Shallowater city, Texas",67136,48
71817.0,"Harker Heights city, Texas",32312,48
27375.0,"Fruitvale city, Texas",27804,48
124556.0,"Lakeway city, Texas",40984,48
44659.0,"Uhland city, Texas",74216,48
37177.0,"Jefferson city, Texas",37528,48
-666666666.0,"Corral City town, Texas",17024,48
61875.0,"Follett city, Texas",26328,48
46023.0,"Bardwell city, Texas",05612,48
33750.0,"Rosebud city, Texas",63188,48
54000.0,"Stockdale city, Texas",70376,48
60000.0,"Lakeside town (San Patricio County), Texas",40738,48
25658.0,"Santa Rosa town, Texas",65768,48
41447.0,"Olmito CDP, Texas",53964,48
-666666666.0,"Ratamosa CDP, Texas",60686,48
74375.0,"White Deer town, Texas",78316,48
61544.0,"Jourdanton city, Texas",38116,48
32500.0,"Douglassville town, Texas",21112,48
