B19013D_001E,name,metropolitan statistical area/micropolitan statistical area
42845.0,"Aberdeen, SD Micro Area",10100
58636.0,"Aberdeen, WA Micro Area",10140
45703.0,"Abilene, TX Metro Area",10180
25938.0,"Ada, OK Micro Area",10220
-666666666.0,"Adjuntas, PR Micro Area",10260
110357.0,"Adrian, MI Micro Area",10300
9286.0,"Aguadilla-Isabela, PR Metro Area",10380
56813.0,"Akron, OH Metro Area",10420
-666666666.0,"Alamogordo, NM Micro Area",10460
57031.0,"Albany, GA Metro Area",10500
54926.0,"Albany, OR Metro Area",10540
74467.0,"Albany-Schenectady-Troy, NY Metro Area",10580
42377.0,"Albemarle, NC Micro Area",10620
42135.0,"Albert Lea, MN Micro Area",10660
124063.0,"Albertville, AL Micro Area",10700
68013.0,"Albuquerque, NM Metro Area",10740
-666666666.0,"Alexander City, AL Micro Area",10760
45417.0,"Alexandria, LA Metro Area",10780
103750.0,"Alexandria, MN Micro Area",10820
-666666666.0,"Alice, TX Micro Area",10860
86558.0,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900
250001.0,"Alma, MI Micro Area",10940
-666666666.0,"Alpena, MI Micro Area",10980
68992.0,"Altoona, PA Metro Area",11020
61685.0,"Altus, OK Micro Area",11060
49542.0,"Amarillo, TX Metro Area",11100
-666666666.0,"Americus, GA Micro Area",11140
24695.0,"Ames, IA Metro Area",11180
32100.0,"Amsterdam, NY Micro Area",11220
69673.0,"Anchorage, AK Metro Area",11260
-666666666.0,"Andrews, TX Micro Area",11380
45156.0,"Angola, IN Micro Area",11420
64730.0,"Ann Arbor, MI Metro Area",11460
40313.0,"Anniston-Oxford-Jacksonville, AL Metro Area",11500
59821.0,"Appleton, WI Metro Area",11540
-666666666.0,"Arcadia, FL Micro Area",11580
49485.0,"Ardmore, OK Micro Area",11620
13492.0,"Arecibo, PR Metro Area",11640
-666666666.0,"Arkadelphia, AR Micro Area",11660
85682.0,"Arkansas City-Winfield, KS Micro Area",11680
51300.0,"Asheville, NC Metro Area",11700
-666666666.0,"Ashland, OH Micro Area",11740
-666666666.0,"Ashtabula, OH Micro Area",11780
48359.0,"Astoria, OR Micro Area",11820
-666666666.0,"Atchison, KS Micro Area",11860
20444.0,"Athens, OH Micro Area",11900
-666666666.0,"Athens, TN Micro Area",11940
61771.0,"Athens, TX Micro Area",11980
53047.0,"Austin, MN Micro Area",12380
51760.0,"Auburn-Opelika, AL Metro Area",12220
63099.0,"Augusta-Richmond County, GA-SC Metro Area",12260
44188.0,"Augusta-Waterville, ME Micro Area",12300
89777.0,"Austin-Round Rock, TX Metro Area",12420
78929.0,"Bainbridge, GA Micro Area",12460
72345.0,"Bakersfield, CA Metro Area",12540
95163.0,"Baltimore-Columbia-Towson, MD Metro Area",12580
75948.0,"Bangor, ME Metro Area",12620
52250.0,"Baraboo, WI Micro Area",12660
-666666666.0,"Bardstown, KY Micro Area",12680
75333.0,"Barnstable Town, MA Metro Area",12700
