B19013I_001E,name,combined statistical area
45380.0,"Appleton-Oshkosh-Neenah, WI CSA",118
40760.0,"Albany-Schenectady, NY CSA",104
42268.0,"Albuquerque-Santa Fe-Las Vegas, NM CSA",106
42542.0,"Amarillo-Borger, TX CSA",108
27858.0,"Asheville-Brevard, NC CSA",120
45345.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",122
40382.0,"Bloomington-Pontiac, IL CSA",145
44790.0,"Bend-Redmond-Prineville, OR CSA",140
36761.0,"Birmingham-Hoover-Talladega, AL CSA",142
36038.0,"Bloomington-Bedford, IN CSA",144
45259.0,"Bloomsburg-Berwick-Sunbury, PA CSA",146
29213.0,"Buffalo-Cheektowaga, NY CSA",160
42280.0,"Cape Coral-Fort Myers-Naples, FL CSA",162
31058.0,"Cape Girardeau-Sikeston, MO-IL CSA",164
48871.0,"Cedar Rapids-Iowa City, IA CSA",168
51586.0,"Chicago-Naperville, IL-IN-WI CSA",176
41803.0,"Boise City-Mountain Home-Ontario, ID-OR CSA",147
41314.0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",148
36345.0,"Bowling Green-Glasgow, KY CSA",150
33019.0,"Brownsville-Harlingen-Raymondville, TX CSA",154
49527.0,"Charleston-Huntington-Ashland, WV-OH-KY CSA",170
42599.0,"Charlotte-Concord, NC-SC CSA",172
39158.0,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",174
49692.0,"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",178
43569.0,"Columbus-Auburn-Opelika, GA-AL CSA",194
40404.0,"Cleveland-Akron-Canton, OH CSA",184
24500.0,"Cleveland-Indianola, MS CSA",185
31911.0,"Clovis-Portales, NM CSA",188
51193.0,"Columbia-Moberly-Mexico, MO CSA",190
38370.0,"Columbia-Orangeburg-Newberry, SC CSA",192
42173.0,"Columbus-Marion-Zanesville, OH CSA",198
46868.0,"Davenport-Moline, IA-IL CSA",209
50583.0,"Columbus-West Point, MS CSA",200
45848.0,"Corpus Christi-Kingsville-Alice, TX CSA",204
47560.0,"Dallas-Fort Worth, TX-OK CSA",206
37872.0,"Dayton-Springfield-Sidney, OH CSA",212
50754.0,"Denver-Aurora, CO CSA",216
46270.0,"DeRidder-Fort Polk South, LA CSA",217
45353.0,"Des Moines-Ames-West Des Moines, IA CSA",218
38081.0,"El Paso-Las Cruces, TX-NM CSA",238
28383.0,"Eau Claire-Menomonie, WI CSA",232
52208.0,"Edwards-Glenwood Springs, CO CSA",233
35133.0,"Elmira-Corning, NY CSA",236
47730.0,"Dixon-Sterling, IL CSA",221
34878.0,"Dothan-Enterprise-Ozark, AL CSA",222
46348.0,"Detroit-Warren-Ann Arbor, MI CSA",220
39042.0,"Fresno-Madera, CA CSA",260
36218.0,"Gainesville-Lake City, FL CSA",264
43928.0,"Grand Rapids-Wyoming-Muskegon, MI CSA",266
41431.0,"Green Bay-Shawano, WI CSA",267
35446.0,"Greensboro--Winston-Salem--High Point, NC CSA",268
36489.0,"Greenville-Spartanburg-Anderson, SC CSA",273
27278.0,"Greenville-Washington, NC CSA",274
37287.0,"Harrisburg-York-Lebanon, PA CSA",276
44479.0,"Harrisonburg-Staunton-Waynesboro, VA CSA",277
40672.0,"Hartford-West Hartford, CT CSA",278
30050.0,"Hickory-Lenoir, NC CSA",280
26135.0,"Hot Springs-Malvern, AR CSA",284
48094.0,"Houston-The Woodlands, TX CSA",288
36901.0,"Indianapolis-Carmel-Muncie, IN CSA",294
41662.0,"Fort Wayne-Huntington-Auburn, IN CSA",258
23423.0,"Erie-Meadville, PA CSA",240
34217.0,"Fargo-Wahpeton, ND-MN CSA",244
37887.0,"Fayetteville-Lumberton-Laurinburg, NC CSA",246
36121.0,"Findlay-Tiffin, OH CSA",248
33024.0,"Huntsville-Decatur-Albertville, AL CSA",290
40716.0,"Idaho Falls-Rexburg-Blackfoot, ID CSA",292
31134.0,"Ithaca-Cortland, NY CSA",296
36280.0,"Jackson-Brownsville, TN CSA",297
43677.0,"Jackson-Vicksburg-Brookhaven, MS CSA",298
34297.0,"Jonesboro-Paragould, AR CSA",308
48163.0,"Jacksonville-St. Marys-Palatka, FL-GA CSA",300
29924.0,"Johnson City-Kingsport-Bristol, TN-VA CSA",304
36490.0,"Johnstown-Somerset, PA CSA",306
33661.0,"Joplin-Miami, MO-OK CSA",309
38024.0,"Kalamazoo-Battle Creek-Portage, MI CSA",310
44807.0,"Kansas City-Overland Park-Kansas City, MO-KS CSA",312
34014.0,"Knoxville-Morristown-Sevierville, TN CSA",314
43594.0,"Kokomo-Peru, IN CSA",316
43874.0,"Lafayette-Opelousas-Morgan City, LA CSA",318
39858.0,"Lima-Van Wert-Celina, OH CSA",338
44119.0,"Lansing-East Lansing-Owosso, MI CSA",330
46856.0,"Las Vegas-Henderson, NV-AZ CSA",332
37104.0,"Lexington-Fayette--Richmond--Frankfort, KY CSA",336
40096.0,"Lincoln-Beatrice, NE CSA",339
46782.0,"Lafayette-West Lafayette-Frankfort, IN CSA",320
40152.0,"Lake Charles-Jennings, LA CSA",324
40802.0,"Little Rock-North Little Rock, AR CSA",340
41346.0,"Longview-Marshall, TX CSA",346
52028.0,"Los Angeles-Long Beach, CA CSA",348
35411.0,"Mankato-New Ulm-North Mankato, MN CSA",359
44101.0,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA",350
40583.0,"Lubbock-Levelland, TX CSA",352
45153.0,"Macon-Bibb County--Warner Robins, GA CSA",356
42033.0,"Madison-Janesville-Beloit, WI CSA",357
40818.0,"Manhattan-Junction City, KS CSA",358
34277.0,"McAllen-Edinburg, TX CSA",365
31913.0,"Mansfield-Ashland-Bucyrus, OH CSA",360
27097.0,"Martin-Union City, TN-KY CSA",362
15480.0,"Mayagüez-San Germán, PR CSA",364
46049.0,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA",370
58118.0,"Midland-Odessa, TX CSA",372
39914.0,"Milwaukee-Racine-Waukesha, WI CSA",376
48224.0,"Minneapolis-St. Paul, MN-WI CSA",378
33556.0,"Mount Pleasant-Alma, MI CSA",394
38040.0,"Medford-Grants Pass, OR CSA",366
38542.0,"Memphis-Forrest City, TN-MS-AR CSA",368
43511.0,"Mobile-Daphne-Fairhope, AL CSA",380
45206.0,"Modesto-Merced, CA CSA",382
34338.0,"Monroe-Ruston-Bastrop, LA CSA",384
40948.0,"Morgantown-Fairmont, WV CSA",390
44921.0,"Moses Lake-Othello, WA CSA",393
38088.0,"Myrtle Beach-Conway, SC-NC CSA",396
47255.0,"New York-Newark, NY-NJ-CT-PA CSA",408
43248.0,"Nashville-Davidson--Murfreesboro, TN CSA",400
40526.0,"New Bern-Morehead City, NC CSA",404
43422.0,"New Orleans-Metairie-Hammond, LA-MS CSA",406
37354.0,"Paducah-Mayfield, KY-IL CSA",424
40606.0,"North Port-Sarasota, FL CSA",412
42313.0,"Oklahoma City-Shawnee, OK CSA",416
45257.0,"Omaha-Council Bluffs-Fremont, NE-IA CSA",420
42094.0,"Orlando-Deltona-Daytona Beach, FL CSA",422
33063.0,"Oskaloosa-Pella, IA CSA",423
21778.0,"Parkersburg-Marietta-Vienna, WV-OH CSA",425
40311.0,"Pensacola-Ferry Pass, FL-AL CSA",426
48716.0,"Peoria-Canton, IL CSA",427
39585.0,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",428
47066.0,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",430
16622.0,"Ponce-Coamo-Santa Isabel, PR CSA",434
48862.0,"Portland-Lewiston-South Portland, ME CSA",438
63711.0,"Quincy-Hannibal, IL-MO CSA",448
46499.0,"Portland-Vancouver-Salem, OR-WA CSA",440
36937.0,"Pueblo-Cañon City, CO CSA",444
26875.0,"Pullman-Moscow, WA-ID CSA",446
46605.0,"Reno-Carson City-Fernley, NV CSA",456
42359.0,"Raleigh-Durham-Chapel Hill, NC CSA",450
37520.0,"Rapid City-Spearfish, SD CSA",452
