B07003_001E,B07003_004E,B07003_007E,B07003_010E,B07003_013E,B07003_016E,name,urban area
8107.0,7297.0,526.0,260.0,24.0,0.0,"Medina, NY Urban Cluster (2010)",56035
2991.0,2830.0,127.0,33.0,1.0,0.0,"Melrose, MN Urban Cluster (2010)",56089
1059793.0,885817.0,125786.0,13658.0,30684.0,3848.0,"Memphis, TN--MS--AR Urbanized Area (2010)",56116
17462.0,10990.0,2629.0,2157.0,1623.0,63.0,"Menomonie, WI Urban Cluster (2010)",56224
5230.0,4041.0,857.0,94.0,220.0,18.0,"Mena, AR Urban Cluster (2010)",56143
11208.0,10493.0,468.0,102.0,0.0,145.0,"Mendota, CA Urban Cluster (2010)",56170
6642.0,5624.0,729.0,272.0,0.0,17.0,"Mendota, IL Urban Cluster (2010)",56197
142232.0,115446.0,17968.0,6952.0,1137.0,729.0,"Merced, CA Urbanized Area (2010)",56251
3673.0,2985.0,343.0,336.0,9.0,0.0,"Mercer, PA Urban Cluster (2010)",56278
38624.0,31048.0,4909.0,1282.0,1287.0,98.0,"Meridian, MS Urban Cluster (2010)",56305
9795.0,7827.0,1167.0,660.0,118.0,23.0,"Merrill, WI Urban Cluster (2010)",56359
7175.0,6281.0,630.0,234.0,30.0,0.0,"Mexia, TX Urban Cluster (2010)",56521
3435.0,2715.0,352.0,368.0,0.0,0.0,"Mescalero Park, TX Urban Cluster (2010)",56386
14716.0,11422.0,1335.0,172.0,1715.0,72.0,"Mesquite, NV--AZ Urban Cluster (2010)",56413
3457.0,3059.0,251.0,115.0,32.0,0.0,"Metter, GA Urban Cluster (2010)",56494
3732.0,3266.0,184.0,201.0,39.0,42.0,"Metamora, IL Urban Cluster (2010)",56440
6218.0,5388.0,510.0,126.0,194.0,0.0,"Metropolis, IL Urban Cluster (2010)",56467
10971.0,9496.0,601.0,633.0,173.0,68.0,"Mexico, MO Urban Cluster (2010)",56548
2218.0,1956.0,223.0,24.0,12.0,3.0,"Meyersdale, PA Urban Cluster (2010)",56575
4111.0,3864.0,197.0,0.0,50.0,0.0,"Middlebury, IN Urban Cluster (2010)",56710
5884130.0,5051586.0,535626.0,102073.0,97677.0,97168.0,"Miami, FL Urbanized Area (2010)",56602
15551.0,12769.0,1720.0,574.0,458.0,30.0,"Miami, OK Urban Cluster (2010)",56629
64831.0,53096.0,7529.0,2463.0,1660.0,83.0,"Michigan City--La Porte, IN--MI Urbanized Area (2010)",56656
5540.0,4011.0,441.0,135.0,777.0,176.0,"Middlebury, VT Urban Cluster (2010)",56737
4687.0,4091.0,388.0,163.0,40.0,5.0,"Middlefield, OH Urban Cluster (2010)",56764
7550.0,6394.0,661.0,351.0,139.0,5.0,"Middleport, OH--WV Urban Cluster (2010)",56791
14181.0,12256.0,862.0,528.0,474.0,61.0,"Middlesborough, KY--TN--VA Urban Cluster (2010)",56818
31243.0,28536.0,1566.0,564.0,556.0,21.0,"Middletown, DE Urban Cluster (2010)",56845
2597.0,2203.0,245.0,130.0,15.0,4.0,"Middletown, IN Urban Cluster (2010)",56872
58621.0,52533.0,3622.0,1716.0,603.0,147.0,"Middletown, NY Urbanized Area (2010)",56899
97044.0,79610.0,11618.0,4224.0,1353.0,239.0,"Middletown, OH Urbanized Area (2010)",56926
3163.0,2495.0,450.0,187.0,24.0,7.0,"Middleville, MI Urban Cluster (2010)",56953
57494.0,48503.0,4858.0,2254.0,1285.0,594.0,"Midland, MI Urbanized Area (2010)",56980
18673.0,15831.0,1446.0,1091.0,285.0,20.0,"Marshfield, WI Urban Cluster (2010)",55144
12166.0,9881.0,1300.0,523.0,281.0,181.0,"Marshall, MO Urban Cluster (2010)",55009
20666.0,18321.0,1322.0,726.0,237.0,60.0,"Marshall, TX Urban Cluster (2010)",55036
3892.0,3382.0,170.0,287.0,53.0,0.0,"Marshall, WI Urban Cluster (2010)",55063
26088.0,21984.0,2658.0,925.0,314.0,207.0,"Marshalltown, IA Urban Cluster (2010)",55090
6862.0,5189.0,700.0,764.0,209.0,0.0,"Marshfield, MO Urban Cluster (2010)",55117
10496.0,7906.0,1071.0,1156.0,280.0,83.0,"Martin, TN Urban Cluster (2010)",55171
2835.0,2436.0,302.0,71.0,26.0,0.0,"Martinsburg, PA Urban Cluster (2010)",55198
12708.0,9539.0,1847.0,1101.0,221.0,0.0,"Martinsville, IN Urban Cluster (2010)",55225
33253.0,28247.0,2120.0,1879.0,1000.0,7.0,"Martinsville, VA Urban Cluster (2010)",55252
2811.0,2121.0,484.0,152.0,49.0,5.0,"Marysville, KS Urban Cluster (2010)",55279
23399.0,18469.0,1728.0,2728.0,423.0,51.0,"Marysville, OH Urban Cluster (2010)",55306
26067.0,22743.0,1859.0,903.0,486.0,76.0,"Mason City, IA Urban Cluster (2010)",55414
154546.0,130332.0,16995.0,3052.0,3765.0,402.0,"Marysville, WA Urbanized Area (2010)",55333
13016.0,7510.0,2350.0,2015.0,1028.0,113.0,"Maryville, MO Urban Cluster (2010)",55360
7808.0,6303.0,981.0,193.0,147.0,184.0,"Mascoutah, IL Urban Cluster (2010)",55375
4172.0,3813.0,187.0,147.0,25.0,0.0,"Masontown, PA Urban Cluster (2010)",55441
10828.0,9260.0,1331.0,198.0,26.0,13.0,"Massena, NY Urban Cluster (2010)",55468
5624.0,4611.0,567.0,385.0,61.0,0.0,"Mathis, TX Urban Cluster (2010)",55495
4957.0,4405.0,443.0,47.0,62.0,0.0,"Mattawa, WA Urban Cluster (2010)",55522
17569.0,13728.0,2529.0,967.0,311.0,34.0,"Mattoon, IL Urban Cluster (2010)",55576
135355.0,116662.0,9771.0,3042.0,4690.0,1190.0,"Mauldin--Simpsonville, SC Urbanized Area (2010)",55603
4266.0,3454.0,391.0,307.0,85.0,29.0,"Mauston, WI Urban Cluster (2010)",55684
,,,,,,"Mayagüez, PR Urbanized Area (2010)",55738
3253.0,2939.0,203.0,111.0,0.0,0.0,"Maybrook, NY Urban Cluster (2010)",55750
11560.0,10155.0,892.0,343.0,106.0,64.0,"Mayfield, KY Urban Cluster (2010)",55765
4799.0,4020.0,486.0,181.0,112.0,0.0,"Mayodan, NC Urban Cluster (2010)",55792
11057.0,9360.0,828.0,539.0,217.0,113.0,"Maysville, KY--OH Urban Cluster (2010)",55819
4888.0,4260.0,409.0,187.0,32.0,0.0,"Mayville, WI Urban Cluster (2010)",55846
3020.0,2681.0,182.0,108.0,43.0,6.0,"Mazomanie, WI Urban Cluster (2010)",55860
23038.0,17837.0,3486.0,1088.0,602.0,25.0,"Meadville, PA Urban Cluster (2010)",55900
8191.0,7709.0,320.0,0.0,0.0,162.0,"Mecca, CA Urban Cluster (2010)",55927
160652.0,126220.0,24121.0,4092.0,5870.0,349.0,"Medford, OR Urbanized Area (2010)",55981
4216.0,3804.0,189.0,220.0,3.0,0.0,"Woodstock, AL Urban Cluster (2010)",97119
6081.0,5086.0,707.0,184.0,104.0,0.0,"Woodland, WA Urban Cluster (2010)",97021
11004.0,9196.0,564.0,953.0,288.0,3.0,"Woodland Park, CO Urban Cluster (2010)",97048
3982.0,2525.0,582.0,560.0,304.0,11.0,"Woodruff, SC Urban Cluster (2010)",97102
25704.0,21378.0,3323.0,622.0,372.0,9.0,"Woodstock, IL Urban Cluster (2010)",97129
7628.0,5683.0,787.0,535.0,519.0,104.0,"Woodstock, VA Urban Cluster (2010)",97156
4306.0,3774.0,218.0,108.0,206.0,0.0,"Woodstown, NJ Urban Cluster (2010)",97183
4888.0,3469.0,78.0,1290.0,51.0,0.0,"Woodville, FL Urban Cluster (2010)",97200
3150.0,2430.0,364.0,284.0,61.0,11.0,"Woodville, TX Urban Cluster (2010)",97210
12092.0,9655.0,1627.0,438.0,290.0,82.0,"Woodward, OK Urban Cluster (2010)",97237
30757.0,23161.0,4261.0,2462.0,706.0,167.0,"Wooster, OH Urban Cluster (2010)",97264
494873.0,432191.0,39878.0,9898.0,8619.0,4287.0,"Worcester, MA--CT Urbanized Area (2010)",97291
5173.0,4224.0,598.0,234.0,108.0,9.0,"Worland, WY Urban Cluster (2010)",97318
7703.0,7203.0,329.0,162.0,4.0,5.0,"World Golf Village, FL Urban Cluster (2010)",97331
12794.0,11057.0,1222.0,103.0,333.0,79.0,"Worthington, MN Urban Cluster (2010)",97345
2485.0,2316.0,20.0,149.0,0.0,0.0,"Wright City, MO Urban Cluster (2010)",97352
2882.0,2655.0,134.0,85.0,0.0,8.0,"Wrightstown, WI Urban Cluster (2010)",97359
3159.0,2831.0,104.0,195.0,29.0,0.0,"Wrightsville, GA Urban Cluster (2010)",97366
3980.0,3379.0,540.0,61.0,0.0,0.0,"Wrightwood, CA Urban Cluster (2010)",97372
3846.0,3439.0,104.0,244.0,49.0,10.0,"Wurtsboro, NY Urban Cluster (2010)",97399
7383.0,6105.0,840.0,360.0,78.0,0.0,"Wynne, AR Urban Cluster (2010)",97426
7041.0,6195.0,282.0,383.0,181.0,0.0,"Wytheville, VA Urban Cluster (2010)",97453
3464.0,3239.0,170.0,43.0,12.0,0.0,"Yadkinville, NC Urban Cluster (2010)",97480
130482.0,107122.0,16993.0,2910.0,2959.0,498.0,"Yakima, WA Urbanized Area (2010)",97507
14501.0,11575.0,1516.0,665.0,737.0,8.0,"Yankton, SD Urban Cluster (2010)",97534
,,,,,,"Yauco, PR Urbanized Area (2010)",97561
15674.0,12853.0,1144.0,373.0,1049.0,255.0,"Yazoo City, MS Urban Cluster (2010)",97588
3927.0,3383.0,268.0,138.0,138.0,0.0,"Yellow Springs, OH Urban Cluster (2010)",97615
13909.0,11265.0,920.0,1433.0,240.0,51.0,"Yelm, WA Urban Cluster (2010)",97642
2840.0,2161.0,379.0,178.0,122.0,0.0,"Yerington, NV Urban Cluster (2010)",97669
5954.0,5023.0,352.0,550.0,0.0,29.0,"Yoakum, TX Urban Cluster (2010)",97696
7674.0,6467.0,650.0,370.0,187.0,0.0,"York, NE Urban Cluster (2010)",97723
234350.0,198396.0,26479.0,3875.0,4167.0,1433.0,"York, PA Urbanized Area (2010)",97750
2992.0,2584.0,264.0,105.0,36.0,3.0,"Youngsville, PA Urban Cluster (2010)",97858
7704.0,6883.0,571.0,33.0,217.0,0.0,"York, SC Urban Cluster (2010)",97777
2986.0,2427.0,190.0,369.0,0.0,0.0,"Yorkville, GA Urban Cluster (2010)",97812
