B01003_001E,name,zip code tabulation area
17599.0,ZCTA5 00601,00601
39209.0,ZCTA5 00602,00602
50135.0,ZCTA5 00603,00603
6304.0,ZCTA5 00606,00606
27590.0,ZCTA5 00610,00610
62566.0,ZCTA5 00612,00612
10687.0,ZCTA5 00616,00616
24508.0,ZCTA5 00617,00617
7405.0,ZCTA5 00622,00622
42321.0,ZCTA5 00623,00623
23238.0,ZCTA5 00624,00624
32936.0,ZCTA5 00627,00627
1555.0,ZCTA5 00631,00631
23610.0,ZCTA5 00637,00637
17202.0,ZCTA5 00638,00638
28332.0,ZCTA5 00641,00641
38008.0,ZCTA5 00646,00646
5610.0,ZCTA5 00647,00647
14664.0,ZCTA5 00650,00650
3681.0,ZCTA5 00652,00652
11717.0,ZCTA5 00653,00653
19546.0,ZCTA5 00656,00656
40978.0,ZCTA5 00659,00659
16474.0,ZCTA5 00660,00660
41341.0,ZCTA5 00662,00662
15396.0,ZCTA5 00664,00664
24089.0,ZCTA5 00667,00667
26510.0,ZCTA5 00669,00669
8797.0,ZCTA5 00670,00670
40826.0,ZCTA5 00674,00674
37862.0,ZCTA5 00676,00676
14569.0,ZCTA5 00677,00677
26642.0,ZCTA5 00678,00678
48035.0,ZCTA5 00680,00680
32820.0,ZCTA5 00682,00682
31627.0,ZCTA5 00683,00683
38849.0,ZCTA5 00685,00685
31785.0,ZCTA5 00687,00687
12360.0,ZCTA5 00688,00688
5587.0,ZCTA5 00690,00690
36218.0,ZCTA5 00692,00692
56327.0,ZCTA5 00693,00693
88.0,ZCTA5 00694,00694
37493.0,ZCTA5 00698,00698
27137.0,ZCTA5 00703,00703
7842.0,ZCTA5 00704,00704
23831.0,ZCTA5 00705,00705
11240.0,ZCTA5 00707,00707
18363.0,ZCTA5 00714,00714
3645.0,ZCTA5 00715,00715
29191.0,ZCTA5 00716,00716
17285.0,ZCTA5 00717,00717
26073.0,ZCTA5 00718,00718
29684.0,ZCTA5 00719,00719
21753.0,ZCTA5 00720,00720
17826.0,ZCTA5 00723,00723
82822.0,ZCTA5 00725,00725
56023.0,ZCTA5 00727,00727
40326.0,ZCTA5 00728,00728
52244.0,ZCTA5 00729,00729
32735.0,ZCTA5 00730,00730
13862.0,ZCTA5 00731,00731
12749.0,ZCTA5 00735,00735
48476.0,ZCTA5 00736,00736
31558.0,ZCTA5 00738,00738
37380.0,ZCTA5 00739,00739
1517.0,ZCTA5 00740,00740
5168.0,ZCTA5 00741,00741
52624.0,ZCTA5 00745,00745
22174.0,ZCTA5 00751,00751
38636.0,ZCTA5 00754,00754
22475.0,ZCTA5 00757,00757
8721.0,ZCTA5 00765,00765
23931.0,ZCTA5 00766,00766
35042.0,ZCTA5 00767,00767
39605.0,ZCTA5 00769,00769
37705.0,ZCTA5 00771,00771
20784.0,ZCTA5 00772,00772
18952.0,ZCTA5 00773,00773
1480.0,ZCTA5 00775,00775
40611.0,ZCTA5 00777,00777
46852.0,ZCTA5 00778,00778
11679.0,ZCTA5 00780,00780
18196.0,ZCTA5 00782,00782
