B17001_001E,B17001_002E,B17001_031E,name,state,state legislative district (upper chamber)
138852.0,18336.0,120516.0,"State Senate District 1 (2016), Alabama",01,001
142066.0,16215.0,125851.0,"State Senate District 2 (2016), Alabama",01,002
141925.0,22222.0,119703.0,"State Senate District 3 (2016), Alabama",01,003
132950.0,22460.0,110490.0,"State Senate District 4 (2016), Alabama",01,004
129404.0,21612.0,107792.0,"State Senate District 5 (2016), Alabama",01,005
132847.0,28009.0,104838.0,"State Senate District 6 (2016), Alabama",01,006
136058.0,24221.0,111837.0,"State Senate District 7 (2016), Alabama",01,007
139255.0,23646.0,115609.0,"State Senate District 8 (2016), Alabama",01,008
138187.0,28542.0,109645.0,"State Senate District 9 (2016), Alabama",01,009
134644.0,24201.0,110443.0,"State Senate District 10 (2016), Alabama",01,010
134387.0,20111.0,114276.0,"State Senate District 11 (2016), Alabama",01,011
129143.0,23459.0,105684.0,"State Senate District 12 (2016), Alabama",01,012
140095.0,22178.0,117917.0,"State Senate District 13 (2016), Alabama",01,013
136745.0,17024.0,119721.0,"State Senate District 14 (2016), Alabama",01,014
139364.0,12407.0,126957.0,"State Senate District 15 (2016), Alabama",01,015
140480.0,10994.0,129486.0,"State Senate District 16 (2016), Alabama",01,016
134851.0,14923.0,119928.0,"State Senate District 17 (2016), Alabama",01,017
132196.0,34715.0,97481.0,"State Senate District 18 (2016), Alabama",01,018
128644.0,28008.0,100636.0,"State Senate District 19 (2016), Alabama",01,019
133628.0,31141.0,102487.0,"State Senate District 20 (2016), Alabama",01,020
130754.0,19817.0,110937.0,"State Senate District 21 (2016), Alabama",01,021
134992.0,26552.0,108440.0,"State Senate District 22 (2016), Alabama",01,022
121584.0,38959.0,82625.0,"State Senate District 23 (2016), Alabama",01,023
134859.0,37521.0,97338.0,"State Senate District 24 (2016), Alabama",01,024
135108.0,13906.0,121202.0,"State Senate District 25 (2016), Alabama",01,025
125970.0,37382.0,88588.0,"State Senate District 26 (2016), Alabama",01,026
138348.0,32656.0,105692.0,"State Senate District 27 (2016), Alabama",01,027
133409.0,35272.0,98137.0,"State Senate District 28 (2016), Alabama",01,028
139153.0,23776.0,115377.0,"State Senate District 29 (2016), Alabama",01,029
132529.0,20258.0,112271.0,"State Senate District 30 (2016), Alabama",01,030
134798.0,25143.0,109655.0,"State Senate District 31 (2016), Alabama",01,031
152988.0,16912.0,136076.0,"State Senate District 32 (2016), Alabama",01,032
127158.0,38814.0,88344.0,"State Senate District 33 (2016), Alabama",01,033
135213.0,17018.0,118195.0,"State Senate District 34 (2016), Alabama",01,034
136532.0,21289.0,115243.0,"State Senate District 35 (2016), Alabama",01,035
34915.0,3385.0,31530.0,"State Senate District H (2016), Alaska",02,00H
34191.0,3999.0,30192.0,"State Senate District I (2016), Alaska",02,00I
31890.0,5976.0,25914.0,"State Senate District J (2016), Alaska",02,00J
35818.0,2400.0,33418.0,"State Senate District K (2016), Alaska",02,00K
36382.0,2009.0,34373.0,"State Senate District L (2016), Alaska",02,00L
37308.0,2227.0,35081.0,"State Senate District M (2016), Alaska",02,00M
36428.0,1475.0,34953.0,"State Senate District N (2016), Alaska",02,00N
36865.0,4126.0,32739.0,"State Senate District O (2016), Alaska",02,00O
37299.0,3539.0,33760.0,"State Senate District P (2016), Alaska",02,00P
35791.0,2625.0,33166.0,"State Senate District Q (2016), Alaska",02,00Q
