B17001_001E,B17001_002E,B17001_031E,name,state
3437079.0,1543220.0,1893859.0,Puerto Rico,72
4729116.0,849699.0,3879417.0,Alabama,01
719983.0,73380.0,646603.0,Alaska,02
6654096.0,1128046.0,5526050.0,Arizona,04
2890095.0,524211.0,2365884.0,Arkansas,05
38242946.0,5773408.0,32469538.0,California,06
5316870.0,612143.0,4704727.0,Colorado,08
3486033.0,350783.0,3135250.0,Connecticut,09
638362.0,111025.0,527337.0,District of Columbia,11
918100.0,111304.0,806796.0,Delaware,10
19858469.0,3070972.0,16787497.0,Florida,12
9931935.0,1679030.0,8252905.0,Georgia,13
1383246.0,143148.0,1240098.0,Hawaii,15
1626557.0,236000.0,1390557.0,Idaho,16
12551822.0,1698613.0,10853209.0,Illinois,17
6412384.0,933540.0,5478844.0,Indiana,18
3016358.0,361343.0,2655015.0,Iowa,19
2820265.0,361285.0,2458980.0,Kansas,20
4287887.0,783586.0,3504301.0,Kentucky,21
1294998.0,166904.0,1128094.0,Maine,23
4531570.0,887574.0,3643996.0,Louisiana,22
6552347.0,727546.0,5824801.0,Massachusetts,25
5856088.0,566966.0,5289122.0,Maryland,24
9698121.0,1510841.0,8187280.0,Michigan,26
5366210.0,560995.0,4805215.0,Minnesota,27
2890123.0,620007.0,2270116.0,Mississippi,28
5891760.0,861679.0,5030081.0,Missouri,29
1004612.0,144198.0,860414.0,Montana,30
1839825.0,220330.0,1619495.0,Nebraska,31
1289255.0,104470.0,1184785.0,New Hampshire,33
2846365.0,405263.0,2441102.0,Nevada,32
8783989.0,938252.0,7845737.0,New Jersey,34
2043896.0,420293.0,1623603.0,New Mexico,35
19285448.0,2908471.0,16376977.0,New York,36
9783738.0,1579871.0,8203867.0,North Carolina,37
719722.0,79374.0,640348.0,North Dakota,38
11289161.0,1683890.0,9605271.0,Ohio,39
3780828.0,612714.0,3168114.0,Oklahoma,40
3947954.0,587248.0,3360706.0,Oregon,41
12377251.0,1623537.0,10753714.0,Pennsylvania,42
1015923.0,136126.0,879797.0,Rhode Island,44
4751345.0,790657.0,3960688.0,South Carolina,45
826297.0,114885.0,711412.0,South Dakota,46
6436601.0,1072360.0,5364241.0,Tennessee,47
26794198.0,4291384.0,22502814.0,Texas,48
2946717.0,324856.0,2621861.0,Utah,49
600127.0,68144.0,531983.0,Vermont,50
8116130.0,906838.0,7209292.0,Virginia,51
1784004.0,317089.0,1466915.0,West Virginia,54
7037413.0,859950.0,6177463.0,Washington,53
569412.0,63398.0,506014.0,Wyoming,56
5612611.0,692719.0,4919892.0,Wisconsin,55
