B25003D_001E,B25003D_002E,B25003D_003E,name,public use microdata area,state
847.0,444.0,403.0,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",00200,01
236.0,105.0,131.0,"DeKalb & Jackson Counties PUMA, Alabama",00400,01
478.0,241.0,237.0,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",02500,01
224.0,206.0,18.0,"Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA, Alabama",01500,01
79.0,71.0,8.0,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",01700,01
209.0,122.0,87.0,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",01000,01
211.0,186.0,25.0,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",00500,01
156.0,132.0,24.0,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA; Alabama",01400,01
230.0,46.0,184.0,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",01800,01
161.0,119.0,42.0,"Southwest Alabama PUMA, Alabama",02200,01
215.0,94.0,121.0,"St. Clair & Blount Counties PUMA, Alabama",00800,01
224.0,137.0,87.0,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",00100,01
416.0,161.0,255.0,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",02400,01
457.0,209.0,248.0,"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",02300,01
1422.0,1102.0,320.0,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA; Alabama",02703,01
287.0,96.0,191.0,"Mobile City (East) PUMA, Alabama",02701,01
873.0,444.0,429.0,"Mobile City (West) PUMA, Alabama",02702,01
136.0,71.0,65.0,"Cullman & Winston Counties PUMA, Alabama",00700,01
2137.0,783.0,1354.0,"Lee County--Auburn City PUMA, Alabama",01900,01
471.0,280.0,191.0,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA; Alabama",02100,01
1709.0,861.0,848.0,"Montgomery City & Pike Road Town (North) PUMA, Alabama",02000,01
254.0,67.0,187.0,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",00600,01
381.0,264.0,117.0,"Calhoun County PUMA, Alabama",01100,01
151.0,83.0,68.0,"Etowah County PUMA, Alabama",00900,01
768.0,164.0,604.0,"Tuscaloosa & Northport (Southeast) Cities PUMA, Alabama",01600,01
1238.0,827.0,411.0,"Shelby County PUMA, Alabama",01200,01
1450.0,834.0,616.0,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",00301,01
1059.0,733.0,326.0,"Huntsville City (Central & South) PUMA, Alabama",00302,01
492.0,387.0,105.0,"Baldwin County PUMA, Alabama",02600,01
518.0,103.0,415.0,"Birmingham City (East) PUMA, Alabama",01302,01
27.0,7.0,20.0,"Birmingham City (West) PUMA, Alabama",01301,01
2053.0,1043.0,1010.0,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",01303,01
391.0,208.0,183.0,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",01304,01
412.0,336.0,76.0,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA; Alabama",01305,01
4438.0,3017.0,1421.0,"Anchorage Municipality (South) PUMA, Alaska",00102,02
1645.0,675.0,970.0,"Subsistence Alaska PUMA, Alaska",00400,02
448.0,287.0,161.0,"Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, Alaska",00200,02
1977.0,1021.0,956.0,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA; Alaska",00300,02
2635.0,1248.0,1387.0,"Anchorage Municipality (North) PUMA, Alaska",00101,02
639.0,548.0,91.0,"Maricopa County (West) & Gila River Indian Community (Northwest) PUMA, Arizona",00134,04
1381.0,836.0,545.0,"Tucson (West) & Marana Cities PUMA, Arizona",00202,04
208.0,131.0,77.0,"Gila, Graham, Greenlee & Pinal (East) Counties PUMA; Arizona",00800,04
753.0,280.0,473.0,"Coconino County--Flagstaff City PUMA, Arizona",00400,04
2058.0,1433.0,625.0,"Phoenix (Far North) & Peoria (Northwest) Cities PUMA, Arizona",00129,04
1506.0,988.0,518.0,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA; Arizona",00132,04
858.0,741.0,117.0,"Maricopa County--Surprise City (Central) PUMA, Arizona",00131,04
521.0,337.0,184.0,"Maricopa County--El Mirage City & Sun City PUMA, Arizona",00130,04
