B25003D_001E,B25003D_002E,B25003D_003E,name,state,state legislative district (lower chamber)
146.0,48.0,98.0,"State House District 32 (2016), Alabama",01,032
18.0,18.0,0.0,"State House District 33 (2016), Alabama",01,033
23.0,23.0,0.0,"State House District 34 (2016), Alabama",01,034
112.0,37.0,75.0,"State House District 35 (2016), Alabama",01,035
260.0,190.0,70.0,"State House District 36 (2016), Alabama",01,036
12.0,0.0,12.0,"State House District 37 (2016), Alabama",01,037
238.0,89.0,149.0,"State House District 38 (2016), Alabama",01,038
47.0,47.0,0.0,"State House District 39 (2016), Alabama",01,039
65.0,46.0,19.0,"State House District 40 (2016), Alabama",01,040
59.0,29.0,30.0,"State House District 41 (2016), Alabama",01,041
37.0,2.0,35.0,"State House District 42 (2016), Alabama",01,042
436.0,274.0,162.0,"State House District 43 (2016), Alabama",01,043
130.0,60.0,70.0,"State House District 44 (2016), Alabama",01,044
260.0,250.0,10.0,"State House District 45 (2016), Alabama",01,045
503.0,193.0,310.0,"State House District 46 (2016), Alabama",01,046
813.0,452.0,361.0,"State House District 47 (2016), Alabama",01,047
577.0,316.0,261.0,"State House District 48 (2016), Alabama",01,048
128.0,51.0,77.0,"State House District 49 (2016), Alabama",01,049
77.0,45.0,32.0,"State House District 50 (2016), Alabama",01,050
178.0,77.0,101.0,"State House District 51 (2016), Alabama",01,051
351.0,52.0,299.0,"State House District 52 (2016), Alabama",01,052
295.0,65.0,230.0,"State House District 53 (2016), Alabama",01,053
58.0,40.0,18.0,"State House District 54 (2016), Alabama",01,054
204.0,22.0,182.0,"State House District 55 (2016), Alabama",01,055
287.0,229.0,58.0,"State House District 56 (2016), Alabama",01,056
18.0,18.0,0.0,"State House District 57 (2016), Alabama",01,057
14.0,14.0,0.0,"State House District 58 (2016), Alabama",01,058
21.0,21.0,0.0,"State House District 59 (2016), Alabama",01,059
162.0,65.0,97.0,"State House District 60 (2016), Alabama",01,060
61.0,34.0,27.0,"State House District 61 (2016), Alabama",01,061
114.0,74.0,40.0,"State House District 62 (2016), Alabama",01,062
623.0,186.0,437.0,"State House District 63 (2016), Alabama",01,063
61.0,23.0,38.0,"State House District 64 (2016), Alabama",01,064
54.0,54.0,0.0,"State House District 65 (2016), Alabama",01,065
39.0,0.0,39.0,"State House District 66 (2016), Alabama",01,066
59.0,51.0,8.0,"State House District 67 (2016), Alabama",01,067
65.0,65.0,0.0,"State House District 68 (2016), Alabama",01,068
49.0,49.0,0.0,"State House District 69 (2016), Alabama",01,069
178.0,60.0,118.0,"State House District 70 (2016), Alabama",01,070
0.0,0.0,0.0,"State House District 71 (2016), Alabama",01,071
421.0,109.0,312.0,"State House District 82 (2016), Alabama",01,082
180.0,59.0,121.0,"State House District 83 (2016), Alabama",01,083
59.0,40.0,19.0,"State House District 84 (2016), Alabama",01,084
46.0,15.0,31.0,"State House District 85 (2016), Alabama",01,085
101.0,39.0,62.0,"State House District 86 (2016), Alabama",01,086
124.0,77.0,47.0,"State House District 87 (2016), Alabama",01,087
204.0,68.0,136.0,"State House District 88 (2016), Alabama",01,088
282.0,92.0,190.0,"State House District 89 (2016), Alabama",01,089
131.0,22.0,109.0,"State House District 90 (2016), Alabama",01,090
270.0,141.0,129.0,"State House District 91 (2016), Alabama",01,091
