B25003H_001E,B25003H_002E,B25003H_003E,name,zip code tabulation area
132.0,78.0,54.0,ZCTA5 84306,84306
187.0,170.0,17.0,ZCTA5 84775,84775
63.0,63.0,0.0,ZCTA5 84762,84762
89.0,63.0,26.0,ZCTA5 84772,84772
74.0,54.0,20.0,ZCTA5 84781,84781
995.0,839.0,156.0,ZCTA5 84511,84511
512.0,427.0,85.0,ZCTA5 84513,84513
72.0,67.0,5.0,ZCTA5 84516,84516
131.0,123.0,8.0,ZCTA5 84522,84522
3601.0,2697.0,904.0,ZCTA5 84532,84532
7374.0,3663.0,3711.0,ZCTA5 84601,84601
348.0,317.0,31.0,ZCTA5 84620,84620
212.0,185.0,27.0,ZCTA5 84628,84628
856.0,737.0,119.0,ZCTA5 84629,84629
90.0,86.0,4.0,ZCTA5 84630,84630
310.0,288.0,22.0,ZCTA5 84634,84634
1448.0,1171.0,277.0,ZCTA5 84647,84647
7937.0,5618.0,2319.0,ZCTA5 84663,84663
42.0,35.0,7.0,ZCTA5 84710,84710
2595.0,2178.0,417.0,ZCTA5 84004,84004
143.0,143.0,0.0,ZCTA5 84529,84529
0.0,0.0,0.0,ZCTA5 84531,84531
20.0,8.0,12.0,ZCTA5 84536,84536
12.0,12.0,0.0,ZCTA5 93249,93249
369.0,239.0,130.0,ZCTA5 93252,93252
337.0,248.0,89.0,ZCTA5 93270,93270
6971.0,4996.0,1975.0,ZCTA5 93291,93291
4502.0,2410.0,2092.0,ZCTA5 93304,93304
9260.0,6837.0,2423.0,ZCTA5 93306,93306
3661.0,2271.0,1390.0,ZCTA5 93307,93307
9554.0,7093.0,2461.0,ZCTA5 93420,93420
4505.0,2944.0,1561.0,ZCTA5 93454,93454
2387.0,1625.0,762.0,ZCTA5 93458,93458
323.0,195.0,128.0,ZCTA5 93461,93461
12724.0,9493.0,3231.0,ZCTA5 93536,93536
2480.0,1421.0,1059.0,ZCTA5 93546,93546
679.0,464.0,215.0,ZCTA5 93591,93591
532.0,370.0,162.0,ZCTA5 93609,93609
69.0,54.0,15.0,ZCTA5 93616,93616
1753.0,1218.0,535.0,ZCTA5 93618,93618
454.0,381.0,73.0,ZCTA5 93626,93626
997.0,580.0,417.0,ZCTA5 93501,93501
4511.0,453.0,4058.0,ZCTA5 90029,90029
412.0,23.0,389.0,ZCTA5 90010,90010
11252.0,4224.0,7028.0,ZCTA5 90024,90024
13145.0,3723.0,9422.0,ZCTA5 90025,90025
831.0,303.0,528.0,ZCTA5 90201,90201
1448.0,683.0,765.0,ZCTA5 90031,90031
9028.0,2998.0,6030.0,ZCTA5 90035,90035
359.0,240.0,119.0,ZCTA5 90063,90063
2273.0,1587.0,686.0,ZCTA5 90242,90242
4883.0,3587.0,1296.0,ZCTA5 90620,90620
1700.0,1299.0,401.0,ZCTA5 90623,90623
7761.0,5785.0,1976.0,ZCTA5 90630,90630
5641.0,4849.0,792.0,ZCTA5 90713,90713
1644.0,1110.0,534.0,ZCTA5 90715,90715
398.0,318.0,80.0,ZCTA5 90716,90716
4177.0,2232.0,1945.0,ZCTA5 90717,90717
8470.0,3880.0,4590.0,ZCTA5 90731,90731
1150.0,691.0,459.0,ZCTA5 90744,90744
726.0,643.0,83.0,ZCTA5 90746,90746
0.0,0.0,0.0,ZCTA5 90822,90822
695.0,486.0,209.0,ZCTA5 90008,90008
2084.0,265.0,1819.0,ZCTA5 90013,90013
1709.0,1015.0,694.0,ZCTA5 90016,90016
1516.0,839.0,677.0,ZCTA5 93445,93445
853.0,605.0,248.0,ZCTA5 93280,93280
2531.0,1052.0,1479.0,ZCTA5 93301,93301
529.0,0.0,529.0,ZCTA5 93437,93437
4389.0,2653.0,1736.0,ZCTA5 93442,93442
5090.0,3939.0,1151.0,ZCTA5 93444,93444
1228.0,894.0,334.0,ZCTA5 93453,93453
2439.0,1712.0,727.0,ZCTA5 93463,93463
4684.0,3352.0,1332.0,ZCTA5 93514,93514
121.0,97.0,24.0,ZCTA5 93529,93529
159.0,90.0,69.0,ZCTA5 93541,93541
114.0,71.0,43.0,ZCTA5 93549,93549
531.0,318.0,213.0,ZCTA5 93562,93562
3983.0,2273.0,1710.0,ZCTA5 93268,93268
908.0,763.0,145.0,ZCTA5 93271,93271
20.0,11.0,9.0,ZCTA5 93954,93954
